block_size,cut,green_relative_error,overlap_rcond,solve_residual,alarm
1,0,2.1461808877097411e-15,0.9999983139684806,4.5512143860742259e-16,0
1,1,2.9081101009029008e-15,0.99999831396848049,9.7450277833756957e-16,0
1,2,2.6485920774661499e-15,0.99999831396848027,6.6244320433704197e-16,0
1,3,2.5702129375809338e-15,0.99999831396847993,7.2200023739382046e-16,0
1,4,2.9696842262452227e-15,0.99999831396847971,1.2580038458625163e-15,0
1,5,2.3526022088669212e-15,0.9999983139684806,6.4185839177230809e-16,0
1,6,2.3385119174812281e-15,0.99999831396848071,4.4155365789061614e-16,0
1,7,2.7972104005989299e-15,0.9999983139684806,4.4338710423777574e-16,0
1,8,2.7444748275290042e-15,0.99999831396848016,5.428170533627363e-16,0
1,9,2.6382879774699512e-15,0.99999831396848105,4.2321002326502757e-16,0
1,10,4.017644697666743e-15,0.99999831396848082,2.0780425839323656e-15,0
1,11,2.5503218149839034e-15,0.99999831396848049,3.6317528597386015e-16,0
1,12,2.6452520547207517e-15,0.9999983139684806,4.9965769957584698e-16,0
1,13,2.729530714393414e-15,0.99999831396848082,6.8565784441914661e-16,0
1,14,2.8696231891210832e-15,0.99999831396848049,7.3926984977185157e-16,0
1,15,2.8933870704294354e-15,0.99999831396848116,5.3195869272982773e-16,0
1,16,2.8549415481968808e-15,0.99999831396848038,3.8831347158755354e-16,0
1,17,2.9712582511084608e-15,0.99999831396848049,4.2697970957383707e-16,0
1,18,5.7716850248488777e-15,0.99999831396848016,3.7155624371696423e-15,0
1,19,2.8511512023073704e-15,0.9999983139684806,7.049104467838746e-16,0
1,20,2.9741641180100091e-15,0.9999983139684806,3.8399133898882208e-16,0
1,21,3.0137407470224112e-15,0.9999983139684806,5.8527905870018924e-16,0
1,22,3.0927949241679772e-15,0.99999831396848071,7.8767523388874149e-16,0
1,23,3.2697068676693655e-15,0.99999831396848027,8.4689967561806224e-16,0
1,24,3.3153890857736029e-15,0.9999983139684796,3.8754136997233325e-16,0
1,25,3.330369964784972e-15,0.99999831396848049,5.6100062056274619e-16,0
1,26,3.3542562970991597e-15,0.9999983139684806,4.7656642330834678e-16,0
1,27,3.232976092105765e-15,0.9999983139684806,4.664713651946402e-16,0
1,28,3.1879485418447788e-15,0.99999831396848027,4.9708299906589258e-16,0
1,29,3.4195617620593955e-15,0.9999983139684806,8.4201913661360855e-16,0
1,30,3.3789263507606486e-15,0.9999983139684806,6.728320741353656e-16,0
1,31,3.6840665443260404e-15,0.99999831396848038,1.3019997229177375e-15,0
1,32,3.2867629565882389e-15,0.9999983139684806,4.8314706022838165e-16,0
1,33,3.2537636247788227e-15,0.9999983139684806,5.7304414426242411e-16,0
1,34,3.1924601539837414e-15,0.99999831396848093,6.6780720493144376e-16,0
1,35,3.1185893538161669e-15,0.99999831396848082,5.044008172203159e-16,0
1,36,3.334796644491835e-15,0.99999831396848049,6.998072717224504e-16,0
1,37,5.6386974902796721e-15,0.99999831396848093,3.2886107747850542e-15,0
1,38,3.0739763576556795e-15,0.99999831396848038,4.9565308436446537e-16,0
1,39,3.188059923710754e-15,0.99999831396847982,1.1015582722100325e-15,0
1,40,2.9810526722100125e-15,0.99999831396848016,5.0613744571390476e-16,0
1,41,3.1051737857903223e-15,0.9999983139684806,7.5469887439356271e-16,0
1,42,2.9729217119182091e-15,0.99999831396848093,5.9015038709527646e-16,0
1,43,2.8526357876821702e-15,0.99999831396848038,5.7135288156194122e-16,0
1,44,3.1548641138140906e-15,0.99999831396848105,1.0783652021283089e-15,0
1,45,3.0255707408066283e-15,0.9999983139684806,7.376816175633613e-16,0
1,46,3.3005347237496854e-15,0.99999831396848049,1.1749423932254307e-15,0
1,47,3.2268116072808933e-15,0.99999831396848082,7.2656175522058178e-16,0
1,48,3.4443039470168496e-15,0.99999831396848049,1.2336161294959637e-15,0
2,0,2.2310987729693716e-15,0.99999831396848027,1.3095928994643647e-15,0
2,1,1.4294072362450903e-15,0.99999831396848005,4.3473678318655046e-16,0
2,2,1.5806672118443146e-15,0.99999831396848027,4.5701747704147878e-16,0
2,3,1.6474156900598063e-15,0.99999831396848071,6.2497453046579441e-16,0
2,4,1.4938721887151779e-15,0.99999831396847993,5.4835916639249525e-16,0
2,5,1.6753397553822342e-15,0.9999983139684806,7.0250003208247621e-16,0
2,6,1.4510214275758196e-15,0.99999831396848038,4.7987474828668797e-16,0
2,7,2.8817178276872754e-15,0.99999831396848005,1.9875577278131213e-15,0
2,8,2.0615180202508439e-15,0.99999831396848016,5.0879637190116323e-16,0
2,9,1.9014608559464988e-15,0.99999831396848005,4.9548785815037221e-16,0
2,10,2.2291897873403451e-15,0.99999831396848016,7.0394661336462651e-16,0
2,11,3.0488941927462084e-15,0.99999831396848005,1.8370395468199369e-15,0
2,12,5.0605880398671101e-15,0.99999831396848071,3.4171123324703412e-15,0
2,13,2.2003029468166608e-15,0.99999831396848049,1.0958950693176367e-15,0
2,14,1.7940338351991584e-15,0.9999983139684806,4.254063836437117e-16,0
2,15,1.7762432075801128e-15,0.99999831396848049,5.6955260448902036e-16,0
2,16,2.375273996904773e-15,0.99999831396848049,1.3040739609809611e-15,0
2,17,1.7211428130199314e-15,0.99999831396848005,4.5496332332217173e-16,0
2,18,1.9562714785932601e-15,0.99999831396848005,5.6815949456864094e-16,0
2,19,2.4820735185991604e-15,0.99999831396848082,1.2864410693885431e-15,0
2,20,1.7680847581059342e-15,0.99999831396848049,4.6754030416337174e-16,0
2,21,1.9000713268485712e-15,0.99999831396848027,5.92268973962758e-16,0
2,22,1.852662431236147e-15,0.99999831396848105,3.9779933364364409e-16,0
2,23,2.4767709423703582e-15,0.9999983139684806,1.2459630008721402e-15,0
2,24,5.178378724840246e-15,0.99999831396848082,3.3623752265633063e-15,0
2,25,1.7844656993712979e-15,0.99999831396848049,3.9152853279853375e-16,0
2,26,1.9360073331648746e-15,0.99999831396847993,6.6900358838697535e-16,0
2,27,2.2220908763992728e-15,0.99999831396847982,7.3284171673313143e-16,0
