group,L,boundary,hs_scheme,configuration,pf_weight_real,pf_weight_imag,dense_weight_real,dense_weight_imag,weight_error,z2_match,green_error,determinant_identity_error
dense_L2,2,0,0,0,3.0034717332846359,-2.6721177748099922e-33,3.0034717332846319,0,1.3307276523889949e-15,1,4.5097773788993463e-16,3.9383391268083322e-16
dense_L2,2,0,0,1,1.4918246976412717,-4.8772486154570275e-33,1.4918246976412692,0,1.6372504477484368e-15,1,7.0571316541155761e-16,5.986264339126914e-16
dense_L2,2,0,0,2,1.4918246976412712,1.022909964605991e-32,1.4918246976412692,0,1.3395685481578118e-15,1,7.1536675981508333e-16,2.4595468257582915e-48
dense_L2,2,0,0,3,0.74098947022837136,3.0221188356609669e-33,0.74098947022837025,0,1.4982979775447953e-15,1,7.3317114821489714e-16,1.2461680740176825e-48
dense_L2,2,0,1,0,1.8095245012782628,-3.4850174221141854e-34,1.8095245012782619,0,4.9083525482672894e-16,1,6.3235302944615492e-16,4.9989707057034401e-35
dense_L2,2,0,1,1,1.5545307981195122,-3.0228125597983474e-19,1.5545307981195107,0,9.99859421086503e-16,1,5.9638737918640554e-16,3.6753741418774501e-16
dense_L2,2,0,1,2,1.5545307981195118,3.0228125597984264e-19,1.5545307981195107,0,7.1418531374183512e-16,1,5.0780764227334635e-16,1.8376870709387255e-16
dense_L2,2,0,1,3,1.8095245012782635,2.6355444254738537e-33,1.8095245012782619,0,8.5896169594677562e-16,1,4.1320437572389603e-16,1.3562547909132991e-16
dense_L2,2,1,0,0,4.9507433053797074,1.1891806591653805e-32,4.9507433053796932,0,2.8704487061084081e-15,1,3.4340152933850857e-16,1.4495039073169265e-16
dense_L2,2,1,0,1,2.4590346740405624,2.0605301981613829e-33,2.4590346740405566,0,2.3477341694270058e-15,1,1.1008594995367602e-15,9.2786595690685726e-48
dense_L2,2,1,0,2,2.4590346740405629,1.5339612032683971e-32,2.4590346740405566,0,2.5283291055367752e-15,1,1.1588992479646784e-15,1.4688278942649038e-16
dense_L2,2,1,0,3,1.2214027581601714,-1.966139174820433e-32,1.2214027581601681,0,2.7269211991076117e-15,1,3.8818869891105627e-15,3.6692126996714046e-48
dense_L2,2,1,0,4,2.4590346740405638,3.7313328998528368e-33,2.4590346740405566,0,2.8895189777563146e-15,1,1.0587166355788417e-15,1.4688278942649031e-16
dense_L2,2,1,0,5,1.2214027581601712,3.2112628979570365e-33,1.2214027581601679,0,2.7269211991076121e-15,1,1.4682376825728834e-15,1.4884094979531201e-16
dense_L2,2,1,0,6,1.2214027581601716,1.8295991193152531e-32,1.2214027581601679,0,3.0905106923219605e-15,1,1.5759172468951848e-15,1.4884094979531191e-16
dense_L2,2,1,0,7,0.60667086698292971,-1.4526590420589125e-32,0.60667086698292783,0,3.1110429799423323e-15,1,3.9922131184596628e-15,1.5082521527859237e-16
dense_L2,2,1,0,8,2.4590346740405638,3.282800750509298e-33,2.4590346740405566,0,2.8895189777563146e-15,1,1.1340346240065478e-15,1.4688278942649031e-16
dense_L2,2,1,0,9,1.2214027581601714,5.2430950771848383e-33,1.2214027581601679,0,2.9087159457147861e-15,1,1.3562422425306154e-15,1.4884094979531196e-16
dense_L2,2,1,0,10,1.2214027581601716,1.3561448254564752e-32,1.2214027581601679,0,3.0905106923219605e-15,1,1.4460012002627956e-15,1.4884094979531191e-16
dense_L2,2,1,0,11,0.6066708669829296,-1.4526590420589131e-32,0.60667086698292783,0,2.9280404517104304e-15,1,3.976661553683339e-15,3.0165043055718479e-16
dense_L2,2,1,0,12,1.2214027581601716,-2.7508327986555875e-32,1.2214027581601681,0,2.9087159457147857e-15,1,3.5843596388116353e-15,2.9768189959062383e-16
dense_L2,2,1,0,13,0.60667086698292971,1.8874540842970011e-32,0.60667086698292783,0,3.1110429799423323e-15,1,3.7369646506271971e-15,1.5082521527859237e-16
dense_L2,2,1,0,14,0.60667086698292971,3.2532157315615716e-32,0.60667086698292783,0,3.1110429799423323e-15,1,3.8173233971603852e-15,1.5082521527859237e-16
dense_L2,2,1,0,15,0.30133347774670288,2.6025703015928691e-32,0.30133347774670227,0,2.0264016733551225e-15,1,5.3022665661122646e-15,3.0567186779065078e-16
dense_L2,2,1,1,0,2.4987297698298065,1.0779727810089391e-31,2.4987297698298008,0,2.3104378063435202e-15,1,6.5713480268496975e-16,5.6901226294815438e-16
dense_L2,2,1,1,1,1.532852770511747,-1.5412621108094021e-17,1.5328527705117436,0,2.1728797433095527e-15,1,1.1713953381643427e-15,7.5601310910861061e-16
dense_L2,2,1,1,2,1.5328527705117465,-1.5412621108094012e-17,1.5328527705117436,0,1.8831691251647634e-15,1,1.266064259537591e-15,1.8900327727715265e-16
dense_L2,2,1,1,3,1.3487113798935715,-3.8685484879659336e-17,1.3487113798935688,0,1.9758238232101487e-15,1,1.1818939113963694e-15,1.2206809910803071e-16
dense_L2,2,1,1,4,1.5328527705117472,1.5412621108094101e-17,1.5328527705117438,0,2.1728797433095523e-15,1,9.7339301431649864e-16,3.7800655455430511e-16
dense_L2,2,1,1,5,1.2214027581601714,-4.4896418658096956e-33,1.221402758160169,0,1.9997422126789137e-15,1,1.3287319089244971e-15,3.8257826033428062e-34
dense_L2,2,1,1,6,1.2214027581601716,7.543086589259194e-33,1.221402758160169,0,2.1815369592860877e-15,1,1.4899179036695566e-15,2.9768189959062383e-16
dense_L2,2,1,1,7,1.5328527705117461,-1.5412621108094027e-17,1.5328527705117438,0,1.4486058821677939e-15,1,1.0760883202362035e-15,5.2458947540676919e-33
dense_L2,2,1,1,8,1.5328527705117467,1.5412621108094092e-17,1.5328527705117438,0,1.8831691251647634e-15,1,1.1324439285536519e-15,1.8900327727715255e-16
dense_L2,2,1,1,9,1.2214027581601716,-4.4121582198181609e-33,1.221402758160169,0,2.1815369592860877e-15,1,1.5041337744516091e-15,4.4652284938593587e-16
dense_L2,2,1,1,10,1.2214027581601714,3.9803948157935609e-33,1.221402758160169,0,1.9997422126789137e-15,1,1.5851172547234308e-15,4.5477557402284472e-33
dense_L2,2,1,1,11,1.5328527705117458,-1.5412621108094058e-17,1.5328527705117438,0,1.303752660799581e-15,1,1.3280982406194275e-15,1.8900327727715285e-16
dense_L2,2,1,1,12,1.3487113798935715,3.8685484879659379e-17,1.3487113798935688,0,1.9758238232101487e-15,1,1.214967313324348e-15,3.6620429732409208e-16
dense_L2,2,1,1,13,1.5328527705117458,1.5412621108094043e-17,1.5328527705117436,0,1.4486058821677941e-15,1,1.2017318370694852e-15,3.7800655455430575e-16
dense_L2,2,1,1,14,1.5328527705117454,1.5412621108094033e-17,1.5328527705117436,0,1.158900408691525e-15,1,1.279807461399829e-15,3.780065545543057e-16
dense_L2,2,1,1,15,2.4987297698298034,-4.6198833471811622e-32,2.4987297698298008,0,1.0663559106200863e-15,1,6.7900560626931996e-16,2.8450613147407763e-16
dense_L4_random,4,0,0,0,2.447702249485487,1.0350008469438899e-16,2.4477022494855003,2.9593652030958133e-17,5.4430155022338457e-15,1,1.9165372325583164e-15,4.4473806028476534e-16
dense_L4_random,4,0,0,1,1.5030571324743849,1.7104737783734798e-16,1.5030571324743947,-2.3393442784490691e-17,6.5013478762173625e-15,1,1.8928218969862519e-15,5.8971272369148129e-16
dense_L4_random,4,0,0,2,2.4477022494854874,1.1156171863838027e-16,2.4477022494855021,-8.700685442692351e-18,5.9874265232267781e-15,1,1.7797396585389244e-15,2.9649204018984341e-16
dense_L4_random,4,0,0,3,2.2261841093876975,-1.8834194720087308e-16,2.2261841093877122,2.0706173748644977e-16,6.5853839616865016e-15,1,5.3336243012552648e-15,3.584330564871119e-16
dense_L4_random,4,0,0,4,1.5030571324743851,-4.3823694868334194e-18,1.5030571324743951,6.4404160358020478e-17,6.6479468887186612e-15,1,2.0091696236903583e-15,1.9657090789716052e-16
dense_L4_random,4,0,0,5,1.5030571324743849,1.7104737783734798e-16,1.5030571324743947,-2.3393442784490691e-17,6.5013478762173625e-15,1,1.8928218969862519e-15,5.8971272369148129e-16
dense_L4_random,4,0,0,6,2.2261841093876975,2.8493338551994435e-16,2.2261841093877099,-1.336921552543536e-16,5.5887303516218589e-15,1,4.2036551747166572e-15,3.584330564871119e-16
dense_L4_random,4,0,0,7,3.026085851800409,-7.307229335441965e-17,3.0260858518004308,1.2546066677598696e-16,7.1912291975075625e-15,1,1.7093160123325174e-15,9.6992404683452468e-16
dense_L4_random,4,0,0,8,4.4819482183161865,1.3166241747684514e-16,4.4819482183162176,4.7373864561163914e-17,6.9359031936203004e-15,1,1.3034580911003961e-15,1.7685874496195963e-16
dense_L4_random,4,0,0,9,3.0260858518004103,-1.3771928321086179e-16,3.0260858518004294,2.0098404149615914e-16,6.3114004418212154e-15,1,2.046042365570845e-15,3.8796961873380975e-16
dense_L4_random,4,0,0,10,2.0814407347893087,2.2900318693156166e-16,2.0814407347893233,-9.5877468310064776e-17,7.0424991325354492e-15,1,2.1747757923017255e-15,2.0500861776114232e-16
dense_L4_random,4,0,0,11,1.394713349641072,2.5621241221202695e-16,1.3947133496410811,-2.4334583383528263e-16,6.5372033167181485e-15,1,2.6381355858360193e-15,0
dense_L4_random,4,0,0,12,2.4477022494854852,-1.0659794471613546e-17,2.4477022494855003,1.0482819231167802e-16,6.1688364253229061e-15,1,1.7766398047240518e-15,4.4473806028476553e-16
dense_L4_random,4,0,0,13,1.105745860391079,6.9405829292994989e-17,1.1057458603910852,-5.9615716116190371e-17,5.6238849780170073e-15,1,2.6275695047152783e-15,1.816057441919633e-16
dense_L4_random,4,0,0,14,3.4887968770644417,1.5761642228422035e-16,3.4887968770644644,7.2113847392079551e-17,6.4918399935801074e-15,1,1.4365193097811328e-15,2.918830248525949e-16
dense_L4_random,4,0,0,15,5.9891066098105705,9.8974577775230437e-17,5.9891066098106052,1.441576410770163e-16,5.7836652598484216e-15,1,1.0623878142053537e-15,3.961832512959666e-16
dense_L4_random,4,0,0,16,2.2261841093876975,-1.4512058593178342e-16,2.2261841093877104,2.3797768809978963e-16,5.7876092852516659e-15,1,2.3458687528817407e-15,1.79216528243556e-16
dense_L4_random,4,0,0,17,2.2261841093876975,6.8118113355727398e-17,2.2261841093877122,4.2631629552932691e-17,6.5829982457738301e-15,1,1.5812066687346467e-15,3.5843305648711219e-16
dense_L4_random,4,0,0,18,3.219335450639444,1.8364939169854705e-16,3.2193354506394645,1.7891646722017048e-17,6.3456500421010814e-15,1,1.293911721803793e-15,1.902865001107775e-32
dense_L4_random,4,0,0,19,1.1057458603910792,-4.2535652778323178e-17,1.1057458603910857,1.0949733732022845e-16,5.8251070955253508e-15,1,2.4650497071991538e-15,3.632114883839265e-16
dense_L4_random,4,0,0,20,3.4887968770644417,1.5761642228422035e-16,3.4887968770644644,7.2113847392079551e-17,6.4918399935801074e-15,1,1.4365193097811328e-15,2.918830248525949e-16
dense_L4_random,4,0,0,21,4.4819482183161892,-1.347414045834502e-16,4.4819482183162158,1.5030948633593791e-16,5.9453782107217808e-15,1,1.405317992606544e-15,5.3057623488587867e-16
dense_L4_random,4,0,0,22,1.5030571324743849,1.7104737783734798e-16,1.5030571324743947,-2.3393442784490691e-17,6.5013478762173625e-15,1,1.8928218969862519e-15,5.8971272369148129e-16
dense_L4_random,4,0,0,23,2.9747898268218056,1.8178372479093609e-17,2.9747898268218242,5.7310311442358007e-17,6.2699514753923737e-15,1,1.6917617850144706e-15,4.0146494797743446e-16
dense_L4_random,4,0,0,24,4.4819482183161865,1.3166241747684514e-16,4.4819482183162176,4.7373864561163914e-17,6.9359031936203004e-15,1,1.3034580911003961e-15,1.7685874496195963e-16
dense_L4_random,4,0,0,25,2.0814407347893096,-9.367661952069978e-17,2.0814407347893233,2.5346049596711043e-16,6.6161583240430787e-15,1,1.6846604437162624e-15,1.138026438424989e-32
dense_L4_random,4,0,0,26,4.0436769668170944,1.1194549123790915e-16,4.0436769668171202,1.2494611151362159e-16,6.3697416147783922e-15,1,1.5192171645903189e-15,2.1727376979164657e-16
dense_L4_random,4,0,0,27,2.4477022494854874,1.1156171863838027e-16,2.4477022494855021,-8.700685442692351e-18,5.9874265232267781e-15,1,1.7797396585389244e-15,2.9649204018984341e-16
