task,L,V,seed,attempt,initialization_policy,initialization_success,initial_z2,center_overlap_rcond,center_solve_residual,center_green_residual,proposals,accepted,independent_field_mismatches,mp_fallback_count,mp_fallback_failures,endpoint_rebuild_residual_max,final_hash,status
16,12,4,712041,0,mirrored_theorem_z2_plus,1,1,0.99999999999999867,1.0788697151769482e-15,3.0195092000642348e-15,64,45,5,0,0,3.0195092000642348e-15,18363571729909254557,PASS
16,12,4,712041,1,mirrored_theorem_z2_plus,1,1,0.99999999999999867,8.2912640080525095e-16,2.2880523849455869e-15,64,44,12,0,0,2.2880523849455869e-15,3846812652158254115,PASS
16,12,4,712041,2,mirrored_theorem_z2_plus,1,1,0.99999999999999889,8.3634036443376682e-16,2.2468606463568272e-15,64,50,4,0,0,2.2468606463568272e-15,14382307034920873715,PASS
16,12,4,712041,3,mirrored_theorem_z2_plus,1,1,0.99999999999999845,9.9423298289504423e-16,2.829523155433829e-15,64,44,6,0,0,2.829523155433829e-15,8074094915395991531,PASS
16,12,4,712041,4,mirrored_theorem_z2_plus,1,1,0.99999999999999922,7.7771275616785036e-16,2.2222244223177992e-15,64,48,8,0,0,2.2222244223177992e-15,5362736324203447855,PASS
16,12,4,712041,5,mirrored_theorem_z2_plus,1,1,0.99999999999999867,9.8733946960500027e-16,2.7525897682564613e-15,64,53,5,0,0,2.7525897682564613e-15,11848262310664732013,PASS
16,12,4,712041,6,mirrored_theorem_z2_plus,1,1,0.99999999999999878,7.3721252927120064e-16,2.0634726195229201e-15,64,55,7,0,0,2.0634726195229201e-15,12669608681810325977,PASS
16,12,4,712041,7,mirrored_theorem_z2_plus,1,1,0.99999999999999889,8.9213100046100753e-16,2.5204924292272713e-15,64,47,11,0,0,2.5204924292272713e-15,5176037421868784213,PASS
16,12,4,712041,8,mirrored_theorem_z2_plus,1,1,0.999999999999999,8.71130363974075e-16,2.4009281208839598e-15,64,48,8,0,0,2.4009281208839598e-15,9763407857836553455,PASS
16,12,4,712041,9,mirrored_theorem_z2_plus,1,1,0.99999999999999867,8.3259671454125131e-16,2.313656077606382e-15,64,47,7,0,0,2.313656077606382e-15,6247504927292839221,PASS
16,12,4,712041,10,mirrored_theorem_z2_plus,1,1,0.99999999999999922,8.9062255942856513e-16,2.5037122042697363e-15,64,44,8,0,0,2.5037122042697363e-15,9029506272781622967,PASS
16,12,4,712041,11,mirrored_theorem_z2_plus,1,1,0.99999999999999922,7.6580057811170359e-16,2.1756051065925752e-15,64,45,7,0,0,2.1756051065925752e-15,5562136343123657053,PASS
16,12,4,712041,12,mirrored_theorem_z2_plus,1,1,0.99999999999999845,8.5390815031745789e-16,2.3705725366037969e-15,64,43,11,0,0,2.3705725366037969e-15,3107083280069510965,PASS
16,12,4,712041,13,mirrored_theorem_z2_plus,1,1,0.99999999999999922,9.6015141171299447e-16,2.7222619857960969e-15,64,42,6,0,0,2.7222619857960969e-15,4544126926783738631,PASS
16,12,4,712041,14,mirrored_theorem_z2_plus,1,1,0.99999999999999889,6.9846111316761753e-16,1.9483746161285666e-15,64,47,9,0,0,1.9483746161285666e-15,9984561855313134441,PASS
16,12,4,712041,15,mirrored_theorem_z2_plus,1,1,0.99999999999999911,7.0944683754997463e-16,2.0217663782086254e-15,64,41,9,0,0,2.0217663782086254e-15,8691111814142514113,PASS
16,12,4,712041,16,mirrored_theorem_z2_plus,1,1,0.99999999999999856,7.9526169079947899e-16,2.2292743213152311e-15,64,49,1,0,0,2.2292743213152311e-15,12275276525956174721,PASS
16,12,4,712041,17,mirrored_theorem_z2_plus,1,1,0.99999999999999922,9.2279216863865697e-16,2.5645456643585833e-15,64,42,8,0,0,2.5645456643585833e-15,4378285613656011335,PASS
16,12,4,712041,18,mirrored_theorem_z2_plus,1,1,0.999999999999999,8.5052276753246652e-16,2.3340781833569784e-15,64,36,8,0,0,2.3340781833569784e-15,17425264577895124931,PASS
16,12,4,712041,19,mirrored_theorem_z2_plus,1,1,0.99999999999999911,7.5369389182429312e-16,2.0499629844927247e-15,64,55,3,0,0,2.0499629844927247e-15,5358062648607881845,PASS
16,12,4,712041,20,mirrored_theorem_z2_plus,1,1,0.99999999999999911,9.1659312198717158e-16,2.6158801083177066e-15,64,45,7,0,0,2.6158801083177066e-15,3408298121824625745,PASS
16,12,4,712041,21,mirrored_theorem_z2_plus,1,1,0.999999999999999,8.819231930532222e-16,2.4388227007716172e-15,64,51,3,0,0,2.4388227007716172e-15,16370942347705519165,PASS
16,12,4,712041,22,mirrored_theorem_z2_plus,1,1,0.999999999999999,7.6593158179683682e-16,2.2336126230067748e-15,64,35,11,0,0,2.2336126230067748e-15,15810770656575175541,PASS
16,12,4,712041,23,mirrored_theorem_z2_plus,1,1,0.99999999999999911,7.9805872314290737e-16,2.1631746435405686e-15,64,51,3,0,0,2.1631746435405686e-15,12990801267496704133,PASS
16,12,4,712041,24,mirrored_theorem_z2_plus,1,1,0.99999999999999944,9.0299711325368146e-16,2.5589875239249994e-15,64,41,11,0,0,2.5589875239249994e-15,2821382114831041673,PASS
16,12,4,712041,25,mirrored_theorem_z2_plus,1,1,0.99999999999999911,6.8566347602831209e-16,1.9128532105327897e-15,64,44,8,0,0,1.9128532105327897e-15,7248494808482189603,PASS
16,12,4,712041,26,mirrored_theorem_z2_plus,1,1,0.99999999999999911,7.9644743241451777e-16,2.1887988369101121e-15,64,49,7,0,0,2.1887988369101121e-15,13338711810898863093,PASS
