task_id,label,Vf,dt,burn,seed,output_dir
0,A,4,0.1,300,1100001,results/equilibration_check/runs/task_000_A_b300_s1100001
1,A,4,0.1,300,1100002,results/equilibration_check/runs/task_001_A_b300_s1100002
2,A,4,0.1,300,1100003,results/equilibration_check/runs/task_002_A_b300_s1100003
3,A,4,0.1,300,1100004,results/equilibration_check/runs/task_003_A_b300_s1100004
4,A,4,0.1,1000,1100101,results/equilibration_check/runs/task_004_A_b1000_s1100101
5,A,4,0.1,1000,1100102,results/equilibration_check/runs/task_005_A_b1000_s1100102
6,A,4,0.1,1000,1100103,results/equilibration_check/runs/task_006_A_b1000_s1100103
7,A,4,0.1,1000,1100104,results/equilibration_check/runs/task_007_A_b1000_s1100104
8,A,4,0.1,3000,1100301,results/equilibration_check/runs/task_008_A_b3000_s1100301
9,A,4,0.1,3000,1100302,results/equilibration_check/runs/task_009_A_b3000_s1100302
10,A,4,0.1,3000,1100303,results/equilibration_check/runs/task_010_A_b3000_s1100303
11,A,4,0.1,3000,1100304,results/equilibration_check/runs/task_011_A_b3000_s1100304
12,A,4,0.1,6000,1100601,results/equilibration_check/runs/task_012_A_b6000_s1100601
13,A,4,0.1,6000,1100602,results/equilibration_check/runs/task_013_A_b6000_s1100602
14,A,4,0.1,6000,1100603,results/equilibration_check/runs/task_014_A_b6000_s1100603
15,A,4,0.1,6000,1100604,results/equilibration_check/runs/task_015_A_b6000_s1100604
16,B,5,0.1,300,1101001,results/equilibration_check/runs/task_016_B_b300_s1101001
17,B,5,0.1,300,1101002,results/equilibration_check/runs/task_017_B_b300_s1101002
18,B,5,0.1,300,1101003,results/equilibration_check/runs/task_018_B_b300_s1101003
19,B,5,0.1,300,1101004,results/equilibration_check/runs/task_019_B_b300_s1101004
20,B,5,0.1,1000,1101101,results/equilibration_check/runs/task_020_B_b1000_s1101101
21,B,5,0.1,1000,1101102,results/equilibration_check/runs/task_021_B_b1000_s1101102
22,B,5,0.1,1000,1101103,results/equilibration_check/runs/task_022_B_b1000_s1101103
23,B,5,0.1,1000,1101104,results/equilibration_check/runs/task_023_B_b1000_s1101104
24,B,5,0.1,3000,1101301,results/equilibration_check/runs/task_024_B_b3000_s1101301
25,B,5,0.1,3000,1101302,results/equilibration_check/runs/task_025_B_b3000_s1101302
26,B,5,0.1,3000,1101303,results/equilibration_check/runs/task_026_B_b3000_s1101303
27,B,5,0.1,3000,1101304,results/equilibration_check/runs/task_027_B_b3000_s1101304
28,B,5,0.1,6000,1101601,results/equilibration_check/runs/task_028_B_b6000_s1101601
29,B,5,0.1,6000,1101602,results/equilibration_check/runs/task_029_B_b6000_s1101602
30,B,5,0.1,6000,1101603,results/equilibration_check/runs/task_030_B_b6000_s1101603
31,B,5,0.1,6000,1101604,results/equilibration_check/runs/task_031_B_b6000_s1101604
32,C,4,0.05,300,1102001,results/equilibration_check/runs/task_032_C_b300_s1102001
33,C,4,0.05,300,1102002,results/equilibration_check/runs/task_033_C_b300_s1102002
34,C,4,0.05,3000,1102301,results/equilibration_check/runs/task_034_C_b3000_s1102301
35,C,4,0.05,3000,1102302,results/equilibration_check/runs/task_035_C_b3000_s1102302
