bin_index,sample_count,sign_sum,signed_S_pi_numerator,signed_S_pi_dq_numerator
0,2,2,0.1250001312584271,0.12499999195754465
1,1,1,0.062479433366615419,0.062507015228846843
2,1,1,0.062525982500343802,0.06249258753282682
3,2,2,0.12500192130170956,0.12499912432170299
4,1,1,0.062513454303050831,0.062499799792152602
5,1,1,0.062502512839183608,0.062499883939304453
6,2,2,0.12501783791497717,0.12499429510925542
7,1,1,0.062496150082325334,0.06250007421548455
8,1,1,0.06250277621481104,0.062499389006558576
9,2,0,1.4581127689428097e-06,-1.7323912311628664e-07
10,1,1,0.062503164738456296,0.062499589797198517
11,1,1,0.062514172679187963,0.062499065776879179
12,2,2,0.12500483962489334,0.12499901315973616
13,1,1,0.062490266313578888,0.062499664596465165
14,1,1,0.062366382437111297,0.062524721826715757
