bin_index,sample_count,sign_sum,signed_S_pi_numerator,signed_S_pi_dq_numerator
0,2,2,0.12500952360639589,0.12499612094884406
1,1,1,0.062503688293793352,0.062498290176070059
2,1,1,0.062500593460315904,0.06249993694937192
3,2,2,0.12504402678685753,0.12499060623890404
4,1,1,0.062518337761781964,0.062492927824614991
5,1,1,0.062517917067050552,0.062499394357908897
6,2,2,0.12500296695543126,0.12499955305974703
7,1,1,0.062500899157431483,0.062499964673049038
8,1,1,0.062501799914898348,0.06249980338122739
9,2,0,2.7396525365402935e-06,-2.8640324177542364e-07
10,1,1,0.062500390442036924,0.062499974334552538
11,1,1,0.062489474748956893,0.062505046931720917
12,2,2,0.12500295769273695,0.12499973695226617
13,1,1,0.062500514130639312,0.062499955306146215
14,1,1,0.062500120054220648,0.06249999674782579
