task_id,L,Vf,rate,seed,burn,measurements_expected,output_dir,classification,exit_code,measurements_completed,S_pi,S_pi_err,average_sign,acceptance,max_sign_imag,max_observable_imag,sign_corrections,sign_recomputes,negative_signs,runtime_seconds,n_bins_used,min_update_denominator,bin_records_path,qc_flags,stderr_tail,parse_error
0,26,3.75,0.5,4226001,500,5000,raw/rigorous/task_0000_L26_V3.75_R0.5_s4226001,success,0,5000,0.03290667112055885,0.002727998592176352,0.3952,0.8705186222222222,8.808970515721047e-08,3.6636389702670034e-13,0,250,1512,2826.618470867,15,0.00012060052626183815,/home/sunxr/PfQMC-main/reproduction/driven_kitaev/results/driven_critical_rate_ratio/raw/rigorous/task_0000_L26_V3.75_R0.5_s4226001/bin_records.csv,,,
1,26,3.75,0.5,4226002,500,5000,raw/rigorous/task_0001_L26_V3.75_R0.5_s4226002,other_failure,3,,,,,,,,,,,,,,,,,
2,26,3.75,0.5,4226003,500,5000,raw/rigorous/task_0002_L26_V3.75_R0.5_s4226003,success,0,5000,0.03810838290274971,0.0031589401251359613,0.382,0.8706072740740741,1.320633197546522e-08,2.804631246918995e-13,0,250,1545,2856.976446259,15,1.5858378244582028e-05,/home/sunxr/PfQMC-main/reproduction/driven_kitaev/results/driven_critical_rate_ratio/raw/rigorous/task_0002_L26_V3.75_R0.5_s4226003/bin_records.csv,,,
3,26,3.75,0.5,4226004,500,5000,raw/rigorous/task_0003_L26_V3.75_R0.5_s4226004,success,0,5000,0.030009252920921468,0.0021292447205692464,0.4244,0.870467437037037,7.211447484302389e-08,7.823322962337574e-13,0,250,1439,2895.255383702,15,1.224938858990221e-05,/home/sunxr/PfQMC-main/reproduction/driven_kitaev/results/driven_critical_rate_ratio/raw/rigorous/task_0003_L26_V3.75_R0.5_s4226004/bin_records.csv,,,
4,26,3.75,0.5,4226005,500,5000,raw/rigorous/task_0004_L26_V3.75_R0.5_s4226005,other_failure,3,,,,,,,,,,,,,,,,,
5,26,3.75,0.5,4226006,500,5000,raw/rigorous/task_0005_L26_V3.75_R0.5_s4226006,success,0,5000,0.036832974530175096,0.0021263050795831545,0.3876,0.8705729185185185,2.3161578425369435e-08,1.1673177069124362e-13,0,250,1531,2922.985785255,15,8.760591820644592e-06,/home/sunxr/PfQMC-main/reproduction/driven_kitaev/results/driven_critical_rate_ratio/raw/rigorous/task_0005_L26_V3.75_R0.5_s4226006/bin_records.csv,,,
6,26,3.75,0.5,4226007,500,5000,raw/rigorous/task_0006_L26_V3.75_R0.5_s4226007,success,0,5000,0.03520300873590173,0.0026059031638347714,0.3884,0.8705597333333334,9.618431031665553e-09,7.779901979348608e-13,0,250,1529,2902.840626025,15,8.051819353704914e-06,/home/sunxr/PfQMC-main/reproduction/driven_kitaev/results/driven_critical_rate_ratio/raw/rigorous/task_0006_L26_V3.75_R0.5_s4226007/bin_records.csv,,,
7,26,3.75,0.5,4226008,500,5000,raw/rigorous/task_0007_L26_V3.75_R0.5_s4226008,other_failure,3,,,,,,,,,,,,,,,,,
8,26,3.75,0.5,4226009,500,5000,raw/rigorous/task_0008_L26_V3.75_R0.5_s4226009,success,0,5000,0.033009517411047594,0.0012498634777980582,0.406,0.8704664740740741,9.049633693315958e-09,1.660249668503552e-13,0,250,1485,2889.13222646,15,9.991032366984953e-06,/home/sunxr/PfQMC-main/reproduction/driven_kitaev/results/driven_critical_rate_ratio/raw/rigorous/task_0008_L26_V3.75_R0.5_s4226009/bin_records.csv,,,
9,26,3.75,0.5,4226010,500,5000,raw/rigorous/task_0009_L26_V3.75_R0.5_s4226010,success,0,5000,0.03308986656858992,0.001317991302753444,0.4008,0.870486562962963,4.5946099740026866e-08,1.0265153489437407e-13,0,250,1498,1742.986334531,15,1.7774455609131934e-05,/home/sunxr/PfQMC-main/reproduction/driven_kitaev/results/driven_critical_rate_ratio/raw/rigorous/task_0009_L26_V3.75_R0.5_s4226010/bin_records.csv,,,
