bin_index,sample_count,sign_sum,signed_S_pi_numerator,signed_S_pi_dq_numerator
0,334,114,4.2960043309789704,2.8719679105452376
1,333,151,6.0662791795894728,4.7321110776636157
2,333,103,3.8308682246982078,2.5635468359401488
3,334,120,4.2446513777625814,2.6270875254001407
4,333,133,4.8832026045289005,2.7404734288696484
5,333,129,4.7238641787314872,2.9412519451974473
6,334,90,2.952263420865691,2.7485076931826122
7,333,77,2.5482741750569504,1.9693268312493828
8,333,105,3.884993851782474,2.9642566982535503
9,334,112,2.5433887228553349,3.2590463204121312
10,333,105,6.3427516588239872,1.0426048834761728
11,196,60,2.0955198963135349,1.6469207279768525
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
