task_id,campaign,L,Vf,rate,seed,burn,measurements,output_dir
0,quick,18,3.6,0.5,4218001,500,3000,raw/quick/task_0000_L18_V3.6_R0.5_s4218001
1,quick,18,3.6,0.5,4218002,500,3000,raw/quick/task_0001_L18_V3.6_R0.5_s4218002
2,quick,18,3.6,0.5,4218003,500,3000,raw/quick/task_0002_L18_V3.6_R0.5_s4218003
3,quick,18,3.6,0.5,4218004,500,3000,raw/quick/task_0003_L18_V3.6_R0.5_s4218004
4,quick,18,3.6,1.0,4218001,500,3000,raw/quick/task_0004_L18_V3.6_R1.0_s4218001
5,quick,18,3.6,1.0,4218002,500,3000,raw/quick/task_0005_L18_V3.6_R1.0_s4218002
6,quick,18,3.6,1.0,4218003,500,3000,raw/quick/task_0006_L18_V3.6_R1.0_s4218003
7,quick,18,3.6,1.0,4218004,500,3000,raw/quick/task_0007_L18_V3.6_R1.0_s4218004
8,quick,18,3.6,2.0,4218001,500,3000,raw/quick/task_0008_L18_V3.6_R2.0_s4218001
9,quick,18,3.6,2.0,4218002,500,3000,raw/quick/task_0009_L18_V3.6_R2.0_s4218002
10,quick,18,3.6,2.0,4218003,500,3000,raw/quick/task_0010_L18_V3.6_R2.0_s4218003
11,quick,18,3.6,2.0,4218004,500,3000,raw/quick/task_0011_L18_V3.6_R2.0_s4218004
12,quick,18,3.7,0.5,4218001,500,3000,raw/quick/task_0012_L18_V3.7_R0.5_s4218001
13,quick,18,3.7,0.5,4218002,500,3000,raw/quick/task_0013_L18_V3.7_R0.5_s4218002
14,quick,18,3.7,0.5,4218003,500,3000,raw/quick/task_0014_L18_V3.7_R0.5_s4218003
15,quick,18,3.7,0.5,4218004,500,3000,raw/quick/task_0015_L18_V3.7_R0.5_s4218004
16,quick,18,3.7,1.0,4218001,500,3000,raw/quick/task_0016_L18_V3.7_R1.0_s4218001
17,quick,18,3.7,1.0,4218002,500,3000,raw/quick/task_0017_L18_V3.7_R1.0_s4218002
