task_id,dataset_id,L,Vf,rate,seed,burn,measurements,output_dir
0,0,26,3.8,0.25,4226001,500,5000,raw/rigorous_compatible/task_0000_L26_V3.8_R0.25_s4226001
1,1,26,3.8,0.25,4226002,500,5000,raw/rigorous_compatible/task_0001_L26_V3.8_R0.25_s4226002
2,2,26,3.8,0.25,4226003,500,5000,raw/rigorous_compatible/task_0002_L26_V3.8_R0.25_s4226003
3,3,26,3.8,0.25,4226004,500,5000,raw/rigorous_compatible/task_0003_L26_V3.8_R0.25_s4226004
4,4,26,3.8,0.25,4226005,500,5000,raw/rigorous_compatible/task_0004_L26_V3.8_R0.25_s4226005
5,5,26,3.8,0.25,4226006,500,5000,raw/rigorous_compatible/task_0005_L26_V3.8_R0.25_s4226006
6,6,26,3.8,0.25,4226007,500,5000,raw/rigorous_compatible/task_0006_L26_V3.8_R0.25_s4226007
7,7,26,3.8,0.25,4226008,500,5000,raw/rigorous_compatible/task_0007_L26_V3.8_R0.25_s4226008
8,8,26,3.8,0.25,4226009,500,5000,raw/rigorous_compatible/task_0008_L26_V3.8_R0.25_s4226009
9,9,26,3.8,0.25,4226010,500,5000,raw/rigorous_compatible/task_0009_L26_V3.8_R0.25_s4226010
10,10,26,3.8,0.25,4226011,500,5000,raw/rigorous_compatible/task_0010_L26_V3.8_R0.25_s4226011
11,11,26,3.8,0.25,4226012,500,5000,raw/rigorous_compatible/task_0011_L26_V3.8_R0.25_s4226012
12,36,26,3.9,0.25,4226001,500,5000,raw/rigorous_compatible/task_0012_L26_V3.9_R0.25_s4226001
13,37,26,3.9,0.25,4226002,500,5000,raw/rigorous_compatible/task_0013_L26_V3.9_R0.25_s4226002
14,38,26,3.9,0.25,4226003,500,5000,raw/rigorous_compatible/task_0014_L26_V3.9_R0.25_s4226003
15,39,26,3.9,0.25,4226004,500,5000,raw/rigorous_compatible/task_0015_L26_V3.9_R0.25_s4226004
16,40,26,3.9,0.25,4226005,500,5000,raw/rigorous_compatible/task_0016_L26_V3.9_R0.25_s4226005
17,41,26,3.9,0.25,4226006,500,5000,raw/rigorous_compatible/task_0017_L26_V3.9_R0.25_s4226006
18,42,26,3.9,0.25,4226007,500,5000,raw/rigorous_compatible/task_0018_L26_V3.9_R0.25_s4226007
19,43,26,3.9,0.25,4226008,500,5000,raw/rigorous_compatible/task_0019_L26_V3.9_R0.25_s4226008
20,44,26,3.9,0.25,4226009,500,5000,raw/rigorous_compatible/task_0020_L26_V3.9_R0.25_s4226009
21,45,26,3.9,0.25,4226010,500,5000,raw/rigorous_compatible/task_0021_L26_V3.9_R0.25_s4226010
22,46,26,3.9,0.25,4226011,500,5000,raw/rigorous_compatible/task_0022_L26_V3.9_R0.25_s4226011
23,47,26,3.9,0.25,4226012,500,5000,raw/rigorous_compatible/task_0023_L26_V3.9_R0.25_s4226012
24,72,26,4.0,0.25,4226001,500,5000,raw/rigorous_compatible/task_0024_L26_V4.0_R0.25_s4226001
25,73,26,4.0,0.25,4226002,500,5000,raw/rigorous_compatible/task_0025_L26_V4.0_R0.25_s4226002
26,74,26,4.0,0.25,4226003,500,5000,raw/rigorous_compatible/task_0026_L26_V4.0_R0.25_s4226003
27,75,26,4.0,0.25,4226004,500,5000,raw/rigorous_compatible/task_0027_L26_V4.0_R0.25_s4226004
28,76,26,4.0,0.25,4226005,500,5000,raw/rigorous_compatible/task_0028_L26_V4.0_R0.25_s4226005
29,77,26,4.0,0.25,4226006,500,5000,raw/rigorous_compatible/task_0029_L26_V4.0_R0.25_s4226006
30,78,26,4.0,0.25,4226007,500,5000,raw/rigorous_compatible/task_0030_L26_V4.0_R0.25_s4226007
31,79,26,4.0,0.25,4226008,500,5000,raw/rigorous_compatible/task_0031_L26_V4.0_R0.25_s4226008
32,80,26,4.0,0.25,4226009,500,5000,raw/rigorous_compatible/task_0032_L26_V4.0_R0.25_s4226009
