dataset_id,L,Vf,rate,seed,source,result_dir
0,26,3.8,0.25,4226001,new_r025,raw/rigorous_compatible/task_0000_L26_V3.8_R0.25_s4226001
1,26,3.8,0.25,4226002,new_r025,raw/rigorous_compatible/task_0001_L26_V3.8_R0.25_s4226002
2,26,3.8,0.25,4226003,new_r025,raw/rigorous_compatible/task_0002_L26_V3.8_R0.25_s4226003
3,26,3.8,0.25,4226004,new_r025,raw/rigorous_compatible/task_0003_L26_V3.8_R0.25_s4226004
4,26,3.8,0.25,4226005,new_r025,raw/rigorous_compatible/task_0004_L26_V3.8_R0.25_s4226005
5,26,3.8,0.25,4226006,new_r025,raw/rigorous_compatible/task_0005_L26_V3.8_R0.25_s4226006
6,26,3.8,0.25,4226007,new_r025,raw/rigorous_compatible/task_0006_L26_V3.8_R0.25_s4226007
7,26,3.8,0.25,4226008,new_r025,raw/rigorous_compatible/task_0007_L26_V3.8_R0.25_s4226008
8,26,3.8,0.25,4226009,new_r025,raw/rigorous_compatible/task_0008_L26_V3.8_R0.25_s4226009
9,26,3.8,0.25,4226010,new_r025,raw/rigorous_compatible/task_0009_L26_V3.8_R0.25_s4226010
10,26,3.8,0.25,4226011,new_r025,raw/rigorous_compatible/task_0010_L26_V3.8_R0.25_s4226011
11,26,3.8,0.25,4226012,new_r025,raw/rigorous_compatible/task_0011_L26_V3.8_R0.25_s4226012
12,26,3.8,0.50,4226001,reused_original_rigorous,raw/rigorous/task_0036_L26_V3.80_R0.5_s4226001
13,26,3.8,0.50,4226002,reused_original_rigorous,raw/rigorous/task_0037_L26_V3.80_R0.5_s4226002
14,26,3.8,0.50,4226003,reused_original_rigorous,raw/rigorous/task_0038_L26_V3.80_R0.5_s4226003
15,26,3.8,0.50,4226004,reused_original_rigorous,raw/rigorous/task_0039_L26_V3.80_R0.5_s4226004
16,26,3.8,0.50,4226005,reused_original_rigorous,raw/rigorous/task_0040_L26_V3.80_R0.5_s4226005
17,26,3.8,0.50,4226006,reused_original_rigorous,raw/rigorous/task_0041_L26_V3.80_R0.5_s4226006
18,26,3.8,0.50,4226007,reused_original_rigorous,raw/rigorous/task_0042_L26_V3.80_R0.5_s4226007
19,26,3.8,0.50,4226008,reused_original_rigorous,raw/rigorous/task_0043_L26_V3.80_R0.5_s4226008
20,26,3.8,0.50,4226009,reused_original_rigorous,raw/rigorous/task_0044_L26_V3.80_R0.5_s4226009
21,26,3.8,0.50,4226010,reused_original_rigorous,raw/rigorous/task_0045_L26_V3.80_R0.5_s4226010
22,26,3.8,0.50,4226011,reused_original_rigorous,raw/rigorous/task_0046_L26_V3.80_R0.5_s4226011
23,26,3.8,0.50,4226012,reused_original_rigorous,raw/rigorous/task_0047_L26_V3.80_R0.5_s4226012
24,26,3.8,1.00,4226001,reused_original_rigorous,raw/rigorous/task_0048_L26_V3.80_R1.0_s4226001
25,26,3.8,1.00,4226002,reused_original_rigorous,raw/rigorous/task_0049_L26_V3.80_R1.0_s4226002
26,26,3.8,1.00,4226003,reused_original_rigorous,raw/rigorous/task_0050_L26_V3.80_R1.0_s4226003
27,26,3.8,1.00,4226004,reused_original_rigorous,raw/rigorous/task_0051_L26_V3.80_R1.0_s4226004
28,26,3.8,1.00,4226005,reused_original_rigorous,raw/rigorous/task_0052_L26_V3.80_R1.0_s4226005
29,26,3.8,1.00,4226006,reused_original_rigorous,raw/rigorous/task_0053_L26_V3.80_R1.0_s4226006
30,26,3.8,1.00,4226007,reused_original_rigorous,raw/rigorous/task_0054_L26_V3.80_R1.0_s4226007
31,26,3.8,1.00,4226008,reused_original_rigorous,raw/rigorous/task_0055_L26_V3.80_R1.0_s4226008
32,26,3.8,1.00,4226009,reused_original_rigorous,raw/rigorous/task_0056_L26_V3.80_R1.0_s4226009
33,26,3.8,1.00,4226010,reused_original_rigorous,raw/rigorous/task_0057_L26_V3.80_R1.0_s4226010
34,26,3.8,1.00,4226011,reused_original_rigorous,raw/rigorous/task_0058_L26_V3.80_R1.0_s4226011
35,26,3.8,1.00,4226012,reused_original_rigorous,raw/rigorous/task_0059_L26_V3.80_R1.0_s4226012
36,26,3.9,0.25,4226001,new_r025,raw/rigorous_compatible/task_0012_L26_V3.9_R0.25_s4226001
37,26,3.9,0.25,4226002,new_r025,raw/rigorous_compatible/task_0013_L26_V3.9_R0.25_s4226002
38,26,3.9,0.25,4226003,new_r025,raw/rigorous_compatible/task_0014_L26_V3.9_R0.25_s4226003
39,26,3.9,0.25,4226004,new_r025,raw/rigorous_compatible/task_0015_L26_V3.9_R0.25_s4226004
40,26,3.9,0.25,4226005,new_r025,raw/rigorous_compatible/task_0016_L26_V3.9_R0.25_s4226005
41,26,3.9,0.25,4226006,new_r025,raw/rigorous_compatible/task_0017_L26_V3.9_R0.25_s4226006
42,26,3.9,0.25,4226007,new_r025,raw/rigorous_compatible/task_0018_L26_V3.9_R0.25_s4226007
43,26,3.9,0.25,4226008,new_r025,raw/rigorous_compatible/task_0019_L26_V3.9_R0.25_s4226008
44,26,3.9,0.25,4226009,new_r025,raw/rigorous_compatible/task_0020_L26_V3.9_R0.25_s4226009
45,26,3.9,0.25,4226010,new_r025,raw/rigorous_compatible/task_0021_L26_V3.9_R0.25_s4226010
46,26,3.9,0.25,4226011,new_r025,raw/rigorous_compatible/task_0022_L26_V3.9_R0.25_s4226011
47,26,3.9,0.25,4226012,new_r025,raw/rigorous_compatible/task_0023_L26_V3.9_R0.25_s4226012
48,26,3.9,0.50,4226001,reused_original_rigorous,raw/rigorous/task_0108_L26_V3.90_R0.5_s4226001
49,26,3.9,0.50,4226002,reused_original_rigorous,raw/rigorous/task_0109_L26_V3.90_R0.5_s4226002
50,26,3.9,0.50,4226003,reused_original_rigorous,raw/rigorous/task_0110_L26_V3.90_R0.5_s4226003
51,26,3.9,0.50,4226004,reused_original_rigorous,raw/rigorous/task_0111_L26_V3.90_R0.5_s4226004
52,26,3.9,0.50,4226005,reused_original_rigorous,raw/rigorous/task_0112_L26_V3.90_R0.5_s4226005
53,26,3.9,0.50,4226006,reused_original_rigorous,raw/rigorous/task_0113_L26_V3.90_R0.5_s4226006
54,26,3.9,0.50,4226007,reused_original_rigorous,raw/rigorous/task_0114_L26_V3.90_R0.5_s4226007
55,26,3.9,0.50,4226008,reused_original_rigorous,raw/rigorous/task_0115_L26_V3.90_R0.5_s4226008
56,26,3.9,0.50,4226009,reused_original_rigorous,raw/rigorous/task_0116_L26_V3.90_R0.5_s4226009
57,26,3.9,0.50,4226010,reused_original_rigorous,raw/rigorous/task_0117_L26_V3.90_R0.5_s4226010
58,26,3.9,0.50,4226011,reused_original_rigorous,raw/rigorous/task_0118_L26_V3.90_R0.5_s4226011
59,26,3.9,0.50,4226012,reused_original_rigorous,raw/rigorous/task_0119_L26_V3.90_R0.5_s4226012
60,26,3.9,1.00,4226001,reused_original_rigorous,raw/rigorous/task_0120_L26_V3.90_R1.0_s4226001
61,26,3.9,1.00,4226002,reused_original_rigorous,raw/rigorous/task_0121_L26_V3.90_R1.0_s4226002
62,26,3.9,1.00,4226003,reused_original_rigorous,raw/rigorous/task_0122_L26_V3.90_R1.0_s4226003
63,26,3.9,1.00,4226004,reused_original_rigorous,raw/rigorous/task_0123_L26_V3.90_R1.0_s4226004
64,26,3.9,1.00,4226005,reused_original_rigorous,raw/rigorous/task_0124_L26_V3.90_R1.0_s4226005
65,26,3.9,1.00,4226006,reused_original_rigorous,raw/rigorous/task_0125_L26_V3.90_R1.0_s4226006
66,26,3.9,1.00,4226007,reused_original_rigorous,raw/rigorous/task_0126_L26_V3.90_R1.0_s4226007
67,26,3.9,1.00,4226008,reused_original_rigorous,raw/rigorous/task_0127_L26_V3.90_R1.0_s4226008
68,26,3.9,1.00,4226009,reused_original_rigorous,raw/rigorous/task_0128_L26_V3.90_R1.0_s4226009
69,26,3.9,1.00,4226010,reused_original_rigorous,raw/rigorous/task_0129_L26_V3.90_R1.0_s4226010
70,26,3.9,1.00,4226011,reused_original_rigorous,raw/rigorous/task_0130_L26_V3.90_R1.0_s4226011
71,26,3.9,1.00,4226012,reused_original_rigorous,raw/rigorous/task_0131_L26_V3.90_R1.0_s4226012
72,26,4.0,0.25,4226001,new_r025,raw/rigorous_compatible/task_0024_L26_V4.0_R0.25_s4226001
73,26,4.0,0.25,4226002,new_r025,raw/rigorous_compatible/task_0025_L26_V4.0_R0.25_s4226002
74,26,4.0,0.25,4226003,new_r025,raw/rigorous_compatible/task_0026_L26_V4.0_R0.25_s4226003
75,26,4.0,0.25,4226004,new_r025,raw/rigorous_compatible/task_0027_L26_V4.0_R0.25_s4226004
76,26,4.0,0.25,4226005,new_r025,raw/rigorous_compatible/task_0028_L26_V4.0_R0.25_s4226005
77,26,4.0,0.25,4226006,new_r025,raw/rigorous_compatible/task_0029_L26_V4.0_R0.25_s4226006
78,26,4.0,0.25,4226007,new_r025,raw/rigorous_compatible/task_0030_L26_V4.0_R0.25_s4226007
79,26,4.0,0.25,4226008,new_r025,raw/rigorous_compatible/task_0031_L26_V4.0_R0.25_s4226008
80,26,4.0,0.25,4226009,new_r025,raw/rigorous_compatible/task_0032_L26_V4.0_R0.25_s4226009
81,26,4.0,0.25,4226010,new_r025,raw/rigorous_compatible/task_0033_L26_V4.0_R0.25_s4226010
82,26,4.0,0.25,4226011,new_r025,raw/rigorous_compatible/task_0034_L26_V4.0_R0.25_s4226011
83,26,4.0,0.25,4226012,new_r025,raw/rigorous_compatible/task_0035_L26_V4.0_R0.25_s4226012
84,26,4.0,0.50,4226001,reused_original_rigorous,raw/rigorous/task_0180_L26_V4.00_R0.5_s4226001
85,26,4.0,0.50,4226002,reused_original_rigorous,raw/rigorous/task_0181_L26_V4.00_R0.5_s4226002
86,26,4.0,0.50,4226003,reused_original_rigorous,raw/rigorous/task_0182_L26_V4.00_R0.5_s4226003
87,26,4.0,0.50,4226004,reused_original_rigorous,raw/rigorous/task_0183_L26_V4.00_R0.5_s4226004
88,26,4.0,0.50,4226005,reused_original_rigorous,raw/rigorous/task_0184_L26_V4.00_R0.5_s4226005
89,26,4.0,0.50,4226006,reused_original_rigorous,raw/rigorous/task_0185_L26_V4.00_R0.5_s4226006
90,26,4.0,0.50,4226007,reused_original_rigorous,raw/rigorous/task_0186_L26_V4.00_R0.5_s4226007
