task_id,campaign,L,Vf,rate,seed,burn,measurements,output_dir
0,rigorous,26,3.75,0.5,4226001,500,5000,raw/rigorous/task_0000_L26_V3.75_R0.5_s4226001
1,rigorous,26,3.75,0.5,4226002,500,5000,raw/rigorous/task_0001_L26_V3.75_R0.5_s4226002
2,rigorous,26,3.75,0.5,4226003,500,5000,raw/rigorous/task_0002_L26_V3.75_R0.5_s4226003
3,rigorous,26,3.75,0.5,4226004,500,5000,raw/rigorous/task_0003_L26_V3.75_R0.5_s4226004
4,rigorous,26,3.75,0.5,4226005,500,5000,raw/rigorous/task_0004_L26_V3.75_R0.5_s4226005
5,rigorous,26,3.75,0.5,4226006,500,5000,raw/rigorous/task_0005_L26_V3.75_R0.5_s4226006
6,rigorous,26,3.75,0.5,4226007,500,5000,raw/rigorous/task_0006_L26_V3.75_R0.5_s4226007
7,rigorous,26,3.75,0.5,4226008,500,5000,raw/rigorous/task_0007_L26_V3.75_R0.5_s4226008
8,rigorous,26,3.75,0.5,4226009,500,5000,raw/rigorous/task_0008_L26_V3.75_R0.5_s4226009
9,rigorous,26,3.75,0.5,4226010,500,5000,raw/rigorous/task_0009_L26_V3.75_R0.5_s4226010
10,rigorous,26,3.75,0.5,4226011,500,5000,raw/rigorous/task_0010_L26_V3.75_R0.5_s4226011
11,rigorous,26,3.75,0.5,4226012,500,5000,raw/rigorous/task_0011_L26_V3.75_R0.5_s4226012
12,rigorous,26,3.75,1.0,4226001,500,5000,raw/rigorous/task_0012_L26_V3.75_R1.0_s4226001
13,rigorous,26,3.75,1.0,4226002,500,5000,raw/rigorous/task_0013_L26_V3.75_R1.0_s4226002
14,rigorous,26,3.75,1.0,4226003,500,5000,raw/rigorous/task_0014_L26_V3.75_R1.0_s4226003
15,rigorous,26,3.75,1.0,4226004,500,5000,raw/rigorous/task_0015_L26_V3.75_R1.0_s4226004
16,rigorous,26,3.75,1.0,4226005,500,5000,raw/rigorous/task_0016_L26_V3.75_R1.0_s4226005
17,rigorous,26,3.75,1.0,4226006,500,5000,raw/rigorous/task_0017_L26_V3.75_R1.0_s4226006
18,rigorous,26,3.75,1.0,4226007,500,5000,raw/rigorous/task_0018_L26_V3.75_R1.0_s4226007
19,rigorous,26,3.75,1.0,4226008,500,5000,raw/rigorous/task_0019_L26_V3.75_R1.0_s4226008
20,rigorous,26,3.75,1.0,4226009,500,5000,raw/rigorous/task_0020_L26_V3.75_R1.0_s4226009
21,rigorous,26,3.75,1.0,4226010,500,5000,raw/rigorous/task_0021_L26_V3.75_R1.0_s4226010
22,rigorous,26,3.75,1.0,4226011,500,5000,raw/rigorous/task_0022_L26_V3.75_R1.0_s4226011
23,rigorous,26,3.75,1.0,4226012,500,5000,raw/rigorous/task_0023_L26_V3.75_R1.0_s4226012
24,rigorous,26,3.75,2.0,4226001,500,5000,raw/rigorous/task_0024_L26_V3.75_R2.0_s4226001
25,rigorous,26,3.75,2.0,4226002,500,5000,raw/rigorous/task_0025_L26_V3.75_R2.0_s4226002
26,rigorous,26,3.75,2.0,4226003,500,5000,raw/rigorous/task_0026_L26_V3.75_R2.0_s4226003
27,rigorous,26,3.75,2.0,4226004,500,5000,raw/rigorous/task_0027_L26_V3.75_R2.0_s4226004
28,rigorous,26,3.75,2.0,4226005,500,5000,raw/rigorous/task_0028_L26_V3.75_R2.0_s4226005
29,rigorous,26,3.75,2.0,4226006,500,5000,raw/rigorous/task_0029_L26_V3.75_R2.0_s4226006
30,rigorous,26,3.75,2.0,4226007,500,5000,raw/rigorous/task_0030_L26_V3.75_R2.0_s4226007
31,rigorous,26,3.75,2.0,4226008,500,5000,raw/rigorous/task_0031_L26_V3.75_R2.0_s4226008
32,rigorous,26,3.75,2.0,4226009,500,5000,raw/rigorous/task_0032_L26_V3.75_R2.0_s4226009
33,rigorous,26,3.75,2.0,4226010,500,5000,raw/rigorous/task_0033_L26_V3.75_R2.0_s4226010
34,rigorous,26,3.75,2.0,4226011,500,5000,raw/rigorous/task_0034_L26_V3.75_R2.0_s4226011
35,rigorous,26,3.75,2.0,4226012,500,5000,raw/rigorous/task_0035_L26_V3.75_R2.0_s4226012
36,rigorous,26,3.80,0.5,4226001,500,5000,raw/rigorous/task_0036_L26_V3.80_R0.5_s4226001
