group,campaign,seed,json_path,bin_path,exists,n_bins,selected,reason
B,dt005,990201,/home/sunxr/PfQMC-main/reproduction/projector_kitaev/results/production_trotter_theta10/raw/task_000_s990201/result.json,/home/sunxr/PfQMC-main/reproduction/projector_kitaev/results/production_trotter_theta10/raw/task_000_s990201/measurements.csv,True,5000,True,manifest match
B,dt005,990202,/home/sunxr/PfQMC-main/reproduction/projector_kitaev/results/production_trotter_theta10/raw/task_001_s990202/result.json,/home/sunxr/PfQMC-main/reproduction/projector_kitaev/results/production_trotter_theta10/raw/task_001_s990202/measurements.csv,True,5000,True,manifest match
B,dt005,990203,/home/sunxr/PfQMC-main/reproduction/projector_kitaev/results/production_trotter_theta10/raw/task_002_s990203/result.json,/home/sunxr/PfQMC-main/reproduction/projector_kitaev/results/production_trotter_theta10/raw/task_002_s990203/measurements.csv,True,5000,True,manifest match
B,dt005,990204,/home/sunxr/PfQMC-main/reproduction/projector_kitaev/results/production_trotter_theta10/raw/task_003_s990204/result.json,/home/sunxr/PfQMC-main/reproduction/projector_kitaev/results/production_trotter_theta10/raw/task_003_s990204/measurements.csv,True,5000,True,manifest match
B,dt005,990205,/home/sunxr/PfQMC-main/reproduction/projector_kitaev/results/production_trotter_theta10/raw/task_004_s990205/result.json,/home/sunxr/PfQMC-main/reproduction/projector_kitaev/results/production_trotter_theta10/raw/task_004_s990205/measurements.csv,True,5000,True,manifest match
B,dt005,990206,/home/sunxr/PfQMC-main/reproduction/projector_kitaev/results/production_trotter_theta10/raw/task_005_s990206/result.json,/home/sunxr/PfQMC-main/reproduction/projector_kitaev/results/production_trotter_theta10/raw/task_005_s990206/measurements.csv,True,5000,True,manifest match
B,dt005,990207,/home/sunxr/PfQMC-main/reproduction/projector_kitaev/results/production_trotter_theta10/raw/task_006_s990207/result.json,/home/sunxr/PfQMC-main/reproduction/projector_kitaev/results/production_trotter_theta10/raw/task_006_s990207/measurements.csv,True,5000,True,manifest match
B,dt005,990208,/home/sunxr/PfQMC-main/reproduction/projector_kitaev/results/production_trotter_theta10/raw/task_007_s990208/result.json,/home/sunxr/PfQMC-main/reproduction/projector_kitaev/results/production_trotter_theta10/raw/task_007_s990208/measurements.csv,True,5000,True,manifest match
B,dt005,990209,/home/sunxr/PfQMC-main/reproduction/projector_kitaev/results/production_trotter_theta10/raw/task_008_s990209/result.json,/home/sunxr/PfQMC-main/reproduction/projector_kitaev/results/production_trotter_theta10/raw/task_008_s990209/measurements.csv,True,5000,True,manifest match
B,dt005,990210,/home/sunxr/PfQMC-main/reproduction/projector_kitaev/results/production_trotter_theta10/raw/task_009_s990210/result.json,/home/sunxr/PfQMC-main/reproduction/projector_kitaev/results/production_trotter_theta10/raw/task_009_s990210/measurements.csv,True,5000,True,manifest match
B,dt005,990211,/home/sunxr/PfQMC-main/reproduction/projector_kitaev/results/production_trotter_theta10/raw/task_010_s990211/result.json,/home/sunxr/PfQMC-main/reproduction/projector_kitaev/results/production_trotter_theta10/raw/task_010_s990211/measurements.csv,True,5000,True,manifest match
B,dt005,990212,/home/sunxr/PfQMC-main/reproduction/projector_kitaev/results/production_trotter_theta10/raw/task_011_s990212/result.json,/home/sunxr/PfQMC-main/reproduction/projector_kitaev/results/production_trotter_theta10/raw/task_011_s990212/measurements.csv,True,5000,True,manifest match
