task_index,source_dataset,archive_csv,archive_root,archive_result_dir,archive_measurements,archive_measurements_sha256,archive_source_commit,archive_executable_sha256,archive_job_id,archive_status,archive_qc_status,L,theta,V,seed,beta_trial,dt,delta,mu,boundary,hs_scheme,burn,measurements,threads,diagnostic_stride,sign_stride,legacy_average_sign,legacy_average_sign_err,legacy_runtime_seconds
0,LV,/home/sunxr/new-pfqmc-zeroT-sign-20260827/reproduction/projector_kitaev/zeroT_sign_L6_L12_L18_20260827/per_seed.csv,/home/sunxr/new-pfqmc-zeroT-sign-20260827/reproduction/projector_kitaev/zeroT_sign_L6_L12_L18_20260827,raw/main/L6/V2/seed_2026142900,/home/sunxr/new-pfqmc-zeroT-sign-20260827/reproduction/projector_kitaev/zeroT_sign_L6_L12_L18_20260827/raw/main/L6/V2/seed_2026142900/measurements.csv,e45ab5084f80051214c2317e2a24ececc6ce9887a4ca8753f830e93c1a418be0,b7c43d2bcb8e6b4952bb742f7368fbad24b96919,9eece40eeb4305429971d6451f7930befba461c7750ad9ee06cbd9384dae4ff2,153657[0].mgt,complete,,6,6,2,2026142900,8,0.1,1,0,0,0,500,4000,1,200,20,0.935,0.005104177855340398,50.633068917
1,LV,/home/sunxr/new-pfqmc-zeroT-sign-20260827/reproduction/projector_kitaev/zeroT_sign_L6_L12_L18_20260827/per_seed.csv,/home/sunxr/new-pfqmc-zeroT-sign-20260827/reproduction/projector_kitaev/zeroT_sign_L6_L12_L18_20260827,raw/main/L6/V2/seed_2026142901,/home/sunxr/new-pfqmc-zeroT-sign-20260827/reproduction/projector_kitaev/zeroT_sign_L6_L12_L18_20260827/raw/main/L6/V2/seed_2026142901/measurements.csv,775ebf38bd622152b22aa9f7a7dea62c11bb7b5e006625968dbf69cf25710818,b7c43d2bcb8e6b4952bb742f7368fbad24b96919,9eece40eeb4305429971d6451f7930befba461c7750ad9ee06cbd9384dae4ff2,153657[1].mgt,complete,,6,6,2,2026142901,8,0.1,1,0,0,0,500,4000,1,200,20,0.9485,0.004369451368668366,50.319792054
2,LV,/home/sunxr/new-pfqmc-zeroT-sign-20260827/reproduction/projector_kitaev/zeroT_sign_L6_L12_L18_20260827/per_seed.csv,/home/sunxr/new-pfqmc-zeroT-sign-20260827/reproduction/projector_kitaev/zeroT_sign_L6_L12_L18_20260827,raw/main/L6/V2/seed_2026142902,/home/sunxr/new-pfqmc-zeroT-sign-20260827/reproduction/projector_kitaev/zeroT_sign_L6_L12_L18_20260827/raw/main/L6/V2/seed_2026142902/measurements.csv,d684bd263979850287e26c8507d5e5a1471d832f8f7b560b45434c1b4391f10f,b7c43d2bcb8e6b4952bb742f7368fbad24b96919,9eece40eeb4305429971d6451f7930befba461c7750ad9ee06cbd9384dae4ff2,153657[2].mgt,complete,,6,6,2,2026142902,8,0.1,1,0,0,0,500,4000,1,200,20,0.9455,0.006344288770224755,57.153301045
3,LV,/home/sunxr/new-pfqmc-zeroT-sign-20260827/reproduction/projector_kitaev/zeroT_sign_L6_L12_L18_20260827/per_seed.csv,/home/sunxr/new-pfqmc-zeroT-sign-20260827/reproduction/projector_kitaev/zeroT_sign_L6_L12_L18_20260827,raw/main/L6/V2/seed_2026142903,/home/sunxr/new-pfqmc-zeroT-sign-20260827/reproduction/projector_kitaev/zeroT_sign_L6_L12_L18_20260827/raw/main/L6/V2/seed_2026142903/measurements.csv,6c585dec2b3b7783189c96cd16fe7aea6ca5bc380665865e08989677fbd8c9ee,b7c43d2bcb8e6b4952bb742f7368fbad24b96919,9eece40eeb4305429971d6451f7930befba461c7750ad9ee06cbd9384dae4ff2,153657[3].mgt,complete,,6,6,2,2026142903,8,0.1,1,0,0,0,500,4000,1,200,20,0.9495,0.0037328555458677687,53.961127048
4,LV,/home/sunxr/new-pfqmc-zeroT-sign-20260827/reproduction/projector_kitaev/zeroT_sign_L6_L12_L18_20260827/per_seed.csv,/home/sunxr/new-pfqmc-zeroT-sign-20260827/reproduction/projector_kitaev/zeroT_sign_L6_L12_L18_20260827,raw/main/L6/V3/seed_2026143000,/home/sunxr/new-pfqmc-zeroT-sign-20260827/reproduction/projector_kitaev/zeroT_sign_L6_L12_L18_20260827/raw/main/L6/V3/seed_2026143000/measurements.csv,1eaf52c88a130cdd8fb3c91a3d7af0bbf5aa572c37664a068359d3b6a1329eba,b7c43d2bcb8e6b4952bb742f7368fbad24b96919,9eece40eeb4305429971d6451f7930befba461c7750ad9ee06cbd9384dae4ff2,153657[4].mgt,complete,,6,6,3,2026143000,8,0.1,1,0,0,0,500,4000,1,200,20,0.7325,0.009621111654776917,53.159481972
5,LV,/home/sunxr/new-pfqmc-zeroT-sign-20260827/reproduction/projector_kitaev/zeroT_sign_L6_L12_L18_20260827/per_seed.csv,/home/sunxr/new-pfqmc-zeroT-sign-20260827/reproduction/projector_kitaev/zeroT_sign_L6_L12_L18_20260827,raw/main/L6/V3/seed_2026143001,/home/sunxr/new-pfqmc-zeroT-sign-20260827/reproduction/projector_kitaev/zeroT_sign_L6_L12_L18_20260827/raw/main/L6/V3/seed_2026143001/measurements.csv,bccda5ff56a85b389b8d6243c790679c9844ef0675c6b5a98a3c69ecc22b0d08,b7c43d2bcb8e6b4952bb742f7368fbad24b96919,9eece40eeb4305429971d6451f7930befba461c7750ad9ee06cbd9384dae4ff2,153657[5].mgt,complete,,6,6,3,2026143001,8,0.1,1,0,0,0,500,4000,1,200,20,0.761,0.008268519882822536,52.485736248
6,LV,/home/sunxr/new-pfqmc-zeroT-sign-20260827/reproduction/projector_kitaev/zeroT_sign_L6_L12_L18_20260827/per_seed.csv,/home/sunxr/new-pfqmc-zeroT-sign-20260827/reproduction/projector_kitaev/zeroT_sign_L6_L12_L18_20260827,raw/main/L6/V3/seed_2026143002,/home/sunxr/new-pfqmc-zeroT-sign-20260827/reproduction/projector_kitaev/zeroT_sign_L6_L12_L18_20260827/raw/main/L6/V3/seed_2026143002/measurements.csv,4965ba94a3ec1527f7729ee6cff29a18c42012203f65367df6ef42055aea2b17,b7c43d2bcb8e6b4952bb742f7368fbad24b96919,9eece40eeb4305429971d6451f7930befba461c7750ad9ee06cbd9384dae4ff2,153657[6].mgt,complete,,6,6,3,2026143002,8,0.1,1,0,0,0,500,4000,1,200,20,0.748,0.010172201541973418,51.432121979
7,LV,/home/sunxr/new-pfqmc-zeroT-sign-20260827/reproduction/projector_kitaev/zeroT_sign_L6_L12_L18_20260827/per_seed.csv,/home/sunxr/new-pfqmc-zeroT-sign-20260827/reproduction/projector_kitaev/zeroT_sign_L6_L12_L18_20260827,raw/main/L6/V3/seed_2026143003,/home/sunxr/new-pfqmc-zeroT-sign-20260827/reproduction/projector_kitaev/zeroT_sign_L6_L12_L18_20260827/raw/main/L6/V3/seed_2026143003/measurements.csv,da647f6ef530ee4866823d6462346e0a0fadf9e3b2968aa99eb3a44b77a033ad,b7c43d2bcb8e6b4952bb742f7368fbad24b96919,9eece40eeb4305429971d6451f7930befba461c7750ad9ee06cbd9384dae4ff2,153657[7].mgt,complete,,6,6,3,2026143003,8,0.1,1,0,0,0,500,4000,1,200,20,0.763,0.00920811998641474,57.334516213
8,LV,/home/sunxr/new-pfqmc-zeroT-sign-20260827/reproduction/projector_kitaev/zeroT_sign_L6_L12_L18_20260827/per_seed.csv,/home/sunxr/new-pfqmc-zeroT-sign-20260827/reproduction/projector_kitaev/zeroT_sign_L6_L12_L18_20260827,raw/main/L6/V4/seed_2026143100,/home/sunxr/new-pfqmc-zeroT-sign-20260827/reproduction/projector_kitaev/zeroT_sign_L6_L12_L18_20260827/raw/main/L6/V4/seed_2026143100/measurements.csv,c538d650e3a4faa74f33936e9272a2e64d8d2a4bc1cfcf7722e93a2e516e5277,b7c43d2bcb8e6b4952bb742f7368fbad24b96919,9eece40eeb4305429971d6451f7930befba461c7750ad9ee06cbd9384dae4ff2,153657[8].mgt,complete,,6,6,4,2026143100,8,0.1,1,0,0,0,500,4000,1,200,20,0.628,0.012087401009228359,50.806308045
9,LV,/home/sunxr/new-pfqmc-zeroT-sign-20260827/reproduction/projector_kitaev/zeroT_sign_L6_L12_L18_20260827/per_seed.csv,/home/sunxr/new-pfqmc-zeroT-sign-20260827/reproduction/projector_kitaev/zeroT_sign_L6_L12_L18_20260827,raw/main/L6/V4/seed_2026143101,/home/sunxr/new-pfqmc-zeroT-sign-20260827/reproduction/projector_kitaev/zeroT_sign_L6_L12_L18_20260827/raw/main/L6/V4/seed_2026143101/measurements.csv,e4be98f98042f01b9fecf4a3678913b0758789abaf4c13e815efb371e2c8a64c,b7c43d2bcb8e6b4952bb742f7368fbad24b96919,9eece40eeb4305429971d6451f7930befba461c7750ad9ee06cbd9384dae4ff2,153657[9].mgt,complete,,6,6,4,2026143101,8,0.1,1,0,0,0,500,4000,1,200,20,0.592,0.01545111135502114,51.639250636
