task_id,campaign,L,V,theta,beta_trial,dt,delta,mu,boundary,hs_scheme,seed,burn,measurements,threads,output_dir
0,keypoint,6,2,6,8,0.1,1,0,1,0,900001,300,1500,1,results/hpc_errorcheck/runs/task_000_key_L6_V2_t6_bt8_s900001
1,keypoint,6,2,6,8,0.1,1,0,1,0,900002,300,1500,1,results/hpc_errorcheck/runs/task_001_key_L6_V2_t6_bt8_s900002
2,keypoint,6,2,6,8,0.1,1,0,1,0,900003,300,1500,1,results/hpc_errorcheck/runs/task_002_key_L6_V2_t6_bt8_s900003
3,keypoint,6,2,6,8,0.1,1,0,1,0,900004,300,1500,1,results/hpc_errorcheck/runs/task_003_key_L6_V2_t6_bt8_s900004
4,keypoint,6,4,6,8,0.1,1,0,1,0,900101,300,1500,1,results/hpc_errorcheck/runs/task_004_key_L6_V4_t6_bt8_s900101
5,keypoint,6,4,6,8,0.1,1,0,1,0,900102,300,1500,1,results/hpc_errorcheck/runs/task_005_key_L6_V4_t6_bt8_s900102
6,keypoint,6,4,6,8,0.1,1,0,1,0,900103,300,1500,1,results/hpc_errorcheck/runs/task_006_key_L6_V4_t6_bt8_s900103
7,keypoint,6,4,6,8,0.1,1,0,1,0,900104,300,1500,1,results/hpc_errorcheck/runs/task_007_key_L6_V4_t6_bt8_s900104
8,keypoint,8,2,8,4,0.1,1,0,1,0,900201,300,1500,1,results/hpc_errorcheck/runs/task_008_key_L8_V2_t8_bt4_s900201
9,keypoint,8,2,8,4,0.1,1,0,1,0,900202,300,1500,1,results/hpc_errorcheck/runs/task_009_key_L8_V2_t8_bt4_s900202
10,keypoint,8,2,8,4,0.1,1,0,1,0,900203,300,1500,1,results/hpc_errorcheck/runs/task_010_key_L8_V2_t8_bt4_s900203
11,keypoint,8,2,8,4,0.1,1,0,1,0,900204,300,1500,1,results/hpc_errorcheck/runs/task_011_key_L8_V2_t8_bt4_s900204
12,keypoint,8,4,8,4,0.1,1,0,1,0,900301,300,1500,1,results/hpc_errorcheck/runs/task_012_key_L8_V4_t8_bt4_s900301
13,keypoint,8,4,8,4,0.1,1,0,1,0,900302,300,1500,1,results/hpc_errorcheck/runs/task_013_key_L8_V4_t8_bt4_s900302
14,keypoint,8,4,8,4,0.1,1,0,1,0,900303,300,1500,1,results/hpc_errorcheck/runs/task_014_key_L8_V4_t8_bt4_s900303
15,keypoint,8,4,8,4,0.1,1,0,1,0,900304,300,1500,1,results/hpc_errorcheck/runs/task_015_key_L8_V4_t8_bt4_s900304
16,beta_trial,6,4,6,8,0.1,1,0,1,0,910081,300,1500,1,results/hpc_errorcheck/runs/task_016_bt_L6_V4_t6_bt8_s910081
17,beta_trial,6,4,6,8,0.1,1,0,1,0,910082,300,1500,1,results/hpc_errorcheck/runs/task_017_bt_L6_V4_t6_bt8_s910082
18,beta_trial,6,4,6,12,0.1,1,0,1,0,910121,300,1500,1,results/hpc_errorcheck/runs/task_018_bt_L6_V4_t6_bt12_s910121
19,beta_trial,6,4,6,12,0.1,1,0,1,0,910122,300,1500,1,results/hpc_errorcheck/runs/task_019_bt_L6_V4_t6_bt12_s910122
20,beta_trial,6,4,6,16,0.1,1,0,1,0,910161,300,1500,1,results/hpc_errorcheck/runs/task_020_bt_L6_V4_t6_bt16_s910161
21,beta_trial,6,4,6,16,0.1,1,0,1,0,910162,300,1500,1,results/hpc_errorcheck/runs/task_021_bt_L6_V4_t6_bt16_s910162
