task_id,L,theta,beta_trial,dt,V,delta,mu,boundary,hs_scheme,seed,burn,measurements,threads,output_dir
0,6,1,4,0.1,2,1,0,1,0,610201,100,300,1,results/hpc_convergence/theta_scan/task_000_L6_V2_t1_s610201
1,6,2,4,0.1,2,1,0,1,0,620201,100,300,1,results/hpc_convergence/theta_scan/task_001_L6_V2_t2_s620201
2,6,4,4,0.1,2,1,0,1,0,640201,100,300,1,results/hpc_convergence/theta_scan/task_002_L6_V2_t4_s640201
3,6,6,4,0.1,2,1,0,1,0,660201,100,300,1,results/hpc_convergence/theta_scan/task_003_L6_V2_t6_s660201
4,6,8,4,0.1,2,1,0,1,0,680201,100,300,1,results/hpc_convergence/theta_scan/task_004_L6_V2_t8_s680201
5,6,1,4,0.1,4,1,0,1,0,610401,100,300,1,results/hpc_convergence/theta_scan/task_005_L6_V4_t1_s610401
6,6,2,4,0.1,4,1,0,1,0,620401,100,300,1,results/hpc_convergence/theta_scan/task_006_L6_V4_t2_s620401
7,6,4,4,0.1,4,1,0,1,0,640401,100,300,1,results/hpc_convergence/theta_scan/task_007_L6_V4_t4_s640401
8,6,6,4,0.1,4,1,0,1,0,660401,100,300,1,results/hpc_convergence/theta_scan/task_008_L6_V4_t6_s660401
9,6,8,4,0.1,4,1,0,1,0,680401,100,300,1,results/hpc_convergence/theta_scan/task_009_L6_V4_t8_s680401
10,8,1,4,0.1,2,1,0,1,0,810201,100,300,1,results/hpc_convergence/theta_scan/task_010_L8_V2_t1_s810201
11,8,2,4,0.1,2,1,0,1,0,820201,100,300,1,results/hpc_convergence/theta_scan/task_011_L8_V2_t2_s820201
12,8,4,4,0.1,2,1,0,1,0,840201,100,300,1,results/hpc_convergence/theta_scan/task_012_L8_V2_t4_s840201
13,8,6,4,0.1,2,1,0,1,0,860201,100,300,1,results/hpc_convergence/theta_scan/task_013_L8_V2_t6_s860201
14,8,8,4,0.1,2,1,0,1,0,880201,100,300,1,results/hpc_convergence/theta_scan/task_014_L8_V2_t8_s880201
15,8,1,4,0.1,4,1,0,1,0,810401,100,300,1,results/hpc_convergence/theta_scan/task_015_L8_V4_t1_s810401
16,8,2,4,0.1,4,1,0,1,0,820401,100,300,1,results/hpc_convergence/theta_scan/task_016_L8_V4_t2_s820401
17,8,4,4,0.1,4,1,0,1,0,840401,100,300,1,results/hpc_convergence/theta_scan/task_017_L8_V4_t4_s840401
18,8,6,4,0.1,4,1,0,1,0,860401,100,300,1,results/hpc_convergence/theta_scan/task_018_L8_V4_t6_s860401
19,8,8,4,0.1,4,1,0,1,0,880401,100,300,1,results/hpc_convergence/theta_scan/task_019_L8_V4_t8_s880401
