L=6 bc=0 hs=0 V=4 seed=1926155102 flip=0 boundary=446 aux=2
operator,aux,sigma
81,0,-1
81,1,-1
81,2,1
82,0,-1
82,1,1
82,2,-1
85,0,-1
85,1,-1
85,2,-1
86,0,1
86,1,1
86,2,1
89,0,-1
89,1,-1
89,2,1
90,0,-1
90,1,-1
90,2,1
93,0,1
93,1,-1
93,2,1
94,0,1
94,1,1
94,2,1
97,0,-1
97,1,1
97,2,1
98,0,1
98,1,-1
98,2,1
101,0,1
101,1,1
101,2,-1
102,0,-1
102,1,-1
102,2,-1
105,0,-1
105,1,-1
105,2,1
106,0,1
106,1,-1
106,2,-1
109,0,-1
109,1,-1
109,2,-1
110,0,-1
110,1,-1
110,2,-1
113,0,-1
113,1,1
113,2,-1
114,0,1
114,1,1
114,2,1
117,0,-1
117,1,1
117,2,1
118,0,1
118,1,-1
118,2,1
121,0,1
121,1,-1
121,2,-1
122,0,1
122,1,1
122,2,-1
125,0,-1
125,1,1
125,2,-1
126,0,-1
126,1,-1
126,2,-1
129,0,1
129,1,-1
129,2,-1
130,0,-1
130,1,1
130,2,-1
133,0,-1
133,1,-1
133,2,1
134,0,1
134,1,1
134,2,1
137,0,1
137,1,-1
137,2,1
138,0,1
138,1,1
138,2,-1
141,0,-1
141,1,1
141,2,1
142,0,1
142,1,1
142,2,1
145,0,1
145,1,-1
145,2,1
146,0,-1
146,1,-1
146,2,-1
149,0,1
149,1,-1
149,2,1
150,0,-1
150,1,-1
150,2,-1
153,0,1
153,1,1
153,2,-1
154,0,1
154,1,1
154,2,-1
157,0,-1
157,1,1
157,2,-1
158,0,-1
158,1,1
158,2,1
161,0,1
161,1,-1
161,2,1
162,0,-1
162,1,-1
162,2,-1
165,0,1
165,1,-1
165,2,-1
166,0,-1
166,1,-1
166,2,1
169,0,1
169,1,-1
169,2,1
170,0,1
170,1,-1
170,2,1
173,0,-1
173,1,1
173,2,1
174,0,-1
174,1,-1
174,2,1
177,0,-1
177,1,-1
177,2,-1
178,0,1
178,1,1
178,2,1
181,0,-1
181,1,1
181,2,1
182,0,1
182,1,-1
182,2,1
185,0,-1
185,1,1
185,2,-1
186,0,-1
186,1,1
186,2,-1
189,0,-1
189,1,-1
189,2,1
190,0,-1
190,1,-1
190,2,1
193,0,-1
193,1,1
193,2,1
194,0,1
194,1,-1
194,2,-1
197,0,1
197,1,-1
197,2,-1
198,0,1
198,1,1
198,2,1
201,0,1
201,1,1
201,2,-1
202,0,1
202,1,-1
202,2,1
205,0,1
205,1,1
205,2,1
206,0,1
206,1,1
206,2,-1
209,0,-1
209,1,1
209,2,1
210,0,-1
210,1,-1
210,2,-1
213,0,1
213,1,1
213,2,-1
214,0,1
214,1,-1
214,2,-1
217,0,1
217,1,-1
217,2,-1
218,0,1
218,1,-1
218,2,1
221,0,-1
221,1,1
221,2,-1
222,0,-1
222,1,1
222,2,1
225,0,1
225,1,-1
225,2,1
226,0,-1
226,1,1
226,2,-1
229,0,-1
229,1,1
229,2,-1
230,0,1
230,1,1
230,2,-1
233,0,-1
233,1,1
233,2,-1
234,0,1
234,1,1
234,2,-1
237,0,-1
237,1,-1
237,2,-1
238,0,-1
238,1,1
238,2,1
241,0,-1
241,1,1
241,2,-1
242,0,1
242,1,1
242,2,-1
245,0,1
245,1,1
245,2,-1
246,0,1
246,1,-1
246,2,1
249,0,-1
249,1,-1
249,2,1
250,0,-1
250,1,1
250,2,-1
253,0,1
253,1,1
253,2,-1
254,0,1
254,1,-1
254,2,1
257,0,1
257,1,-1
257,2,1
258,0,-1
258,1,-1
258,2,-1
261,0,-1
261,1,-1
261,2,-1
262,0,1
262,1,1
262,2,-1
265,0,-1
265,1,-1
265,2,-1
266,0,1
266,1,-1
266,2,-1
269,0,-1
269,1,-1
269,2,-1
270,0,1
270,1,1
270,2,1
273,0,1
273,1,-1
273,2,1
274,0,1
274,1,1
274,2,-1
277,0,1
277,1,1
277,2,-1
278,0,1
278,1,1
278,2,1
281,0,1
281,1,1
281,2,1
282,0,1
282,1,1
282,2,-1
285,0,1
285,1,-1
285,2,-1
286,0,-1
286,1,1
286,2,-1
289,0,-1
289,1,1
289,2,1
290,0,-1
290,1,-1
290,2,-1
293,0,-1
293,1,-1
293,2,1
294,0,1
294,1,-1
294,2,-1
297,0,-1
297,1,-1
297,2,-1
298,0,-1
298,1,-1
298,2,-1
301,0,1
301,1,1
301,2,1
302,0,-1
302,1,-1
302,2,-1
305,0,-1
305,1,1
305,2,-1
306,0,1
306,1,-1
306,2,-1
309,0,1
309,1,1
309,2,-1
310,0,1
310,1,-1
310,2,-1
313,0,1
313,1,-1
313,2,-1
314,0,-1
314,1,-1
314,2,1
317,0,-1
317,1,-1
317,2,1
318,0,-1
318,1,-1
318,2,-1
321,0,-1
321,1,1
321,2,1
322,0,-1
322,1,1
322,2,-1
325,0,-1
325,1,1
325,2,-1
326,0,-1
326,1,1
326,2,1
329,0,-1
329,1,1
329,2,1
330,0,1
330,1,1
330,2,-1
333,0,-1
333,1,1
333,2,-1
334,0,-1
334,1,1
334,2,1
337,0,-1
337,1,-1
337,2,-1
338,0,1
338,1,1
338,2,-1
341,0,-1
