L,R_cdw,R_cdw_err,S_pi,S_pi_dq,S_pi_dq_err,S_pi_dq_imag,S_pi_err,S_pi_imag,V,acceptance,adaptive_guard,adaptive_rebuild_count,average_phase_imag,average_phase_real,average_sign,average_sign_err,beta_trial,boundary,burn,campaign,center_boundary,center_green_max_imag,center_green_norm,center_green_norm_first,configurations,delta,diagnostic_R_cdw_abs_diff_max,diagnostic_S_pi_abs_diff_max,diagnostic_boundary,diagnostic_comparisons,diagnostic_relative_frobenius_max,diagnostic_sign_mismatch_count,diagnostic_stride,dt,even_parity,first_eigenvalues,full_rebuild_count,ground_energy,guard,guard_threshold,guard_trigger_fraction,hs_fields,hs_scheme,interaction_bonds,kinetic_boundary_A,max_center_green_direct_relative_error,max_observable_imag,max_raw_phase_norm_deviation,max_sign_imag,measurements,method,min_update_denominator,mode,mu,multiprecision_fallback,multiprecision_fallback_count,negative_signs,observable_convention,odd_parity,output_dir,physical_slices,post_accept_rebuild_count,pre_decision_rebuild_count,proposal_attempt_count,raw_sign_imag,raw_sign_real,result_path,runtime_seconds,seed,sign_corrections,sign_recompute_stride,sign_recomputes,sign_stride,stabilization_interval,task_id,theta,trial_slices
2,0.49880175638624924,,0.1665336347571185,0.08346636524288167,,6.560122186920133e-20,,-6.560122186920104e-20,2,,,,-2.0882649202714222e-18,1,,,0.2,0,0,tiny_enumeration,,,,,16,0.6,,,,,,,0,0.1,,,,,0,,,4,0,,,5.793483750312408e-16,,0,,0,complete_HS_exact_enumeration,,,0,,,,,,raw/tiny_enumeration/task_0000_s770001,,,,,,,/home/sunxr/PfQMC-main/reproduction/projector_kitaev/regression_stress/raw/tiny_enumeration/task_0000_s770001/result.json,,770001,,,,1,1,0,0.1,
2,0.4790260891070226,,0.1643683683260698,0.08563163167392997,,-6.138398662008093e-19,,6.138398662008111e-19,2,,,,9.734498246275723e-18,1,,,0.2,0,0,tiny_enumeration,,,,,16,0.6,,,,,,,0,0.1,,,,,0,,,4,0,,,1.2433398454005913e-15,,0,,0,complete_HS_exact_enumeration,,,0.7,,,,,,raw/tiny_enumeration/task_0001_s770002,,,,,,,/home/sunxr/PfQMC-main/reproduction/projector_kitaev/regression_stress/raw/tiny_enumeration/task_0001_s770002/result.json,,770002,,,,1,1,1,0.1,
2,0.49880175638624924,,0.1665336347571185,0.08346636524288167,,6.560122186920133e-20,,-6.560122186920104e-20,2,,,,-2.0882649202714222e-18,1,,,0.2,0,0,tiny_enumeration,,,,,16,1,,,,,,,0,0.1,,,,,0,,,4,0,,,5.793483750312408e-16,,0,,0,complete_HS_exact_enumeration,,,0,,,,,,raw/tiny_enumeration/task_0002_s770003,,,,,,,/home/sunxr/PfQMC-main/reproduction/projector_kitaev/regression_stress/raw/tiny_enumeration/task_0002_s770003/result.json,,770003,,,,1,1,2,0.1,
2,0.4790260891070226,,0.1643683683260698,0.08563163167392997,,-6.138398662008093e-19,,6.138398662008111e-19,2,,,,9.734498246275723e-18,1,,,0.2,0,0,tiny_enumeration,,,,,16,1,,,,,,,0,0.1,,,,,0,,,4,0,,,1.2433398454005913e-15,,0,,0,complete_HS_exact_enumeration,,,0.7,,,,,,raw/tiny_enumeration/task_0003_s770004,,,,,,,/home/sunxr/PfQMC-main/reproduction/projector_kitaev/regression_stress/raw/tiny_enumeration/task_0003_s770004/result.json,,770004,,,,1,1,3,0.1,
2,0.6640367702678489,,0.18713089884227047,0.06286910115772965,,-1.823236831679771e-19,,1.8232368316797653e-19,4,,,,-2.490022517556139e-18,1,,,0.2,0,0,tiny_enumeration,,,,,16,0.6,,,,,,,0,0.1,,,,,0,,,4,0,,,1.184059249538233e-15,,0,,0,complete_HS_exact_enumeration,,,0,,,,,,raw/tiny_enumeration/task_0004_s770005,,,,,,,/home/sunxr/PfQMC-main/reproduction/projector_kitaev/regression_stress/raw/tiny_enumeration/task_0004_s770005/result.json,,770005,,,,1,1,4,0.1,
2,0.6507807440668525,,0.18529234511042816,0.0647076548895717,,-5.762515180217969e-19,,5.762515180217991e-19,4,,,,6.604658693374866e-18,1,,,0.2,0,0,tiny_enumeration,,,,,16,0.6,,,,,,,0,0.1,,,,,0,,,4,0,,,1.7893267447568814e-15,,0,,0,complete_HS_exact_enumeration,,,0.7,,,,,,raw/tiny_enumeration/task_0005_s770006,,,,,,,/home/sunxr/PfQMC-main/reproduction/projector_kitaev/regression_stress/raw/tiny_enumeration/task_0005_s770006/result.json,,770006,,,,1,1,5,0.1,
2,0.6640367702678489,,0.18713089884227047,0.06286910115772965,,-1.823236831679771e-19,,1.8232368316797653e-19,4,,,,-2.490022517556139e-18,1,,,0.2,0,0,tiny_enumeration,,,,,16,1,,,,,,,0,0.1,,,,,0,,,4,0,,,1.184059249538233e-15,,0,,0,complete_HS_exact_enumeration,,,0,,,,,,raw/tiny_enumeration/task_0006_s770007,,,,,,,/home/sunxr/PfQMC-main/reproduction/projector_kitaev/regression_stress/raw/tiny_enumeration/task_0006_s770007/result.json,,770007,,,,1,1,6,0.1,
2,0.6507807440668525,,0.18529234511042816,0.0647076548895717,,-5.762515180217969e-19,,5.762515180217991e-19,4,,,,6.604658693374866e-18,1,,,0.2,0,0,tiny_enumeration,,,,,16,1,,,,,,,0,0.1,,,,,0,,,4,0,,,1.7893267447568814e-15,,0,,0,complete_HS_exact_enumeration,,,0.7,,,,,,raw/tiny_enumeration/task_0007_s770008,,,,,,,/home/sunxr/PfQMC-main/reproduction/projector_kitaev/regression_stress/raw/tiny_enumeration/task_0007_s770008/result.json,,770008,,,,1,1,7,0.1,
2,0.22075189452381216,,0.14050879089349466,0.10949120910650555,,1.4203113336148277e-19,,-1.4203113336148303e-19,2,,,,-2.919979429447231e-18,1,,,0.2,1,0,tiny_enumeration,,,,,4,0.6,,,,,,,0,0.1,,,,,0,,,2,0,,,6.183188984088482e-16,,0,,0,complete_HS_exact_enumeration,,,0,,,,,,raw/tiny_enumeration/task_0008_s770009,,,,,,,/home/sunxr/PfQMC-main/reproduction/projector_kitaev/regression_stress/raw/tiny_enumeration/task_0008_s770009/result.json,,770009,,,,1,1,8,0.1,
2,0.19058307017199394,,0.1381660555280444,0.11183394447195551,,-3.986549598338339e-20,,3.986549598338309e-20,2,,,,-1.2104752309322967e-17,1,,,0.2,1,0,tiny_enumeration,,,,,4,0.6,,,,,,,0,0.1,,,,,0,,,2,0,,,8.047743304150201e-16,,0,,0,complete_HS_exact_enumeration,,,0.7,,,,,,raw/tiny_enumeration/task_0009_s770010,,,,,,,/home/sunxr/PfQMC-main/reproduction/projector_kitaev/regression_stress/raw/tiny_enumeration/task_0009_s770010/result.json,,770010,,,,1,1,9,0.1,
