comparison,L,V,theta,delta,mu,boundary,observable,left,right,difference
tiny_enum_vs_ed,2,2,0.1,0.6,0,0,S_pi,0.1665336347571185,0.16653363475711846,2.7755575615628914e-17
tiny_enum_vs_ed,2,2,0.1,0.6,0,0,S_pi_dq,0.08346636524288167,0.08346636524288158,9.71445146547012e-17
tiny_enum_vs_ed,2,2,0.1,0.6,0,0,R_cdw,0.49880175638624924,0.4988017563862497,-4.440892098500626e-16
tiny_enum_vs_ed,2,2,0.1,0.6,0.7,0,S_pi,0.1643683683260698,0.16436836832607005,-2.498001805406602e-16
tiny_enum_vs_ed,2,2,0.1,0.6,0.7,0,S_pi_dq,0.08563163167392997,0.08563163167392998,-1.3877787807814457e-17
tiny_enum_vs_ed,2,2,0.1,0.6,0.7,0,R_cdw,0.4790260891070226,0.4790260891070234,-7.771561172376096e-16
tiny_enum_vs_ed,2,2,0.1,1,0,0,S_pi,0.1665336347571185,0.16653363475711846,2.7755575615628914e-17
tiny_enum_vs_ed,2,2,0.1,1,0,0,S_pi_dq,0.08346636524288167,0.08346636524288158,9.71445146547012e-17
tiny_enum_vs_ed,2,2,0.1,1,0,0,R_cdw,0.49880175638624924,0.4988017563862497,-4.440892098500626e-16
tiny_enum_vs_ed,2,2,0.1,1,0.7,0,S_pi,0.1643683683260698,0.16436836832607005,-2.498001805406602e-16
tiny_enum_vs_ed,2,2,0.1,1,0.7,0,S_pi_dq,0.08563163167392997,0.08563163167392998,-1.3877787807814457e-17
tiny_enum_vs_ed,2,2,0.1,1,0.7,0,R_cdw,0.4790260891070226,0.4790260891070234,-7.771561172376096e-16
tiny_enum_vs_ed,2,4,0.1,0.6,0,0,S_pi,0.18713089884227047,0.1871308988422705,-2.7755575615628914e-17
tiny_enum_vs_ed,2,4,0.1,0.6,0,0,S_pi_dq,0.06286910115772965,0.06286910115772952,1.249000902703301e-16
tiny_enum_vs_ed,2,4,0.1,0.6,0,0,R_cdw,0.6640367702678489,0.6640367702678496,-6.661338147750939e-16
tiny_enum_vs_ed,2,4,0.1,0.6,0.7,0,S_pi,0.18529234511042816,0.18529234511042836,-1.942890293094024e-16
tiny_enum_vs_ed,2,4,0.1,0.6,0.7,0,S_pi_dq,0.0647076548895717,0.06470765488957164,5.551115123125783e-17
tiny_enum_vs_ed,2,4,0.1,0.6,0.7,0,R_cdw,0.6507807440668525,0.6507807440668532,-6.661338147750939e-16
tiny_enum_vs_ed,2,4,0.1,1,0,0,S_pi,0.18713089884227047,0.1871308988422705,-2.7755575615628914e-17
tiny_enum_vs_ed,2,4,0.1,1,0,0,S_pi_dq,0.06286910115772965,0.06286910115772952,1.249000902703301e-16
tiny_enum_vs_ed,2,4,0.1,1,0,0,R_cdw,0.6640367702678489,0.6640367702678496,-6.661338147750939e-16
tiny_enum_vs_ed,2,4,0.1,1,0.7,0,S_pi,0.18529234511042816,0.18529234511042836,-1.942890293094024e-16
tiny_enum_vs_ed,2,4,0.1,1,0.7,0,S_pi_dq,0.0647076548895717,0.06470765488957164,5.551115123125783e-17
tiny_enum_vs_ed,2,4,0.1,1,0.7,0,R_cdw,0.6507807440668525,0.6507807440668532,-6.661338147750939e-16
tiny_enum_vs_ed,2,2,0.1,0.6,0,1,S_pi,0.14050879089349466,0.14050879089349458,8.326672684688674e-17
tiny_enum_vs_ed,2,2,0.1,0.6,0,1,S_pi_dq,0.10949120910650555,0.10949120910650544,1.1102230246251565e-16
tiny_enum_vs_ed,2,2,0.1,0.6,0,1,R_cdw,0.22075189452381216,0.2207518945238125,-3.3306690738754696e-16
tiny_enum_vs_ed,2,2,0.1,0.6,0.7,1,S_pi,0.1381660555280444,0.13816605552804448,-8.326672684688674e-17
tiny_enum_vs_ed,2,2,0.1,0.6,0.7,1,S_pi_dq,0.11183394447195551,0.11183394447195552,-1.3877787807814457e-17
tiny_enum_vs_ed,2,2,0.1,0.6,0.7,1,R_cdw,0.19058307017199394,0.19058307017199427,-3.3306690738754696e-16
tiny_enum_vs_ed,2,2,0.1,1,0,1,S_pi,0.13745849932811957,0.1374584993281195,8.326672684688674e-17
tiny_enum_vs_ed,2,2,0.1,1,0,1,S_pi_dq,0.11254150067188057,0.11254150067188051,5.551115123125783e-17
tiny_enum_vs_ed,2,2,0.1,1,0,1,R_cdw,0.1812692469220184,0.1812692469220183,1.1102230246251565e-16
tiny_enum_vs_ed,2,2,0.1,1,0.7,1,S_pi,0.13517796948350835,0.1351779694835084,-5.551115123125783e-17
