campaign,L,V,theta,delta,mu,boundary,hs_scheme,stabilization_interval,guard,n,S_pi,S_pi_seed_sem,S_pi_dq,S_pi_dq_seed_sem,R_cdw,R_cdw_seed_sem,average_sign,average_sign_seed_sem,sign_corrections,diagnostic_sign_mismatch_count,max_sign_imag,max_fast_full_green_rel
delta_symmetry,6,2,10,-0.6,0.7,0,0,10,0,6,0.10879338738751526,0.0016469656855056878,0.04509941287513014,0.0004158051468049391,0.5847319845540487,0.009620172434920776,0.9372222222222223,0.0017756932223087106,0.0,0.0,2.4429826739610876e-05,0.0
delta_symmetry,6,2,10,-0.6,0.7,1,0,10,0,6,0.10067900890915649,0.0003831298910132208,0.048588633912379116,0.00010529055777015938,0.5173432044650773,0.0026155238839032408,0.9316666666666666,0.0018358568490953627,0.0,0.0,4.591568128003516e-06,0.0
delta_symmetry,6,2,10,0.6,0.7,0,0,10,0,6,0.10879338738751536,0.0016469656855054894,0.045099412875130064,0.0004158051468050177,0.58473198455405,0.009620172434920972,0.9372222222222223,0.0017756932223087106,0.0,0.0,3.7636649345708927e-06,0.0
delta_symmetry,6,2,10,0.6,0.7,1,0,10,0,6,0.10067900890915744,0.0003831298910119296,0.048588633912380046,0.00010529055776781578,0.5173432044650733,0.0026155238838787183,0.9316666666666666,0.0018358568490953627,0.0,0.0,5.211970820478678e-05,0.0
delta_symmetry,6,4,10,-0.6,0.7,0,0,10,0,6,0.16022987526735907,0.0026530542702032627,0.0318300700115458,0.0014019189432724008,0.8003927945974838,0.011554930113705968,0.7865555555555557,0.005946469021794407,1.0,0.0,0.00042754479317162265,0.0
delta_symmetry,6,4,10,-0.6,0.7,1,0,10,0,6,0.14925340278095892,0.004257592058033945,0.03650844303422601,0.0015970739492180402,0.7530973258301615,0.016596209579736017,0.865888888888889,0.0050108524200288196,0.0,0.0,1.078790243712815e-05,0.0
delta_symmetry,6,4,10,0.6,0.7,0,0,10,0,6,0.16022987550448453,0.002653054201726594,0.03183007003430229,0.0014019189500800752,0.800392794780875,0.011554930058732352,0.7865555555555557,0.005946469021794407,0.0,0.0,0.0016896321749133663,0.0
delta_symmetry,6,4,10,0.6,0.7,1,0,10,0,6,0.14925340278079455,0.004257592058103091,0.036508443034197556,0.0015970739492026994,0.7530973258300481,0.01659620957972925,0.865888888888889,0.0050108524200288196,0.0,0.0,4.3167038513513574e-05,0.0
gaussian_qmc,10,0,10,0.5,0,0,0,10,0,1,0.03360655737704942,nan,0.03165751938666094,nan,0.05799576459204703,nan,1.0,nan,0.0,0.0,1.3970693526919704e-14,2.1184578052653958e-15
gaussian_qmc,10,0,10,0.5,0,1,0,10,0,1,0.034195681100694195,nan,0.03224425293632259,nan,0.05706650961638515,nan,1.0,nan,0.0,0.0,5.858986094186274e-15,6.343078410807398e-15
