comparison,group,observable,n_pairs,mean_difference,paired_sem,z_score
delta_minus_minus_plus,6|2|0,R_cdw,6,-1.2027416100105863e-15,4.87670369431625e-16,-2.466300364757387
delta_minus_minus_plus,6|2|0,S_pi,6,-8.789265611615822e-17,5.994890218438532e-16,-0.14661261993726937
delta_minus_minus_plus,6|2|0,S_pi_dq,6,8.326672684688674e-17,2.306873517266605e-16,0.36095055157401423
delta_minus_minus_plus,6|2|0,average_sign,6,0.0,0.0,nan
delta_minus_minus_plus,6|2|1,R_cdw,6,3.9968028886505635e-15,4.69813975164736e-14,0.08507203063189256
delta_minus_minus_plus,6|2|1,S_pi,6,-9.760710758162834e-16,8.583639811549604e-15,-0.11371295828407707
delta_minus_minus_plus,6|2|1,S_pi_dq,6,-9.228728892196614e-16,4.351912508261988e-15,-0.21206145285954445
delta_minus_minus_plus,6|2|1,average_sign,6,0.0,0.0,nan
delta_minus_minus_plus,6|4|0,R_cdw,6,-1.8339122812941847e-10,1.8337930472714726e-10,-1.000065020435588
delta_minus_minus_plus,6|4|0,S_pi,6,-2.3712544890604664e-10,2.37139076976918e-10,-0.9999425313151881
delta_minus_minus_plus,6|4|0,S_pi_dq,6,-2.2756489979440058e-11,2.2760682578650126e-11,-0.9998157964201829
delta_minus_minus_plus,6|4|0,average_sign,6,0.0,0.0,nan
delta_minus_minus_plus,6|4|1,R_cdw,6,1.135943191362306e-13,4.2971458292758224e-14,2.6434829919508247
delta_minus_minus_plus,6|4|1,S_pi,6,1.6433151136160026e-13,1.5491106321525004e-13,1.0608119778589373
delta_minus_minus_plus,6|4|1,S_pi_dq,6,2.846392103498611e-14,3.784622784860509e-14,0.7520940038951652
delta_minus_minus_plus,6|4|1,average_sign,6,0.0,0.0,nan
guard_off_minus_on,10|4|10|0,R_cdw,6,0.0,0.0,nan
guard_off_minus_on,10|4|10|0,S_pi,6,0.0,0.0,nan
guard_off_minus_on,10|4|10|0,S_pi_dq,6,0.0,0.0,nan
guard_off_minus_on,10|4|10|0,average_sign,6,0.0,0.0,nan
hs0_minus_hs1,10|2|10|0,R_cdw,6,0.024905200719702054,0.01291346765657862,1.9286222246442366
hs0_minus_hs1,10|2|10|0,S_pi,6,0.0014788761573880857,0.0007198121397876736,2.0545307249532034
hs0_minus_hs1,10|2|10|0,S_pi_dq,6,-4.8516324008369506e-05,0.00021207877798293335,-0.22876557697005293
hs0_minus_hs1,10|2|10|0,average_sign,6,-0.1261111111111111,0.002750981867364433,-45.84221823022459
hs0_minus_hs1,10|2|10|1,R_cdw,6,0.00022050854540319373,0.0071140342980233594,0.030996272461669493
hs0_minus_hs1,10|2|10|1,S_pi,6,0.00016600066822296486,0.00031737413073666806,0.5230441051942544
hs0_minus_hs1,10|2|10|1,S_pi_dq,6,0.0001279435894356249,9.170778420969708e-05,1.3951224592131872
hs0_minus_hs1,10|2|10|1,average_sign,6,-0.13299999999999998,0.004952365689842162,-26.85585199671288
hs0_minus_hs1,10|2|18|0,R_cdw,6,0.0017347765943634963,0.006058909293676973,0.28631829761404326
hs0_minus_hs1,10|2|18|0,S_pi,6,-6.143425044739224e-05,0.00034155352729857224,-0.17986712341485764
hs0_minus_hs1,10|2|18|0,S_pi_dq,6,-0.00012974214535340736,3.778496888465067e-05,-3.4336972924202227
hs0_minus_hs1,10|2|18|0,average_sign,6,-0.20966666666666667,0.004507606739559092,-46.513966009194284
hs0_minus_hs1,10|2|18|1,R_cdw,6,-0.0003537444482392312,0.00507435042093622,-0.06971226243653177
hs0_minus_hs1,10|2|18|1,S_pi,6,-0.00018951862187381366,0.0002616828229337082,-0.7242302713992969
hs0_minus_hs1,10|2|18|1,S_pi_dq,6,-0.00012631834579259504,8.076773500275077e-05,-1.5639703872876083
hs0_minus_hs1,10|2|18|1,average_sign,6,-0.23622222222222222,0.0061286616668862134,-38.54385101702629
hs0_minus_hs1,10|4|10|0,R_cdw,6,-0.24842019555859055,0.27839993258633977,-0.892314136899255
hs0_minus_hs1,10|4|10|0,S_pi,6,-0.017315223194779163,0.017822963520525217,-0.9715120145333108
hs0_minus_hs1,10|4|10|0,S_pi_dq,6,0.0005317352912668933,0.01022832682333336,0.051986537040825946
hs0_minus_hs1,10|4|10|0,average_sign,6,-0.8581111111111112,0.009199704772504088,-93.27594007970976
hs0_minus_hs1,10|4|10|1,R_cdw,6,-0.1519955305370523,0.1957141858138202,-0.7766198955125473
hs0_minus_hs1,10|4|10|1,S_pi,6,0.0004955781827140673,0.015350540437547851,0.03228408698249276
hs0_minus_hs1,10|4|10|1,S_pi_dq,6,0.0035681603974570767,0.007439995259261001,0.47959175686511046
hs0_minus_hs1,10|4|10|1,average_sign,6,-0.7154444444444444,0.0027724393145903883,-258.05594397659416
hs0_minus_hs1,10|4|18|0,R_cdw,6,0.03202470561569265,0.36539847418115323,0.08764323848767851
hs0_minus_hs1,10|4|18|0,S_pi,6,0.05299563752439359,0.12908882737052957,0.4105362067646473
hs0_minus_hs1,10|4|18|0,S_pi_dq,6,-0.05176630436173762,0.07492730928006484,-0.6908870058077817
hs0_minus_hs1,10|4|18|0,average_sign,6,-0.9595555555555556,0.007478694016840839,-128.30522994988002
hs0_minus_hs1,10|4|18|1,R_cdw,6,0.08299472470540807,0.04533865446312438,1.830551119970064
hs0_minus_hs1,10|4|18|1,S_pi,6,0.03774439721537773,0.014466054559793877,2.6091701133412246
hs0_minus_hs1,10|4|18|1,S_pi_dq,6,-0.0019916822271171465,0.004498109052325932,-0.44278211220496433
