kind,comparison,metric,n_pairs_total,n_pairs_used,mean_difference,se_difference,z_paired,verdict
guard,V4_off_vs_on,R_cdw,6,6,0.0,0.0,nan,pass
guard,V4_off_vs_on,S_pi,6,6,0.0,0.0,nan,pass
guard,V4_off_vs_on,S_pi_dq,6,6,0.0,0.0,nan,pass
guard,V4_off_vs_on,acceptance,6,6,0.0,0.0,nan,pass
guard,V4_off_vs_on,average_sign,6,6,0.0,0.0,nan,pass
guard,V4_off_vs_on,diagnostic_R_cdw_abs_diff_max,6,6,0.0,0.0,nan,pass
guard,V4_off_vs_on,diagnostic_S_pi_abs_diff_max,6,6,0.0,0.0,nan,pass
guard,V4_off_vs_on,diagnostic_relative_frobenius_max,6,6,0.0,0.0,nan,pass
guard,V4_off_vs_on,diagnostic_sign_mismatch_count,6,6,0.0,0.0,nan,pass
guard,V4_off_vs_on,max_observable_imag,6,6,0.0,0.0,nan,pass
guard,V4_off_vs_on,max_sign_imag,6,6,7.052852282894049e-06,7.595020413901867e-06,0.9286153161595936,pass
guard,V4_off_vs_on,sign_corrections,6,6,0.0,0.0,nan,pass
guard,V6_off_vs_on,R_cdw,6,6,-0.01182444307655404,0.012986855334882806,-0.9104931695661138,pass
guard,V6_off_vs_on,S_pi,6,6,0.0013519161419875136,0.015290551590237048,0.08841513231286609,pass
guard,V6_off_vs_on,S_pi_dq,6,6,0.0009320383482645687,0.0007021981772823882,1.3273152486263868,pass
guard,V6_off_vs_on,acceptance,6,6,-3.652777777777653e-05,3.601358197154023e-05,-1.0142778301431565,pass
guard,V6_off_vs_on,average_sign,6,6,0.00822222222222222,0.005337960955317471,1.5403301543507093,pass
guard,V6_off_vs_on,diagnostic_R_cdw_abs_diff_max,6,6,7.255307465925398e-14,5.970433392080719e-14,1.215206165024629,pass
guard,V6_off_vs_on,diagnostic_S_pi_abs_diff_max,6,6,1.3415194880887307e-16,4.629120060023996e-16,0.28980010686561813,pass
guard,V6_off_vs_on,diagnostic_relative_frobenius_max,6,6,1.7764155183830733e-13,2.0852260784341494e-13,0.8519054776626571,pass
guard,V6_off_vs_on,diagnostic_sign_mismatch_count,6,6,0.0,0.0,nan,pass
guard,V6_off_vs_on,max_observable_imag,6,6,-8.890012575303495e-13,6.022783084423352e-13,-1.4760638812139228,pass
guard,V6_off_vs_on,max_sign_imag,6,6,-6.406622712167844e-05,4.763629134645752e-05,-1.34490375532651,pass
guard,V6_off_vs_on,sign_corrections,6,6,0.0,0.0,nan,pass
interval,10_vs_20,R_cdw,6,0,nan,nan,nan,invalid_low_sign
interval,10_vs_20,S_pi,6,0,nan,nan,nan,invalid_low_sign
interval,10_vs_20,S_pi_dq,6,0,nan,nan,nan,invalid_low_sign
interval,10_vs_20,acceptance,6,6,0.0,0.0,nan,pass
interval,10_vs_20,average_sign,6,6,0.0,0.0,nan,pass
interval,10_vs_20,diagnostic_R_cdw_abs_diff_max,6,6,1.0090780063383894e-11,9.995959803364053e-12,1.0094858584753341,pass
interval,10_vs_20,diagnostic_S_pi_abs_diff_max,6,6,4.69614942997613e-15,3.519900704174475e-15,1.3341709964734707,pass
interval,10_vs_20,diagnostic_relative_frobenius_max,6,6,4.473712396100354e-12,3.2537546049195943e-12,1.3749384754880454,pass
interval,10_vs_20,diagnostic_sign_mismatch_count,6,6,0.0,0.0,nan,pass
interval,10_vs_20,max_observable_imag,6,6,1.1462257610057554e-10,1.3620673485754716e-10,0.841533836197266,pass
interval,10_vs_20,max_sign_imag,6,6,0.012066019394013326,0.003674213390575504,3.2839734961946196,suspicious
interval,10_vs_20,sign_corrections,6,6,0.6666666666666666,0.33333333333333337,1.9999999999999998,pass
interval,5_vs_10,R_cdw,6,0,nan,nan,nan,invalid_low_sign
interval,5_vs_10,S_pi,6,0,nan,nan,nan,invalid_low_sign
interval,5_vs_10,S_pi_dq,6,0,nan,nan,nan,invalid_low_sign
interval,5_vs_10,acceptance,6,6,0.0,0.0,nan,pass
interval,5_vs_10,average_sign,6,6,0.0,0.0,nan,pass
interval,5_vs_10,diagnostic_R_cdw_abs_diff_max,6,6,1.4355923857086357e-12,1.0066616715170803e-12,1.4260922277344077,pass
interval,5_vs_10,diagnostic_S_pi_abs_diff_max,6,6,2.988783988818374e-17,9.377019523032066e-17,0.31873496492966125,pass
interval,5_vs_10,diagnostic_relative_frobenius_max,6,6,6.822432355551153e-13,5.397274317369765e-13,1.2640514367770554,pass
interval,5_vs_10,diagnostic_sign_mismatch_count,6,6,0.0,0.0,nan,pass
interval,5_vs_10,max_observable_imag,6,6,2.032080058310746e-10,1.5457511957669807e-10,1.3146229896994877,pass
interval,5_vs_10,max_sign_imag,6,6,9.161285149979578e-05,7.227157260963397e-05,1.2676194552266262,pass
interval,5_vs_10,sign_corrections,6,6,0.0,0.0,nan,pass
interval,5_vs_20,R_cdw,6,0,nan,nan,nan,invalid_low_sign
interval,5_vs_20,S_pi,6,0,nan,nan,nan,invalid_low_sign
interval,5_vs_20,S_pi_dq,6,0,nan,nan,nan,invalid_low_sign
interval,5_vs_20,acceptance,6,6,0.0,0.0,nan,pass
interval,5_vs_20,average_sign,6,6,0.0,0.0,nan,pass
interval,5_vs_20,diagnostic_R_cdw_abs_diff_max,6,6,1.1526372449092529e-11,1.0352715251875902e-11,1.1133670895665715,pass
interval,5_vs_20,diagnostic_S_pi_abs_diff_max,6,6,4.726037269864314e-15,3.570797648536796e-15,1.3235242472507227,pass
interval,5_vs_20,diagnostic_relative_frobenius_max,6,6,5.155955631655469e-12,3.7589588790660985e-12,1.3716445956270875,pass
interval,5_vs_20,diagnostic_sign_mismatch_count,6,6,0.0,0.0,nan,pass
interval,5_vs_20,max_observable_imag,6,6,3.178305819316502e-10,1.345587807209891e-10,2.3620203767354258,pass
interval,5_vs_20,max_sign_imag,6,6,0.012157632245513124,0.0037306682594395136,3.2588349861318564,suspicious
interval,5_vs_20,sign_corrections,6,6,0.6666666666666666,0.33333333333333337,1.9999999999999998,pass
