task_id,campaign,L,V,theta,beta_trial,dt,delta,mu,boundary,hs_scheme,seed,burn,measurements,stabilization_interval,guard,diagnostic_stride,sign_stride,output_dir,status,exit_code,result_present,measurement_rows,S_pi,S_pi_dq,R_cdw,average_sign,acceptance,sign_corrections,max_sign_imag,max_observable_imag,diagnostic_relative_frobenius_max,diagnostic_S_pi_abs_diff_max,diagnostic_R_cdw_abs_diff_max,diagnostic_sign_mismatch_count,average_sign_err,sign_recomputes,adaptive_rebuild_count,guard_trigger_fraction,min_update_denominator,diagnostic_comparisons,average_sign_z,physics_valid
0,stability,18,4,18,8,0.1,1,0,0,0,740001,500,3000,5,0,100,20,raw/stability/task_0000_s740001,complete,,1,3000,0.9075934183628014,-0.48997829088166683,1.5398654077566292,0.01,0.6308771347736626,0,3.7444999849563047e-06,5.383599541489815e-12,1.850893532840315e-13,2.3592239273284576e-16,2.9976021664879227e-15,0,0.020534228161267598,150,0,0,inf,30,0.4869917642613108,0
1,stability,18,4,18,8,0.1,1,0,0,0,740002,500,3000,5,0,100,20,raw/stability/task_0001_s740002,complete,,1,3000,0.5157526148942667,-0.0474577602127429,1.0920165188546298,-0.03,0.6308486368312757,0,2.5171471742065153e-06,2.4338316425657402e-11,1.3329274828067395e-13,4.0787685728904677e-16,8.181899602277554e-12,0,0.022012755472879172,150,0,0,inf,30,1.3628461932883194,0
2,stability,18,4,18,8,0.1,1,0,0,0,740003,500,3000,5,0,100,20,raw/stability/task_0002_s740003,complete,,1,3000,-11.083138452838726,7.71269875983598,1.6958948309321649,0.002,0.6305429012345679,0,7.380111754801153e-07,1.3277786612082914e-10,5.134206543657127e-12,7.528699885739343e-16,2.942091015256665e-13,0,0.016285399406882374,150,0,0,inf,30,0.12280939202232767,0
3,stability,18,4,18,8,0.1,1,0,0,0,740004,500,3000,5,0,100,20,raw/stability/task_0003_s740004,complete,,1,3000,1.2535154354505351,-1.2408160015062935,1.9898689449008042,-0.0026666666666666666,0.6308472222222222,0,5.951321252288081e-06,1.7059684357531978e-11,5.060312515938851e-13,1.8735013540549517e-16,1.1546319456101628e-14,0,0.01119634895323913,150,0,0,inf,30,0.23817287919515884,0
4,stability,18,4,18,8,0.1,1,0,0,0,740005,500,3000,5,0,100,20,raw/stability/task_0004_s740005,complete,,1,3000,0.3368012320087679,-0.3603686623582942,2.0699742997047967,-0.005333333333333333,0.630783153292181,0,5.030004052408019e-06,9.947384343246042e-11,5.687147561387841e-13,2.220446049250313e-16,1.0029754804463664e-12,0,0.022150996967781535,150,0,0,inf,30,0.24077170617153837,0
5,stability,18,4,18,8,0.1,1,0,0,0,740006,500,3000,5,0,100,20,raw/stability/task_0005_s740006,complete,,1,3000,0.045173779314897806,0.09644700560484962,-1.1350218438120026,0.01,0.6309162551440329,0,8.744212831550005e-05,3.8664692746750074e-11,4.6714395864844e-13,1.0200174038743626e-15,1.2745360322696797e-12,0,0.02414366721661535,150,0,0,inf,30,0.414187286060592,0
6,stability,18,4,18,8,0.1,1,0,0,0,740001,500,3000,10,0,100,20,raw/stability/task_0006_s740001,complete,,1,3000,0.9075934183627901,-0.48997829088194994,1.539865407756948,0.01,0.6308771347736626,0,9.403142162984753e-05,4.3926632284103144e-12,2.763276507758814e-13,8.326672684688674e-17,2.9753977059954195e-14,0,0.020534228161267598,150,0,0,inf,30,0.4869917642613108,0
7,stability,18,4,18,8,0.1,1,0,0,0,740002,500,3000,10,0,100,20,raw/stability/task_0007_s740002,complete,,1,3000,0.5157526148942486,-0.04745776021264616,1.0920165188544455,-0.03,0.6308486368312757,0,1.0213113785800676e-05,2.5468284131314957e-12,1.7868386392243098e-13,6.700369425960417e-16,1.4033219031261979e-11,0,0.022012755472879172,150,0,0,inf,30,1.3628461932883194,0
8,stability,18,4,18,8,0.1,1,0,0,0,740003,500,3000,10,0,100,20,raw/stability/task_0008_s740003,complete,,1,3000,-11.083138452824798,7.712698759802541,1.6958948309300221,0.002,0.6305429012345679,0,1.4537263149760056e-05,1.846707562699115e-10,8.42299242958862e-12,4.544975507059235e-16,1.8751666885918894e-13,0,0.016285399406882374,150,0,0,inf,30,0.12280939202232767,0
9,stability,18,4,18,8,0.1,1,0,0,0,740004,500,3000,10,0,100,20,raw/stability/task_0009_s740004,complete,,1,3000,1.2535154354505194,-1.2408160015104461,1.9898689449041296,-0.0026666666666666666,0.6308472222222222,0,1.350850522718071e-05,5.683099326458747e-11,4.973854479868514e-13,2.3592239273284576e-16,7.327471962526033e-15,0,0.01119634895323913,150,0,0,inf,30,0.23817287919515884,0
