task_id,campaign,L,V,theta,beta_trial,dt,delta,mu,boundary,hs_scheme,seed,burn,measurements,stabilization_interval,guard,diagnostic_stride,sign_stride,output_dir
0,known_physics_supp153408,18,3.90,18,8,0.1,1,0,1,1,760001,500,5000,10,0,0,20,raw/task_0000_s760001
1,known_physics_supp153408,18,3.90,18,8,0.1,1,0,1,1,760002,500,5000,10,0,0,20,raw/task_0001_s760002
2,known_physics_supp153408,18,3.90,18,8,0.1,1,0,1,1,760003,500,5000,10,0,0,20,raw/task_0002_s760003
3,known_physics_supp153408,18,3.90,18,8,0.1,1,0,1,1,760004,500,5000,10,0,0,20,raw/task_0003_s760004
4,known_physics_supp153408,18,3.90,18,8,0.1,1,0,1,1,760005,500,5000,10,0,0,20,raw/task_0004_s760005
5,known_physics_supp153408,18,3.90,18,8,0.1,1,0,1,1,760006,500,5000,10,0,0,20,raw/task_0005_s760006
6,known_physics_supp153408,18,3.95,18,8,0.1,1,0,1,1,760007,500,5000,10,0,0,20,raw/task_0006_s760007
7,known_physics_supp153408,18,3.95,18,8,0.1,1,0,1,1,760008,500,5000,10,0,0,20,raw/task_0007_s760008
8,known_physics_supp153408,18,3.95,18,8,0.1,1,0,1,1,760009,500,5000,10,0,0,20,raw/task_0008_s760009
9,known_physics_supp153408,18,3.95,18,8,0.1,1,0,1,1,760010,500,5000,10,0,0,20,raw/task_0009_s760010
10,known_physics_supp153408,18,3.95,18,8,0.1,1,0,1,1,760011,500,5000,10,0,0,20,raw/task_0010_s760011
11,known_physics_supp153408,18,3.95,18,8,0.1,1,0,1,1,760012,500,5000,10,0,0,20,raw/task_0011_s760012
12,known_physics_supp153408,18,4.05,18,8,0.1,1,0,1,1,760013,500,5000,10,0,0,20,raw/task_0012_s760013
13,known_physics_supp153408,18,4.05,18,8,0.1,1,0,1,1,760014,500,5000,10,0,0,20,raw/task_0013_s760014
14,known_physics_supp153408,18,4.05,18,8,0.1,1,0,1,1,760015,500,5000,10,0,0,20,raw/task_0014_s760015
15,known_physics_supp153408,18,4.05,18,8,0.1,1,0,1,1,760016,500,5000,10,0,0,20,raw/task_0015_s760016
16,known_physics_supp153408,18,4.05,18,8,0.1,1,0,1,1,760017,500,5000,10,0,0,20,raw/task_0016_s760017
17,known_physics_supp153408,18,4.05,18,8,0.1,1,0,1,1,760018,500,5000,10,0,0,20,raw/task_0017_s760018
18,known_physics_supp153408,18,4.10,18,8,0.1,1,0,1,1,760019,500,5000,10,0,0,20,raw/task_0018_s760019
19,known_physics_supp153408,18,4.10,18,8,0.1,1,0,1,1,760020,500,5000,10,0,0,20,raw/task_0019_s760020
20,known_physics_supp153408,18,4.10,18,8,0.1,1,0,1,1,760021,500,5000,10,0,0,20,raw/task_0020_s760021
21,known_physics_supp153408,18,4.10,18,8,0.1,1,0,1,1,760022,500,5000,10,0,0,20,raw/task_0021_s760022
