task_id,L,V,theta,beta_trial,dt,delta,mu,boundary,hs_scheme,seed,burn,measurements,stabilization_interval,guard,diagnostic_stride,sign_stride,output_dir
0,10,2,18,8,0.1,1,0,0,0,780001,500,10000,10,0,20,20,raw/task_000_hs0_s780001
1,10,2,18,8,0.1,1,0,0,0,780002,500,10000,10,0,20,20,raw/task_001_hs0_s780002
2,10,2,18,8,0.1,1,0,0,0,780003,500,10000,10,0,20,20,raw/task_002_hs0_s780003
3,10,2,18,8,0.1,1,0,0,0,780004,500,10000,10,0,20,20,raw/task_003_hs0_s780004
4,10,2,18,8,0.1,1,0,0,0,780005,500,10000,10,0,20,20,raw/task_004_hs0_s780005
5,10,2,18,8,0.1,1,0,0,0,780006,500,10000,10,0,20,20,raw/task_005_hs0_s780006
6,10,2,18,8,0.1,1,0,0,0,780007,500,10000,10,0,20,20,raw/task_006_hs0_s780007
7,10,2,18,8,0.1,1,0,0,0,780008,500,10000,10,0,20,20,raw/task_007_hs0_s780008
8,10,2,18,8,0.1,1,0,0,0,780009,500,10000,10,0,20,20,raw/task_008_hs0_s780009
9,10,2,18,8,0.1,1,0,0,0,780010,500,10000,10,0,20,20,raw/task_009_hs0_s780010
10,10,2,18,8,0.1,1,0,0,0,780011,500,10000,10,0,20,20,raw/task_010_hs0_s780011
11,10,2,18,8,0.1,1,0,0,0,780012,500,10000,10,0,20,20,raw/task_011_hs0_s780012
12,10,2,18,8,0.1,1,0,0,1,780001,500,10000,10,0,20,20,raw/task_012_hs1_s780001
13,10,2,18,8,0.1,1,0,0,1,780002,500,10000,10,0,20,20,raw/task_013_hs1_s780002
14,10,2,18,8,0.1,1,0,0,1,780003,500,10000,10,0,20,20,raw/task_014_hs1_s780003
15,10,2,18,8,0.1,1,0,0,1,780004,500,10000,10,0,20,20,raw/task_015_hs1_s780004
16,10,2,18,8,0.1,1,0,0,1,780005,500,10000,10,0,20,20,raw/task_016_hs1_s780005
17,10,2,18,8,0.1,1,0,0,1,780006,500,10000,10,0,20,20,raw/task_017_hs1_s780006
18,10,2,18,8,0.1,1,0,0,1,780007,500,10000,10,0,20,20,raw/task_018_hs1_s780007
19,10,2,18,8,0.1,1,0,0,1,780008,500,10000,10,0,20,20,raw/task_019_hs1_s780008
20,10,2,18,8,0.1,1,0,0,1,780009,500,10000,10,0,20,20,raw/task_020_hs1_s780009
21,10,2,18,8,0.1,1,0,0,1,780010,500,10000,10,0,20,20,raw/task_021_hs1_s780010
22,10,2,18,8,0.1,1,0,0,1,780011,500,10000,10,0,20,20,raw/task_022_hs1_s780011
23,10,2,18,8,0.1,1,0,0,1,780012,500,10000,10,0,20,20,raw/task_023_hs1_s780012
