task_id,campaign,L,V,theta,beta_trial,dt,delta,mu,boundary,hs_scheme,seed,burn,measurements,stabilization_interval,guard,diagnostic_stride,sign_stride,output_dir
0,delta_symmetry,6,2,10,8,0.1,-0.6,0.7,0,0,730001,500,3000,10,0,0,20,raw/delta_symmetry/task_0000_s730001
1,delta_symmetry,6,2,10,8,0.1,-0.6,0.7,0,0,730002,500,3000,10,0,0,20,raw/delta_symmetry/task_0001_s730002
2,delta_symmetry,6,2,10,8,0.1,-0.6,0.7,0,0,730003,500,3000,10,0,0,20,raw/delta_symmetry/task_0002_s730003
3,delta_symmetry,6,2,10,8,0.1,-0.6,0.7,0,0,730004,500,3000,10,0,0,20,raw/delta_symmetry/task_0003_s730004
4,delta_symmetry,6,2,10,8,0.1,-0.6,0.7,0,0,730005,500,3000,10,0,0,20,raw/delta_symmetry/task_0004_s730005
5,delta_symmetry,6,2,10,8,0.1,-0.6,0.7,0,0,730006,500,3000,10,0,0,20,raw/delta_symmetry/task_0005_s730006
6,delta_symmetry,6,2,10,8,0.1,0.6,0.7,0,0,730001,500,3000,10,0,0,20,raw/delta_symmetry/task_0006_s730001
7,delta_symmetry,6,2,10,8,0.1,0.6,0.7,0,0,730002,500,3000,10,0,0,20,raw/delta_symmetry/task_0007_s730002
8,delta_symmetry,6,2,10,8,0.1,0.6,0.7,0,0,730003,500,3000,10,0,0,20,raw/delta_symmetry/task_0008_s730003
9,delta_symmetry,6,2,10,8,0.1,0.6,0.7,0,0,730004,500,3000,10,0,0,20,raw/delta_symmetry/task_0009_s730004
10,delta_symmetry,6,2,10,8,0.1,0.6,0.7,0,0,730005,500,3000,10,0,0,20,raw/delta_symmetry/task_0010_s730005
11,delta_symmetry,6,2,10,8,0.1,0.6,0.7,0,0,730006,500,3000,10,0,0,20,raw/delta_symmetry/task_0011_s730006
12,delta_symmetry,6,4,10,8,0.1,-0.6,0.7,0,0,730007,500,3000,10,0,0,20,raw/delta_symmetry/task_0012_s730007
13,delta_symmetry,6,4,10,8,0.1,-0.6,0.7,0,0,730008,500,3000,10,0,0,20,raw/delta_symmetry/task_0013_s730008
14,delta_symmetry,6,4,10,8,0.1,-0.6,0.7,0,0,730009,500,3000,10,0,0,20,raw/delta_symmetry/task_0014_s730009
15,delta_symmetry,6,4,10,8,0.1,-0.6,0.7,0,0,730010,500,3000,10,0,0,20,raw/delta_symmetry/task_0015_s730010
16,delta_symmetry,6,4,10,8,0.1,-0.6,0.7,0,0,730011,500,3000,10,0,0,20,raw/delta_symmetry/task_0016_s730011
17,delta_symmetry,6,4,10,8,0.1,-0.6,0.7,0,0,730012,500,3000,10,0,0,20,raw/delta_symmetry/task_0017_s730012
18,delta_symmetry,6,4,10,8,0.1,0.6,0.7,0,0,730007,500,3000,10,0,0,20,raw/delta_symmetry/task_0018_s730007
19,delta_symmetry,6,4,10,8,0.1,0.6,0.7,0,0,730008,500,3000,10,0,0,20,raw/delta_symmetry/task_0019_s730008
20,delta_symmetry,6,4,10,8,0.1,0.6,0.7,0,0,730009,500,3000,10,0,0,20,raw/delta_symmetry/task_0020_s730009
21,delta_symmetry,6,4,10,8,0.1,0.6,0.7,0,0,730010,500,3000,10,0,0,20,raw/delta_symmetry/task_0021_s730010
22,delta_symmetry,6,4,10,8,0.1,0.6,0.7,0,0,730011,500,3000,10,0,0,20,raw/delta_symmetry/task_0022_s730011
23,delta_symmetry,6,4,10,8,0.1,0.6,0.7,0,0,730012,500,3000,10,0,0,20,raw/delta_symmetry/task_0023_s730012
24,delta_symmetry,6,2,10,8,0.1,-0.6,0.7,1,0,730013,500,3000,10,0,0,20,raw/delta_symmetry/task_0024_s730013
25,delta_symmetry,6,2,10,8,0.1,-0.6,0.7,1,0,730014,500,3000,10,0,0,20,raw/delta_symmetry/task_0025_s730014
