task_id,campaign,L,V,theta,beta_trial,dt,delta,mu,boundary,hs_scheme,seed,burn,measurements,stabilization_interval,guard,diagnostic_stride,sign_stride,output_dir
0,gaussian_exact,6,0,10,8,0.1,0.5,0,0,0,760001,0,0,10,0,1,20,raw/gaussian_exact/task_0000_s760001
1,gaussian_exact,6,0,10,8,0.1,0.5,0.7,0,0,760002,0,0,10,0,1,20,raw/gaussian_exact/task_0001_s760002
2,gaussian_exact,6,0,10,8,0.1,1,0,0,0,760003,0,0,10,0,1,20,raw/gaussian_exact/task_0002_s760003
3,gaussian_exact,6,0,10,8,0.1,1,0.7,0,0,760004,0,0,10,0,1,20,raw/gaussian_exact/task_0003_s760004
4,gaussian_exact,6,0,10,8,0.1,1.3,0,0,0,760005,0,0,10,0,1,20,raw/gaussian_exact/task_0004_s760005
5,gaussian_exact,6,0,10,8,0.1,1.3,0.7,0,0,760006,0,0,10,0,1,20,raw/gaussian_exact/task_0005_s760006
6,gaussian_exact,6,0,10,8,0.1,0.5,0,1,0,760007,0,0,10,0,1,20,raw/gaussian_exact/task_0006_s760007
7,gaussian_exact,6,0,10,8,0.1,0.5,0.7,1,0,760008,0,0,10,0,1,20,raw/gaussian_exact/task_0007_s760008
8,gaussian_exact,6,0,10,8,0.1,1,0,1,0,760009,0,0,10,0,1,20,raw/gaussian_exact/task_0008_s760009
9,gaussian_exact,6,0,10,8,0.1,1,0.7,1,0,760010,0,0,10,0,1,20,raw/gaussian_exact/task_0009_s760010
10,gaussian_exact,6,0,10,8,0.1,1.3,0,1,0,760011,0,0,10,0,1,20,raw/gaussian_exact/task_0010_s760011
11,gaussian_exact,6,0,10,8,0.1,1.3,0.7,1,0,760012,0,0,10,0,1,20,raw/gaussian_exact/task_0011_s760012
12,gaussian_exact,10,0,10,8,0.1,0.5,0,0,0,760013,0,0,10,0,1,20,raw/gaussian_exact/task_0012_s760013
13,gaussian_exact,10,0,10,8,0.1,0.5,0.7,0,0,760014,0,0,10,0,1,20,raw/gaussian_exact/task_0013_s760014
14,gaussian_exact,10,0,10,8,0.1,1,0,0,0,760015,0,0,10,0,1,20,raw/gaussian_exact/task_0014_s760015
15,gaussian_exact,10,0,10,8,0.1,1,0.7,0,0,760016,0,0,10,0,1,20,raw/gaussian_exact/task_0015_s760016
16,gaussian_exact,10,0,10,8,0.1,1.3,0,0,0,760017,0,0,10,0,1,20,raw/gaussian_exact/task_0016_s760017
17,gaussian_exact,10,0,10,8,0.1,1.3,0.7,0,0,760018,0,0,10,0,1,20,raw/gaussian_exact/task_0017_s760018
18,gaussian_exact,10,0,10,8,0.1,0.5,0,1,0,760019,0,0,10,0,1,20,raw/gaussian_exact/task_0018_s760019
