task_id,campaign,L,V,theta,beta_trial,dt,delta,mu,boundary,hs_scheme,seed,burn,measurements,stabilization_interval,guard,diagnostic_stride,sign_stride,output_dir
0,gaussian_qmc,6,0,10,8,0.1,0.5,0,0,0,760001,10,20,10,0,1,20,raw/gaussian_qmc/task_0000_s760001
1,gaussian_qmc,6,0,10,8,0.1,0.5,0.7,0,0,760002,10,20,10,0,1,20,raw/gaussian_qmc/task_0001_s760002
2,gaussian_qmc,6,0,10,8,0.1,1,0,0,0,760003,10,20,10,0,1,20,raw/gaussian_qmc/task_0002_s760003
3,gaussian_qmc,6,0,10,8,0.1,1,0.7,0,0,760004,10,20,10,0,1,20,raw/gaussian_qmc/task_0003_s760004
4,gaussian_qmc,6,0,10,8,0.1,1.3,0,0,0,760005,10,20,10,0,1,20,raw/gaussian_qmc/task_0004_s760005
5,gaussian_qmc,6,0,10,8,0.1,1.3,0.7,0,0,760006,10,20,10,0,1,20,raw/gaussian_qmc/task_0005_s760006
6,gaussian_qmc,6,0,10,8,0.1,0.5,0,1,0,760007,10,20,10,0,1,20,raw/gaussian_qmc/task_0006_s760007
7,gaussian_qmc,6,0,10,8,0.1,0.5,0.7,1,0,760008,10,20,10,0,1,20,raw/gaussian_qmc/task_0007_s760008
8,gaussian_qmc,6,0,10,8,0.1,1,0,1,0,760009,10,20,10,0,1,20,raw/gaussian_qmc/task_0008_s760009
9,gaussian_qmc,6,0,10,8,0.1,1,0.7,1,0,760010,10,20,10,0,1,20,raw/gaussian_qmc/task_0009_s760010
10,gaussian_qmc,6,0,10,8,0.1,1.3,0,1,0,760011,10,20,10,0,1,20,raw/gaussian_qmc/task_0010_s760011
11,gaussian_qmc,6,0,10,8,0.1,1.3,0.7,1,0,760012,10,20,10,0,1,20,raw/gaussian_qmc/task_0011_s760012
12,gaussian_qmc,10,0,10,8,0.1,0.5,0,0,0,760013,10,20,10,0,1,20,raw/gaussian_qmc/task_0012_s760013
13,gaussian_qmc,10,0,10,8,0.1,0.5,0.7,0,0,760014,10,20,10,0,1,20,raw/gaussian_qmc/task_0013_s760014
14,gaussian_qmc,10,0,10,8,0.1,1,0,0,0,760015,10,20,10,0,1,20,raw/gaussian_qmc/task_0014_s760015
15,gaussian_qmc,10,0,10,8,0.1,1,0.7,0,0,760016,10,20,10,0,1,20,raw/gaussian_qmc/task_0015_s760016
16,gaussian_qmc,10,0,10,8,0.1,1.3,0,0,0,760017,10,20,10,0,1,20,raw/gaussian_qmc/task_0016_s760017
17,gaussian_qmc,10,0,10,8,0.1,1.3,0.7,0,0,760018,10,20,10,0,1,20,raw/gaussian_qmc/task_0017_s760018
18,gaussian_qmc,10,0,10,8,0.1,0.5,0,1,0,760019,10,20,10,0,1,20,raw/gaussian_qmc/task_0018_s760019
19,gaussian_qmc,10,0,10,8,0.1,0.5,0.7,1,0,760020,10,20,10,0,1,20,raw/gaussian_qmc/task_0019_s760020
20,gaussian_qmc,10,0,10,8,0.1,1,0,1,0,760021,10,20,10,0,1,20,raw/gaussian_qmc/task_0020_s760021
21,gaussian_qmc,10,0,10,8,0.1,1,0.7,1,0,760022,10,20,10,0,1,20,raw/gaussian_qmc/task_0021_s760022
22,gaussian_qmc,10,0,10,8,0.1,1.3,0,1,0,760023,10,20,10,0,1,20,raw/gaussian_qmc/task_0022_s760023
23,gaussian_qmc,10,0,10,8,0.1,1.3,0.7,1,0,760024,10,20,10,0,1,20,raw/gaussian_qmc/task_0023_s760024
24,gaussian_qmc,20,0,10,8,0.1,0.5,0,0,0,760025,10,20,10,0,1,20,raw/gaussian_qmc/task_0024_s760025
25,gaussian_qmc,20,0,10,8,0.1,0.5,0.7,0,0,760026,10,20,10,0,1,20,raw/gaussian_qmc/task_0025_s760026
26,gaussian_qmc,20,0,10,8,0.1,1,0,0,0,760027,10,20,10,0,1,20,raw/gaussian_qmc/task_0026_s760027
27,gaussian_qmc,20,0,10,8,0.1,1,0.7,0,0,760028,10,20,10,0,1,20,raw/gaussian_qmc/task_0027_s760028
28,gaussian_qmc,20,0,10,8,0.1,1.3,0,0,0,760029,10,20,10,0,1,20,raw/gaussian_qmc/task_0028_s760029
29,gaussian_qmc,20,0,10,8,0.1,1.3,0.7,0,0,760030,10,20,10,0,1,20,raw/gaussian_qmc/task_0029_s760030
30,gaussian_qmc,20,0,10,8,0.1,0.5,0,1,0,760031,10,20,10,0,1,20,raw/gaussian_qmc/task_0030_s760031
31,gaussian_qmc,20,0,10,8,0.1,0.5,0.7,1,0,760032,10,20,10,0,1,20,raw/gaussian_qmc/task_0031_s760032
32,gaussian_qmc,20,0,10,8,0.1,1,0,1,0,760033,10,20,10,0,1,20,raw/gaussian_qmc/task_0032_s760033
33,gaussian_qmc,20,0,10,8,0.1,1,0.7,1,0,760034,10,20,10,0,1,20,raw/gaussian_qmc/task_0033_s760034
34,gaussian_qmc,20,0,10,8,0.1,1.3,0,1,0,760035,10,20,10,0,1,20,raw/gaussian_qmc/task_0034_s760035
35,gaussian_qmc,20,0,10,8,0.1,1.3,0.7,1,0,760036,10,20,10,0,1,20,raw/gaussian_qmc/task_0035_s760036
36,gaussian_qmc,40,0,10,8,0.1,0.5,0,0,0,760037,10,20,10,0,1,20,raw/gaussian_qmc/task_0036_s760037
37,gaussian_qmc,40,0,10,8,0.1,0.5,0.7,0,0,760038,10,20,10,0,1,20,raw/gaussian_qmc/task_0037_s760038
38,gaussian_qmc,40,0,10,8,0.1,1,0,0,0,760039,10,20,10,0,1,20,raw/gaussian_qmc/task_0038_s760039
39,gaussian_qmc,40,0,10,8,0.1,1,0.7,0,0,760040,10,20,10,0,1,20,raw/gaussian_qmc/task_0039_s760040
40,gaussian_qmc,40,0,10,8,0.1,1.3,0,0,0,760041,10,20,10,0,1,20,raw/gaussian_qmc/task_0040_s760041
41,gaussian_qmc,40,0,10,8,0.1,1.3,0.7,0,0,760042,10,20,10,0,1,20,raw/gaussian_qmc/task_0041_s760042
42,gaussian_qmc,40,0,10,8,0.1,0.5,0,1,0,760043,10,20,10,0,1,20,raw/gaussian_qmc/task_0042_s760043
43,gaussian_qmc,40,0,10,8,0.1,0.5,0.7,1,0,760044,10,20,10,0,1,20,raw/gaussian_qmc/task_0043_s760044
44,gaussian_qmc,40,0,10,8,0.1,1,0,1,0,760045,10,20,10,0,1,20,raw/gaussian_qmc/task_0044_s760045
45,gaussian_qmc,40,0,10,8,0.1,1,0.7,1,0,760046,10,20,10,0,1,20,raw/gaussian_qmc/task_0045_s760046
46,gaussian_qmc,40,0,10,8,0.1,1.3,0,1,0,760047,10,20,10,0,1,20,raw/gaussian_qmc/task_0046_s760047
47,gaussian_qmc,40,0,10,8,0.1,1.3,0.7,1,0,760048,10,20,10,0,1,20,raw/gaussian_qmc/task_0047_s760048
48,gaussian_qmc,80,0,10,8,0.1,0.5,0,0,0,760049,10,20,10,0,1,20,raw/gaussian_qmc/task_0048_s760049
49,gaussian_qmc,80,0,10,8,0.1,0.5,0.7,0,0,760050,10,20,10,0,1,20,raw/gaussian_qmc/task_0049_s760050
50,gaussian_qmc,80,0,10,8,0.1,1,0,0,0,760051,10,20,10,0,1,20,raw/gaussian_qmc/task_0050_s760051
51,gaussian_qmc,80,0,10,8,0.1,1,0.7,0,0,760052,10,20,10,0,1,20,raw/gaussian_qmc/task_0051_s760052
52,gaussian_qmc,80,0,10,8,0.1,1.3,0,0,0,760053,10,20,10,0,1,20,raw/gaussian_qmc/task_0052_s760053
53,gaussian_qmc,80,0,10,8,0.1,1.3,0.7,0,0,760054,10,20,10,0,1,20,raw/gaussian_qmc/task_0053_s760054
54,gaussian_qmc,80,0,10,8,0.1,0.5,0,1,0,760055,10,20,10,0,1,20,raw/gaussian_qmc/task_0054_s760055
55,gaussian_qmc,80,0,10,8,0.1,0.5,0.7,1,0,760056,10,20,10,0,1,20,raw/gaussian_qmc/task_0055_s760056
56,gaussian_qmc,80,0,10,8,0.1,1,0,1,0,760057,10,20,10,0,1,20,raw/gaussian_qmc/task_0056_s760057
57,gaussian_qmc,80,0,10,8,0.1,1,0.7,1,0,760058,10,20,10,0,1,20,raw/gaussian_qmc/task_0057_s760058
58,gaussian_qmc,80,0,10,8,0.1,1.3,0,1,0,760059,10,20,10,0,1,20,raw/gaussian_qmc/task_0058_s760059
59,gaussian_qmc,80,0,10,8,0.1,1.3,0.7,1,0,760060,10,20,10,0,1,20,raw/gaussian_qmc/task_0059_s760060
