task_id,campaign,L,V,theta,beta_trial,dt,delta,mu,boundary,hs_scheme,seed,burn,measurements,stabilization_interval,guard,diagnostic_stride,sign_stride,output_dir
0,hs_crosscheck,10,2,10,8,0.1,1,0,0,0,720001,500,3000,10,0,0,20,raw/hs_crosscheck/task_0000_s720001
1,hs_crosscheck,10,2,10,8,0.1,1,0,0,0,720002,500,3000,10,0,0,20,raw/hs_crosscheck/task_0001_s720002
2,hs_crosscheck,10,2,10,8,0.1,1,0,0,0,720003,500,3000,10,0,0,20,raw/hs_crosscheck/task_0002_s720003
3,hs_crosscheck,10,2,10,8,0.1,1,0,0,0,720004,500,3000,10,0,0,20,raw/hs_crosscheck/task_0003_s720004
4,hs_crosscheck,10,2,10,8,0.1,1,0,0,0,720005,500,3000,10,0,0,20,raw/hs_crosscheck/task_0004_s720005
5,hs_crosscheck,10,2,10,8,0.1,1,0,0,0,720006,500,3000,10,0,0,20,raw/hs_crosscheck/task_0005_s720006
6,hs_crosscheck,10,2,10,8,0.1,1,0,0,1,720001,500,3000,10,0,0,20,raw/hs_crosscheck/task_0006_s720001
7,hs_crosscheck,10,2,10,8,0.1,1,0,0,1,720002,500,3000,10,0,0,20,raw/hs_crosscheck/task_0007_s720002
8,hs_crosscheck,10,2,10,8,0.1,1,0,0,1,720003,500,3000,10,0,0,20,raw/hs_crosscheck/task_0008_s720003
9,hs_crosscheck,10,2,10,8,0.1,1,0,0,1,720004,500,3000,10,0,0,20,raw/hs_crosscheck/task_0009_s720004
10,hs_crosscheck,10,2,10,8,0.1,1,0,0,1,720005,500,3000,10,0,0,20,raw/hs_crosscheck/task_0010_s720005
11,hs_crosscheck,10,2,10,8,0.1,1,0,0,1,720006,500,3000,10,0,0,20,raw/hs_crosscheck/task_0011_s720006
12,hs_crosscheck,10,2,18,8,0.1,1,0,0,0,720007,500,3000,10,0,0,20,raw/hs_crosscheck/task_0012_s720007
13,hs_crosscheck,10,2,18,8,0.1,1,0,0,0,720008,500,3000,10,0,0,20,raw/hs_crosscheck/task_0013_s720008
14,hs_crosscheck,10,2,18,8,0.1,1,0,0,0,720009,500,3000,10,0,0,20,raw/hs_crosscheck/task_0014_s720009
15,hs_crosscheck,10,2,18,8,0.1,1,0,0,0,720010,500,3000,10,0,0,20,raw/hs_crosscheck/task_0015_s720010
16,hs_crosscheck,10,2,18,8,0.1,1,0,0,0,720011,500,3000,10,0,0,20,raw/hs_crosscheck/task_0016_s720011
17,hs_crosscheck,10,2,18,8,0.1,1,0,0,0,720012,500,3000,10,0,0,20,raw/hs_crosscheck/task_0017_s720012
18,hs_crosscheck,10,2,18,8,0.1,1,0,0,1,720007,500,3000,10,0,0,20,raw/hs_crosscheck/task_0018_s720007
19,hs_crosscheck,10,2,18,8,0.1,1,0,0,1,720008,500,3000,10,0,0,20,raw/hs_crosscheck/task_0019_s720008
20,hs_crosscheck,10,2,18,8,0.1,1,0,0,1,720009,500,3000,10,0,0,20,raw/hs_crosscheck/task_0020_s720009
21,hs_crosscheck,10,2,18,8,0.1,1,0,0,1,720010,500,3000,10,0,0,20,raw/hs_crosscheck/task_0021_s720010
22,hs_crosscheck,10,2,18,8,0.1,1,0,0,1,720011,500,3000,10,0,0,20,raw/hs_crosscheck/task_0022_s720011
23,hs_crosscheck,10,2,18,8,0.1,1,0,0,1,720012,500,3000,10,0,0,20,raw/hs_crosscheck/task_0023_s720012
24,hs_crosscheck,10,2,10,8,0.1,1,0,1,0,720013,500,3000,10,0,0,20,raw/hs_crosscheck/task_0024_s720013
25,hs_crosscheck,10,2,10,8,0.1,1,0,1,0,720014,500,3000,10,0,0,20,raw/hs_crosscheck/task_0025_s720014
26,hs_crosscheck,10,2,10,8,0.1,1,0,1,0,720015,500,3000,10,0,0,20,raw/hs_crosscheck/task_0026_s720015
27,hs_crosscheck,10,2,10,8,0.1,1,0,1,0,720016,500,3000,10,0,0,20,raw/hs_crosscheck/task_0027_s720016
28,hs_crosscheck,10,2,10,8,0.1,1,0,1,0,720017,500,3000,10,0,0,20,raw/hs_crosscheck/task_0028_s720017
29,hs_crosscheck,10,2,10,8,0.1,1,0,1,0,720018,500,3000,10,0,0,20,raw/hs_crosscheck/task_0029_s720018
