task_id,campaign,L,V,theta,beta_trial,dt,delta,mu,boundary,hs_scheme,seed,burn,measurements,stabilization_interval,guard,diagnostic_stride,sign_stride,output_dir
0,known_physics,10,3.6,10,8,0.1,1,0,1,1,750001,500,3000,10,0,0,20,raw/known_physics/task_0000_s750001
1,known_physics,10,3.6,10,8,0.1,1,0,1,1,750002,500,3000,10,0,0,20,raw/known_physics/task_0001_s750002
2,known_physics,10,3.6,10,8,0.1,1,0,1,1,750003,500,3000,10,0,0,20,raw/known_physics/task_0002_s750003
3,known_physics,10,3.6,10,8,0.1,1,0,1,1,750004,500,3000,10,0,0,20,raw/known_physics/task_0003_s750004
4,known_physics,10,3.8,10,8,0.1,1,0,1,1,750005,500,3000,10,0,0,20,raw/known_physics/task_0004_s750005
5,known_physics,10,3.8,10,8,0.1,1,0,1,1,750006,500,3000,10,0,0,20,raw/known_physics/task_0005_s750006
6,known_physics,10,3.8,10,8,0.1,1,0,1,1,750007,500,3000,10,0,0,20,raw/known_physics/task_0006_s750007
7,known_physics,10,3.8,10,8,0.1,1,0,1,1,750008,500,3000,10,0,0,20,raw/known_physics/task_0007_s750008
8,known_physics,10,4.0,10,8,0.1,1,0,1,1,750009,500,3000,10,0,0,20,raw/known_physics/task_0008_s750009
9,known_physics,10,4.0,10,8,0.1,1,0,1,1,750010,500,3000,10,0,0,20,raw/known_physics/task_0009_s750010
10,known_physics,10,4.0,10,8,0.1,1,0,1,1,750011,500,3000,10,0,0,20,raw/known_physics/task_0010_s750011
11,known_physics,10,4.0,10,8,0.1,1,0,1,1,750012,500,3000,10,0,0,20,raw/known_physics/task_0011_s750012
12,known_physics,10,4.2,10,8,0.1,1,0,1,1,750013,500,3000,10,0,0,20,raw/known_physics/task_0012_s750013
13,known_physics,10,4.2,10,8,0.1,1,0,1,1,750014,500,3000,10,0,0,20,raw/known_physics/task_0013_s750014
14,known_physics,10,4.2,10,8,0.1,1,0,1,1,750015,500,3000,10,0,0,20,raw/known_physics/task_0014_s750015
15,known_physics,10,4.2,10,8,0.1,1,0,1,1,750016,500,3000,10,0,0,20,raw/known_physics/task_0015_s750016
16,known_physics,10,4.4,10,8,0.1,1,0,1,1,750017,500,3000,10,0,0,20,raw/known_physics/task_0016_s750017
17,known_physics,10,4.4,10,8,0.1,1,0,1,1,750018,500,3000,10,0,0,20,raw/known_physics/task_0017_s750018
18,known_physics,10,4.4,10,8,0.1,1,0,1,1,750019,500,3000,10,0,0,20,raw/known_physics/task_0018_s750019
19,known_physics,10,4.4,10,8,0.1,1,0,1,1,750020,500,3000,10,0,0,20,raw/known_physics/task_0019_s750020
20,known_physics,18,3.6,18,8,0.1,1,0,1,1,750021,500,3000,10,0,0,20,raw/known_physics/task_0020_s750021
21,known_physics,18,3.6,18,8,0.1,1,0,1,1,750022,500,3000,10,0,0,20,raw/known_physics/task_0021_s750022
22,known_physics,18,3.6,18,8,0.1,1,0,1,1,750023,500,3000,10,0,0,20,raw/known_physics/task_0022_s750023
23,known_physics,18,3.6,18,8,0.1,1,0,1,1,750024,500,3000,10,0,0,20,raw/known_physics/task_0023_s750024
24,known_physics,18,3.8,18,8,0.1,1,0,1,1,750025,500,3000,10,0,0,20,raw/known_physics/task_0024_s750025
25,known_physics,18,3.8,18,8,0.1,1,0,1,1,750026,500,3000,10,0,0,20,raw/known_physics/task_0025_s750026
26,known_physics,18,3.8,18,8,0.1,1,0,1,1,750027,500,3000,10,0,0,20,raw/known_physics/task_0026_s750027
27,known_physics,18,3.8,18,8,0.1,1,0,1,1,750028,500,3000,10,0,0,20,raw/known_physics/task_0027_s750028
28,known_physics,18,4.0,18,8,0.1,1,0,1,1,750029,500,3000,10,0,0,20,raw/known_physics/task_0028_s750029
29,known_physics,18,4.0,18,8,0.1,1,0,1,1,750030,500,3000,10,0,0,20,raw/known_physics/task_0029_s750030
30,known_physics,18,4.0,18,8,0.1,1,0,1,1,750031,500,3000,10,0,0,20,raw/known_physics/task_0030_s750031
31,known_physics,18,4.0,18,8,0.1,1,0,1,1,750032,500,3000,10,0,0,20,raw/known_physics/task_0031_s750032
32,known_physics,18,4.2,18,8,0.1,1,0,1,1,750033,500,3000,10,0,0,20,raw/known_physics/task_0032_s750033
33,known_physics,18,4.2,18,8,0.1,1,0,1,1,750034,500,3000,10,0,0,20,raw/known_physics/task_0033_s750034
34,known_physics,18,4.2,18,8,0.1,1,0,1,1,750035,500,3000,10,0,0,20,raw/known_physics/task_0034_s750035
35,known_physics,18,4.2,18,8,0.1,1,0,1,1,750036,500,3000,10,0,0,20,raw/known_physics/task_0035_s750036
36,known_physics,18,4.4,18,8,0.1,1,0,1,1,750037,500,3000,10,0,0,20,raw/known_physics/task_0036_s750037
37,known_physics,18,4.4,18,8,0.1,1,0,1,1,750038,500,3000,10,0,0,20,raw/known_physics/task_0037_s750038
38,known_physics,18,4.4,18,8,0.1,1,0,1,1,750039,500,3000,10,0,0,20,raw/known_physics/task_0038_s750039
39,known_physics,18,4.4,18,8,0.1,1,0,1,1,750040,500,3000,10,0,0,20,raw/known_physics/task_0039_s750040
40,known_physics,26,3.6,26,8,0.1,1,0,1,1,750041,500,3000,10,0,0,20,raw/known_physics/task_0040_s750041
41,known_physics,26,3.6,26,8,0.1,1,0,1,1,750042,500,3000,10,0,0,20,raw/known_physics/task_0041_s750042
42,known_physics,26,3.6,26,8,0.1,1,0,1,1,750043,500,3000,10,0,0,20,raw/known_physics/task_0042_s750043
43,known_physics,26,3.6,26,8,0.1,1,0,1,1,750044,500,3000,10,0,0,20,raw/known_physics/task_0043_s750044
44,known_physics,26,3.8,26,8,0.1,1,0,1,1,750045,500,3000,10,0,0,20,raw/known_physics/task_0044_s750045
45,known_physics,26,3.8,26,8,0.1,1,0,1,1,750046,500,3000,10,0,0,20,raw/known_physics/task_0045_s750046
46,known_physics,26,3.8,26,8,0.1,1,0,1,1,750047,500,3000,10,0,0,20,raw/known_physics/task_0046_s750047
47,known_physics,26,3.8,26,8,0.1,1,0,1,1,750048,500,3000,10,0,0,20,raw/known_physics/task_0047_s750048
48,known_physics,26,4.0,26,8,0.1,1,0,1,1,750049,500,3000,10,0,0,20,raw/known_physics/task_0048_s750049
49,known_physics,26,4.0,26,8,0.1,1,0,1,1,750050,500,3000,10,0,0,20,raw/known_physics/task_0049_s750050
50,known_physics,26,4.0,26,8,0.1,1,0,1,1,750051,500,3000,10,0,0,20,raw/known_physics/task_0050_s750051
51,known_physics,26,4.0,26,8,0.1,1,0,1,1,750052,500,3000,10,0,0,20,raw/known_physics/task_0051_s750052
52,known_physics,26,4.2,26,8,0.1,1,0,1,1,750053,500,3000,10,0,0,20,raw/known_physics/task_0052_s750053
53,known_physics,26,4.2,26,8,0.1,1,0,1,1,750054,500,3000,10,0,0,20,raw/known_physics/task_0053_s750054
54,known_physics,26,4.2,26,8,0.1,1,0,1,1,750055,500,3000,10,0,0,20,raw/known_physics/task_0054_s750055
55,known_physics,26,4.2,26,8,0.1,1,0,1,1,750056,500,3000,10,0,0,20,raw/known_physics/task_0055_s750056
56,known_physics,26,4.4,26,8,0.1,1,0,1,1,750057,500,3000,10,0,0,20,raw/known_physics/task_0056_s750057
57,known_physics,26,4.4,26,8,0.1,1,0,1,1,750058,500,3000,10,0,0,20,raw/known_physics/task_0057_s750058
58,known_physics,26,4.4,26,8,0.1,1,0,1,1,750059,500,3000,10,0,0,20,raw/known_physics/task_0058_s750059
59,known_physics,26,4.4,26,8,0.1,1,0,1,1,750060,500,3000,10,0,0,20,raw/known_physics/task_0059_s750060
60,known_physics,34,3.6,34,8,0.1,1,0,1,1,750061,500,3000,10,0,0,20,raw/known_physics/task_0060_s750061
61,known_physics,34,3.6,34,8,0.1,1,0,1,1,750062,500,3000,10,0,0,20,raw/known_physics/task_0061_s750062
62,known_physics,34,3.6,34,8,0.1,1,0,1,1,750063,500,3000,10,0,0,20,raw/known_physics/task_0062_s750063
63,known_physics,34,3.6,34,8,0.1,1,0,1,1,750064,500,3000,10,0,0,20,raw/known_physics/task_0063_s750064
