task_id,campaign,L,V,theta,beta_trial,dt,delta,mu,boundary,hs_scheme,seed,burn,measurements,stabilization_interval,guard,diagnostic_stride,sign_stride,output_dir
0,stability,18,4,18,8,0.1,1,0,0,0,740001,500,3000,5,0,100,20,raw/stability/task_0000_s740001
1,stability,18,4,18,8,0.1,1,0,0,0,740002,500,3000,5,0,100,20,raw/stability/task_0001_s740002
2,stability,18,4,18,8,0.1,1,0,0,0,740003,500,3000,5,0,100,20,raw/stability/task_0002_s740003
3,stability,18,4,18,8,0.1,1,0,0,0,740004,500,3000,5,0,100,20,raw/stability/task_0003_s740004
4,stability,18,4,18,8,0.1,1,0,0,0,740005,500,3000,5,0,100,20,raw/stability/task_0004_s740005
5,stability,18,4,18,8,0.1,1,0,0,0,740006,500,3000,5,0,100,20,raw/stability/task_0005_s740006
6,stability,18,4,18,8,0.1,1,0,0,0,740001,500,3000,10,0,100,20,raw/stability/task_0006_s740001
7,stability,18,4,18,8,0.1,1,0,0,0,740002,500,3000,10,0,100,20,raw/stability/task_0007_s740002
8,stability,18,4,18,8,0.1,1,0,0,0,740003,500,3000,10,0,100,20,raw/stability/task_0008_s740003
9,stability,18,4,18,8,0.1,1,0,0,0,740004,500,3000,10,0,100,20,raw/stability/task_0009_s740004
10,stability,18,4,18,8,0.1,1,0,0,0,740005,500,3000,10,0,100,20,raw/stability/task_0010_s740005
11,stability,18,4,18,8,0.1,1,0,0,0,740006,500,3000,10,0,100,20,raw/stability/task_0011_s740006
12,stability,18,4,18,8,0.1,1,0,0,0,740001,500,3000,20,0,100,20,raw/stability/task_0012_s740001
13,stability,18,4,18,8,0.1,1,0,0,0,740002,500,3000,20,0,100,20,raw/stability/task_0013_s740002
14,stability,18,4,18,8,0.1,1,0,0,0,740003,500,3000,20,0,100,20,raw/stability/task_0014_s740003
15,stability,18,4,18,8,0.1,1,0,0,0,740004,500,3000,20,0,100,20,raw/stability/task_0015_s740004
16,stability,18,4,18,8,0.1,1,0,0,0,740005,500,3000,20,0,100,20,raw/stability/task_0016_s740005
17,stability,18,4,18,8,0.1,1,0,0,0,740006,500,3000,20,0,100,20,raw/stability/task_0017_s740006
18,stability,10,4,10,8,0.1,1,0,0,0,740007,500,3000,10,0,100,20,raw/stability/task_0018_s740007
19,stability,10,4,10,8,0.1,1,0,0,0,740008,500,3000,10,0,100,20,raw/stability/task_0019_s740008
20,stability,10,4,10,8,0.1,1,0,0,0,740009,500,3000,10,0,100,20,raw/stability/task_0020_s740009
21,stability,10,4,10,8,0.1,1,0,0,0,740010,500,3000,10,0,100,20,raw/stability/task_0021_s740010
22,stability,10,4,10,8,0.1,1,0,0,0,740011,500,3000,10,0,100,20,raw/stability/task_0022_s740011
23,stability,10,4,10,8,0.1,1,0,0,0,740012,500,3000,10,0,100,20,raw/stability/task_0023_s740012
24,stability,10,4,10,8,0.1,1,0,0,0,740007,500,3000,10,1,100,20,raw/stability/task_0024_s740007
25,stability,10,4,10,8,0.1,1,0,0,0,740008,500,3000,10,1,100,20,raw/stability/task_0025_s740008
26,stability,10,4,10,8,0.1,1,0,0,0,740009,500,3000,10,1,100,20,raw/stability/task_0026_s740009
27,stability,10,4,10,8,0.1,1,0,0,0,740010,500,3000,10,1,100,20,raw/stability/task_0027_s740010
28,stability,10,4,10,8,0.1,1,0,0,0,740011,500,3000,10,1,100,20,raw/stability/task_0028_s740011
29,stability,10,4,10,8,0.1,1,0,0,0,740012,500,3000,10,1,100,20,raw/stability/task_0029_s740012
30,stability,10,6,10,8,0.1,1,0,0,0,740013,500,3000,10,0,100,20,raw/stability/task_0030_s740013
31,stability,10,6,10,8,0.1,1,0,0,0,740014,500,3000,10,0,100,20,raw/stability/task_0031_s740014
32,stability,10,6,10,8,0.1,1,0,0,0,740015,500,3000,10,0,100,20,raw/stability/task_0032_s740015
33,stability,10,6,10,8,0.1,1,0,0,0,740016,500,3000,10,0,100,20,raw/stability/task_0033_s740016
34,stability,10,6,10,8,0.1,1,0,0,0,740017,500,3000,10,0,100,20,raw/stability/task_0034_s740017
35,stability,10,6,10,8,0.1,1,0,0,0,740018,500,3000,10,0,100,20,raw/stability/task_0035_s740018
36,stability,10,6,10,8,0.1,1,0,0,0,740013,500,3000,10,1,100,20,raw/stability/task_0036_s740013
37,stability,10,6,10,8,0.1,1,0,0,0,740014,500,3000,10,1,100,20,raw/stability/task_0037_s740014
38,stability,10,6,10,8,0.1,1,0,0,0,740015,500,3000,10,1,100,20,raw/stability/task_0038_s740015
39,stability,10,6,10,8,0.1,1,0,0,0,740016,500,3000,10,1,100,20,raw/stability/task_0039_s740016
40,stability,10,6,10,8,0.1,1,0,0,0,740017,500,3000,10,1,100,20,raw/stability/task_0040_s740017
41,stability,10,6,10,8,0.1,1,0,0,0,740018,500,3000,10,1,100,20,raw/stability/task_0041_s740018
