task_id,campaign,L,V,theta,beta_trial,dt,delta,mu,boundary,hs_scheme,seed,burn,measurements,stabilization_interval,guard,diagnostic_stride,sign_stride,output_dir
0,tiny_enumeration,2,2,0.1,0.2,0.1,0.6,0,0,0,770001,0,0,1,0,0,1,raw/tiny_enumeration/task_0000_s770001
1,tiny_enumeration,2,2,0.1,0.2,0.1,0.6,0.7,0,0,770002,0,0,1,0,0,1,raw/tiny_enumeration/task_0001_s770002
2,tiny_enumeration,2,2,0.1,0.2,0.1,1,0,0,0,770003,0,0,1,0,0,1,raw/tiny_enumeration/task_0002_s770003
3,tiny_enumeration,2,2,0.1,0.2,0.1,1,0.7,0,0,770004,0,0,1,0,0,1,raw/tiny_enumeration/task_0003_s770004
4,tiny_enumeration,2,4,0.1,0.2,0.1,0.6,0,0,0,770005,0,0,1,0,0,1,raw/tiny_enumeration/task_0004_s770005
5,tiny_enumeration,2,4,0.1,0.2,0.1,0.6,0.7,0,0,770006,0,0,1,0,0,1,raw/tiny_enumeration/task_0005_s770006
6,tiny_enumeration,2,4,0.1,0.2,0.1,1,0,0,0,770007,0,0,1,0,0,1,raw/tiny_enumeration/task_0006_s770007
7,tiny_enumeration,2,4,0.1,0.2,0.1,1,0.7,0,0,770008,0,0,1,0,0,1,raw/tiny_enumeration/task_0007_s770008
8,tiny_enumeration,2,2,0.1,0.2,0.1,0.6,0,1,0,770009,0,0,1,0,0,1,raw/tiny_enumeration/task_0008_s770009
9,tiny_enumeration,2,2,0.1,0.2,0.1,0.6,0.7,1,0,770010,0,0,1,0,0,1,raw/tiny_enumeration/task_0009_s770010
10,tiny_enumeration,2,2,0.1,0.2,0.1,1,0,1,0,770011,0,0,1,0,0,1,raw/tiny_enumeration/task_0010_s770011
11,tiny_enumeration,2,2,0.1,0.2,0.1,1,0.7,1,0,770012,0,0,1,0,0,1,raw/tiny_enumeration/task_0011_s770012
12,tiny_enumeration,2,4,0.1,0.2,0.1,0.6,0,1,0,770013,0,0,1,0,0,1,raw/tiny_enumeration/task_0012_s770013
13,tiny_enumeration,2,4,0.1,0.2,0.1,0.6,0.7,1,0,770014,0,0,1,0,0,1,raw/tiny_enumeration/task_0013_s770014
14,tiny_enumeration,2,4,0.1,0.2,0.1,1,0,1,0,770015,0,0,1,0,0,1,raw/tiny_enumeration/task_0014_s770015
15,tiny_enumeration,2,4,0.1,0.2,0.1,1,0.7,1,0,770016,0,0,1,0,0,1,raw/tiny_enumeration/task_0015_s770016
16,tiny_enumeration,2,2,0.2,0.2,0.1,0.6,0,0,0,770017,0,0,1,0,0,1,raw/tiny_enumeration/task_0016_s770017
17,tiny_enumeration,2,2,0.2,0.2,0.1,0.6,0.7,0,0,770018,0,0,1,0,0,1,raw/tiny_enumeration/task_0017_s770018
18,tiny_enumeration,2,2,0.2,0.2,0.1,1,0,0,0,770019,0,0,1,0,0,1,raw/tiny_enumeration/task_0018_s770019
19,tiny_enumeration,2,2,0.2,0.2,0.1,1,0.7,0,0,770020,0,0,1,0,0,1,raw/tiny_enumeration/task_0019_s770020
20,tiny_enumeration,2,4,0.2,0.2,0.1,0.6,0,0,0,770021,0,0,1,0,0,1,raw/tiny_enumeration/task_0020_s770021
21,tiny_enumeration,2,4,0.2,0.2,0.1,0.6,0.7,0,0,770022,0,0,1,0,0,1,raw/tiny_enumeration/task_0021_s770022
22,tiny_enumeration,2,4,0.2,0.2,0.1,1,0,0,0,770023,0,0,1,0,0,1,raw/tiny_enumeration/task_0022_s770023
23,tiny_enumeration,2,4,0.2,0.2,0.1,1,0.7,0,0,770024,0,0,1,0,0,1,raw/tiny_enumeration/task_0023_s770024
24,tiny_enumeration,2,2,0.2,0.2,0.1,0.6,0,1,0,770025,0,0,1,0,0,1,raw/tiny_enumeration/task_0024_s770025
25,tiny_enumeration,2,2,0.2,0.2,0.1,0.6,0.7,1,0,770026,0,0,1,0,0,1,raw/tiny_enumeration/task_0025_s770026
26,tiny_enumeration,2,2,0.2,0.2,0.1,1,0,1,0,770027,0,0,1,0,0,1,raw/tiny_enumeration/task_0026_s770027
27,tiny_enumeration,2,2,0.2,0.2,0.1,1,0.7,1,0,770028,0,0,1,0,0,1,raw/tiny_enumeration/task_0027_s770028
28,tiny_enumeration,2,4,0.2,0.2,0.1,0.6,0,1,0,770029,0,0,1,0,0,1,raw/tiny_enumeration/task_0028_s770029
29,tiny_enumeration,2,4,0.2,0.2,0.1,0.6,0.7,1,0,770030,0,0,1,0,0,1,raw/tiny_enumeration/task_0029_s770030
30,tiny_enumeration,2,4,0.2,0.2,0.1,1,0,1,0,770031,0,0,1,0,0,1,raw/tiny_enumeration/task_0030_s770031
31,tiny_enumeration,2,4,0.2,0.2,0.1,1,0.7,1,0,770032,0,0,1,0,0,1,raw/tiny_enumeration/task_0031_s770032
32,tiny_enumeration,4,2,0.1,0.2,0.1,0.6,0,0,0,770033,0,0,1,0,0,1,raw/tiny_enumeration/task_0032_s770033
33,tiny_enumeration,4,2,0.1,0.2,0.1,0.6,0.7,0,0,770034,0,0,1,0,0,1,raw/tiny_enumeration/task_0033_s770034
34,tiny_enumeration,4,2,0.1,0.2,0.1,1,0,0,0,770035,0,0,1,0,0,1,raw/tiny_enumeration/task_0034_s770035
35,tiny_enumeration,4,2,0.1,0.2,0.1,1,0.7,0,0,770036,0,0,1,0,0,1,raw/tiny_enumeration/task_0035_s770036
36,tiny_enumeration,4,4,0.1,0.2,0.1,0.6,0,0,0,770037,0,0,1,0,0,1,raw/tiny_enumeration/task_0036_s770037
37,tiny_enumeration,4,4,0.1,0.2,0.1,0.6,0.7,0,0,770038,0,0,1,0,0,1,raw/tiny_enumeration/task_0037_s770038
38,tiny_enumeration,4,4,0.1,0.2,0.1,1,0,0,0,770039,0,0,1,0,0,1,raw/tiny_enumeration/task_0038_s770039
39,tiny_enumeration,4,4,0.1,0.2,0.1,1,0.7,0,0,770040,0,0,1,0,0,1,raw/tiny_enumeration/task_0039_s770040
40,tiny_enumeration,4,2,0.1,0.2,0.1,0.6,0,1,0,770041,0,0,1,0,0,1,raw/tiny_enumeration/task_0040_s770041
41,tiny_enumeration,4,2,0.1,0.2,0.1,0.6,0.7,1,0,770042,0,0,1,0,0,1,raw/tiny_enumeration/task_0041_s770042
42,tiny_enumeration,4,2,0.1,0.2,0.1,1,0,1,0,770043,0,0,1,0,0,1,raw/tiny_enumeration/task_0042_s770043
43,tiny_enumeration,4,2,0.1,0.2,0.1,1,0.7,1,0,770044,0,0,1,0,0,1,raw/tiny_enumeration/task_0043_s770044
44,tiny_enumeration,4,4,0.1,0.2,0.1,0.6,0,1,0,770045,0,0,1,0,0,1,raw/tiny_enumeration/task_0044_s770045
45,tiny_enumeration,4,4,0.1,0.2,0.1,0.6,0.7,1,0,770046,0,0,1,0,0,1,raw/tiny_enumeration/task_0045_s770046
46,tiny_enumeration,4,4,0.1,0.2,0.1,1,0,1,0,770047,0,0,1,0,0,1,raw/tiny_enumeration/task_0046_s770047
47,tiny_enumeration,4,4,0.1,0.2,0.1,1,0.7,1,0,770048,0,0,1,0,0,1,raw/tiny_enumeration/task_0047_s770048
48,tiny_enumeration,4,2,0.2,0.2,0.1,0.6,0.7,0,0,770049,0,0,1,0,0,1,raw/tiny_enumeration/task_0048_s770049
49,tiny_enumeration,4,2,0.2,0.2,0.1,1,0.7,0,0,770050,0,0,1,0,0,1,raw/tiny_enumeration/task_0049_s770050
50,tiny_enumeration,4,4,0.2,0.2,0.1,0.6,0.7,0,0,770051,0,0,1,0,0,1,raw/tiny_enumeration/task_0050_s770051
51,tiny_enumeration,4,4,0.2,0.2,0.1,1,0.7,0,0,770052,0,0,1,0,0,1,raw/tiny_enumeration/task_0051_s770052
52,tiny_enumeration,4,2,0.2,0.2,0.1,0.6,0.7,1,0,770053,0,0,1,0,0,1,raw/tiny_enumeration/task_0052_s770053
53,tiny_enumeration,4,2,0.2,0.2,0.1,1,0.7,1,0,770054,0,0,1,0,0,1,raw/tiny_enumeration/task_0053_s770054
54,tiny_enumeration,4,4,0.2,0.2,0.1,0.6,0.7,1,0,770055,0,0,1,0,0,1,raw/tiny_enumeration/task_0054_s770055
55,tiny_enumeration,4,4,0.2,0.2,0.1,1,0.7,1,0,770056,0,0,1,0,0,1,raw/tiny_enumeration/task_0055_s770056
