task_id,campaign,L,V,theta,beta_trial,dt,delta,mu,boundary,hs_scheme,seed,burn,measurements,stabilization_interval,guard,diagnostic_stride,sign_stride,output_dir
0,offcritical_sign_scan,6,2.0,6,8,0.1,1,0,0,0,760001,500,5000,10,0,100,20,raw/task_0000_L6_V2_s760001
1,offcritical_sign_scan,6,2.0,6,8,0.1,1,0,0,0,760002,500,5000,10,0,100,20,raw/task_0001_L6_V2_s760002
2,offcritical_sign_scan,6,2.0,6,8,0.1,1,0,0,0,760003,500,5000,10,0,100,20,raw/task_0002_L6_V2_s760003
3,offcritical_sign_scan,6,2.0,6,8,0.1,1,0,0,0,760004,500,5000,10,0,100,20,raw/task_0003_L6_V2_s760004
4,offcritical_sign_scan,6,2.0,6,8,0.1,1,0,0,0,760005,500,5000,10,0,100,20,raw/task_0004_L6_V2_s760005
5,offcritical_sign_scan,6,2.0,6,8,0.1,1,0,0,0,760006,500,5000,10,0,100,20,raw/task_0005_L6_V2_s760006
6,offcritical_sign_scan,6,2.0,6,8,0.1,1,0,0,0,760007,500,5000,10,0,100,20,raw/task_0006_L6_V2_s760007
7,offcritical_sign_scan,6,2.0,6,8,0.1,1,0,0,0,760008,500,5000,10,0,100,20,raw/task_0007_L6_V2_s760008
8,offcritical_sign_scan,6,2.0,6,8,0.1,1,0,0,0,760009,500,5000,10,0,100,20,raw/task_0008_L6_V2_s760009
9,offcritical_sign_scan,6,2.0,6,8,0.1,1,0,0,0,760010,500,5000,10,0,100,20,raw/task_0009_L6_V2_s760010
10,offcritical_sign_scan,6,2.0,6,8,0.1,1,0,0,0,760011,500,5000,10,0,100,20,raw/task_0010_L6_V2_s760011
11,offcritical_sign_scan,6,2.0,6,8,0.1,1,0,0,0,760012,500,5000,10,0,100,20,raw/task_0011_L6_V2_s760012
12,offcritical_sign_scan,6,3.0,6,8,0.1,1,0,0,0,760013,500,5000,10,0,100,20,raw/task_0012_L6_V3_s760013
13,offcritical_sign_scan,6,3.0,6,8,0.1,1,0,0,0,760014,500,5000,10,0,100,20,raw/task_0013_L6_V3_s760014
14,offcritical_sign_scan,6,3.0,6,8,0.1,1,0,0,0,760015,500,5000,10,0,100,20,raw/task_0014_L6_V3_s760015
15,offcritical_sign_scan,6,3.0,6,8,0.1,1,0,0,0,760016,500,5000,10,0,100,20,raw/task_0015_L6_V3_s760016
16,offcritical_sign_scan,6,3.0,6,8,0.1,1,0,0,0,760017,500,5000,10,0,100,20,raw/task_0016_L6_V3_s760017
17,offcritical_sign_scan,6,3.0,6,8,0.1,1,0,0,0,760018,500,5000,10,0,100,20,raw/task_0017_L6_V3_s760018
18,offcritical_sign_scan,6,3.0,6,8,0.1,1,0,0,0,760019,500,5000,10,0,100,20,raw/task_0018_L6_V3_s760019
19,offcritical_sign_scan,6,3.0,6,8,0.1,1,0,0,0,760020,500,5000,10,0,100,20,raw/task_0019_L6_V3_s760020
20,offcritical_sign_scan,6,3.0,6,8,0.1,1,0,0,0,760021,500,5000,10,0,100,20,raw/task_0020_L6_V3_s760021
21,offcritical_sign_scan,6,3.0,6,8,0.1,1,0,0,0,760022,500,5000,10,0,100,20,raw/task_0021_L6_V3_s760022
22,offcritical_sign_scan,6,3.0,6,8,0.1,1,0,0,0,760023,500,5000,10,0,100,20,raw/task_0022_L6_V3_s760023
23,offcritical_sign_scan,6,3.0,6,8,0.1,1,0,0,0,760024,500,5000,10,0,100,20,raw/task_0023_L6_V3_s760024
24,offcritical_sign_scan,6,3.5,6,8,0.1,1,0,0,0,760025,500,5000,10,0,100,20,raw/task_0024_L6_V3.5_s760025
25,offcritical_sign_scan,6,3.5,6,8,0.1,1,0,0,0,760026,500,5000,10,0,100,20,raw/task_0025_L6_V3.5_s760026
26,offcritical_sign_scan,6,3.5,6,8,0.1,1,0,0,0,760027,500,5000,10,0,100,20,raw/task_0026_L6_V3.5_s760027
27,offcritical_sign_scan,6,3.5,6,8,0.1,1,0,0,0,760028,500,5000,10,0,100,20,raw/task_0027_L6_V3.5_s760028
28,offcritical_sign_scan,6,3.5,6,8,0.1,1,0,0,0,760029,500,5000,10,0,100,20,raw/task_0028_L6_V3.5_s760029
29,offcritical_sign_scan,6,3.5,6,8,0.1,1,0,0,0,760030,500,5000,10,0,100,20,raw/task_0029_L6_V3.5_s760030
30,offcritical_sign_scan,6,3.5,6,8,0.1,1,0,0,0,760031,500,5000,10,0,100,20,raw/task_0030_L6_V3.5_s760031
31,offcritical_sign_scan,6,3.5,6,8,0.1,1,0,0,0,760032,500,5000,10,0,100,20,raw/task_0031_L6_V3.5_s760032
32,offcritical_sign_scan,6,3.5,6,8,0.1,1,0,0,0,760033,500,5000,10,0,100,20,raw/task_0032_L6_V3.5_s760033
33,offcritical_sign_scan,6,3.5,6,8,0.1,1,0,0,0,760034,500,5000,10,0,100,20,raw/task_0033_L6_V3.5_s760034
34,offcritical_sign_scan,6,3.5,6,8,0.1,1,0,0,0,760035,500,5000,10,0,100,20,raw/task_0034_L6_V3.5_s760035
