L V R err theta
10 3.6 0.605991205174 0.00155062457585 10
10 3.8 0.636465220533 0.00542046984376 10
10 4 0.661636007558 0.00474728579992 10
10 4 0.668969256896 0.00369344246685 15
10 4.2 0.706289558559 0.00471555324586 10
10 4.4 0.735740254303 0.00536106887638 10
18 3.6 0.499944615623 0.00665387675127 18
18 3.8 0.573767746699 0.0053213249538 18
18 4 0.637919634208 0.00925535657625 18
18 4 0.639174007285 0.00669778185821 27
18 4.2 0.688349930332 0.00190426012516 18
18 4.4 0.749646846981 0.00922732456444 18
26 3.6 0.447604523666 0.0107820934411 26
26 3.8 0.52523263286 0.00739846440496 26
26 4 0.60372531428 0.0106208224212 26
26 4.2 0.714984813995 0.00575840330076 26
26 4.4 0.765987062594 0.00760274522476 26
34 3.6 0.359812260325 0.00857047770941 34
34 3.8 0.505367522032 0.00803576132024 34
