task_id,old_task_id,campaign,L,V,theta,beta_trial,dt,delta,mu,boundary,hs_scheme,seed,burn,measurements,stabilization_interval,guard,diagnostic_stride,sign_stride,output_dir
0,84,targeted_153450_followup,12,3.0,12,8,0.1,1,0,0,0,760085,500,5000,10,0,100,20,raw/task_0000_old0084_L12_V3.0_s760085
1,85,targeted_153450_followup,12,3.0,12,8,0.1,1,0,0,0,760086,500,5000,10,0,100,20,raw/task_0001_old0085_L12_V3.0_s760086
2,86,targeted_153450_followup,12,3.0,12,8,0.1,1,0,0,0,760087,500,5000,10,0,100,20,raw/task_0002_old0086_L12_V3.0_s760087
3,87,targeted_153450_followup,12,3.0,12,8,0.1,1,0,0,0,760088,500,5000,10,0,100,20,raw/task_0003_old0087_L12_V3.0_s760088
4,88,targeted_153450_followup,12,3.0,12,8,0.1,1,0,0,0,760089,500,5000,10,0,100,20,raw/task_0004_old0088_L12_V3.0_s760089
5,89,targeted_153450_followup,12,3.0,12,8,0.1,1,0,0,0,760090,500,5000,10,0,100,20,raw/task_0005_old0089_L12_V3.0_s760090
6,108,targeted_153450_followup,12,4.5,12,8,0.1,1,0,0,0,760109,500,5000,10,0,100,20,raw/task_0006_old0108_L12_V4.5_s760109
7,109,targeted_153450_followup,12,4.5,12,8,0.1,1,0,0,0,760110,500,5000,10,0,100,20,raw/task_0007_old0109_L12_V4.5_s760110
8,110,targeted_153450_followup,12,4.5,12,8,0.1,1,0,0,0,760111,500,5000,10,0,100,20,raw/task_0008_old0110_L12_V4.5_s760111
9,111,targeted_153450_followup,12,4.5,12,8,0.1,1,0,0,0,760112,500,5000,10,0,100,20,raw/task_0009_old0111_L12_V4.5_s760112
10,112,targeted_153450_followup,12,4.5,12,8,0.1,1,0,0,0,760113,500,5000,10,0,100,20,raw/task_0010_old0112_L12_V4.5_s760113
11,113,targeted_153450_followup,12,4.5,12,8,0.1,1,0,0,0,760114,500,5000,10,0,100,20,raw/task_0011_old0113_L12_V4.5_s760114
12,120,targeted_153450_followup,12,5.0,12,8,0.1,1,0,0,0,760121,500,5000,10,0,100,20,raw/task_0012_old0120_L12_V5.0_s760121
13,121,targeted_153450_followup,12,5.0,12,8,0.1,1,0,0,0,760122,500,5000,10,0,100,20,raw/task_0013_old0121_L12_V5.0_s760122
14,122,targeted_153450_followup,12,5.0,12,8,0.1,1,0,0,0,760123,500,5000,10,0,100,20,raw/task_0014_old0122_L12_V5.0_s760123
15,123,targeted_153450_followup,12,5.0,12,8,0.1,1,0,0,0,760124,500,5000,10,0,100,20,raw/task_0015_old0123_L12_V5.0_s760124
16,124,targeted_153450_followup,12,5.0,12,8,0.1,1,0,0,0,760125,500,5000,10,0,100,20,raw/task_0016_old0124_L12_V5.0_s760125
17,125,targeted_153450_followup,12,5.0,12,8,0.1,1,0,0,0,760126,500,5000,10,0,100,20,raw/task_0017_old0125_L12_V5.0_s760126
18,132,targeted_153450_followup,12,6.0,12,8,0.1,1,0,0,0,760133,500,5000,10,0,100,20,raw/task_0018_old0132_L12_V6.0_s760133
19,133,targeted_153450_followup,12,6.0,12,8,0.1,1,0,0,0,760134,500,5000,10,0,100,20,raw/task_0019_old0133_L12_V6.0_s760134
20,134,targeted_153450_followup,12,6.0,12,8,0.1,1,0,0,0,760135,500,5000,10,0,100,20,raw/task_0020_old0134_L12_V6.0_s760135
21,135,targeted_153450_followup,12,6.0,12,8,0.1,1,0,0,0,760136,500,5000,10,0,100,20,raw/task_0021_old0135_L12_V6.0_s760136
