task_id,L,V,theta,beta_trial,dt,delta,mu,boundary,hs_scheme,seed,burn,measurements,threads,adaptive_guard,guard_threshold,diagnostic_stride,output_dir
0,10,3.8,8,8,0.1,1,0,0,0,981001,500,5000,1,true,0.1,0,results/L10_L18_observable_recheck/raw/task_000_L10_V3.8_th8_s981001
1,10,3.8,8,8,0.1,1,0,0,0,981002,500,5000,1,true,0.1,0,results/L10_L18_observable_recheck/raw/task_001_L10_V3.8_th8_s981002
2,10,3.8,8,8,0.1,1,0,0,0,981003,500,5000,1,true,0.1,0,results/L10_L18_observable_recheck/raw/task_002_L10_V3.8_th8_s981003
3,10,4.0,8,8,0.1,1,0,0,0,981004,500,5000,1,true,0.1,0,results/L10_L18_observable_recheck/raw/task_003_L10_V4.0_th8_s981004
4,10,4.0,8,8,0.1,1,0,0,0,981005,500,5000,1,true,0.1,0,results/L10_L18_observable_recheck/raw/task_004_L10_V4.0_th8_s981005
5,10,4.0,8,8,0.1,1,0,0,0,981006,500,5000,1,true,0.1,0,results/L10_L18_observable_recheck/raw/task_005_L10_V4.0_th8_s981006
6,10,4.2,8,8,0.1,1,0,0,0,981007,500,5000,1,true,0.1,0,results/L10_L18_observable_recheck/raw/task_006_L10_V4.2_th8_s981007
7,10,4.2,8,8,0.1,1,0,0,0,981008,500,5000,1,true,0.1,0,results/L10_L18_observable_recheck/raw/task_007_L10_V4.2_th8_s981008
8,10,4.2,8,8,0.1,1,0,0,0,981009,500,5000,1,true,0.1,0,results/L10_L18_observable_recheck/raw/task_008_L10_V4.2_th8_s981009
9,10,4.4,8,8,0.1,1,0,0,0,981010,500,5000,1,true,0.1,0,results/L10_L18_observable_recheck/raw/task_009_L10_V4.4_th8_s981010
10,10,4.4,8,8,0.1,1,0,0,0,981011,500,5000,1,true,0.1,0,results/L10_L18_observable_recheck/raw/task_010_L10_V4.4_th8_s981011
11,10,4.4,8,8,0.1,1,0,0,0,981012,500,5000,1,true,0.1,0,results/L10_L18_observable_recheck/raw/task_011_L10_V4.4_th8_s981012
12,10,4.6,8,8,0.1,1,0,0,0,981013,500,5000,1,true,0.1,0,results/L10_L18_observable_recheck/raw/task_012_L10_V4.6_th8_s981013
13,10,4.6,8,8,0.1,1,0,0,0,981014,500,5000,1,true,0.1,0,results/L10_L18_observable_recheck/raw/task_013_L10_V4.6_th8_s981014
14,10,4.6,8,8,0.1,1,0,0,0,981015,500,5000,1,true,0.1,0,results/L10_L18_observable_recheck/raw/task_014_L10_V4.6_th8_s981015
15,10,4.0,10,8,0.1,1,0,0,0,981016,500,5000,1,true,0.1,0,results/L10_L18_observable_recheck/raw/task_015_L10_V4.0_th10_s981016
16,10,4.0,10,8,0.1,1,0,0,0,981017,500,5000,1,true,0.1,0,results/L10_L18_observable_recheck/raw/task_016_L10_V4.0_th10_s981017
17,10,4.0,10,8,0.1,1,0,0,0,981018,500,5000,1,true,0.1,0,results/L10_L18_observable_recheck/raw/task_017_L10_V4.0_th10_s981018
18,10,4.0,12,8,0.1,1,0,0,0,981019,500,5000,1,true,0.1,0,results/L10_L18_observable_recheck/raw/task_018_L10_V4.0_th12_s981019
