lower,upper,observable,sigma_difference
2.0,4.0,S_pi,1.7615467704255803
2.0,4.0,S_pi_dq,-0.9233613847204425
2.0,4.0,R_cdw,2.095315219479256
4.0,6.0,S_pi,-3.2623593477192467
4.0,6.0,S_pi_dq,-0.14415830846676214
4.0,6.0,R_cdw,-3.034270563800877
6.0,8.0,S_pi,-1.2761084025212417
6.0,8.0,S_pi_dq,1.8380661121300277
6.0,8.0,R_cdw,-1.864295146464784
8.0,10.0,S_pi,2.613146638765039
8.0,10.0,S_pi_dq,0.374542743564952
8.0,10.0,R_cdw,2.373108311262479
10.0,12.0,S_pi,-0.9077814573752809
10.0,12.0,S_pi_dq,-0.6010360717374287
10.0,12.0,R_cdw,-0.7103799420747312
