task_id,campaign,L,V,theta,beta_trial,dt,delta,mu,boundary,hs_scheme,seed,burn,measurements,threads,adaptive_guard,guard_threshold,multiprecision_fallback,full_rebuild_diagnostic,diagnostic_stride,stabilization_interval,sign_recompute_stride,S_pi,S_pi_err,S_pi_dq,S_pi_dq_err,R_cdw,R_cdw_err,average_sign,acceptance,runtime_seconds,guard_trigger_fraction,min_update_denominator,sign_corrections,max_sign_imag,max_observable_imag,result_path,adaptive_rebuild_count,average_sign_err,code_version,diagnostic_R_cdw_abs_diff_max,diagnostic_S_pi_abs_diff_max,diagnostic_comparisons,diagnostic_relative_frobenius_max,diagnostic_sign_mismatch_count,full_rebuild_count,mode,multiprecision_fallback_count,negative_signs,observable_convention,output_dir,physical_slices,post_accept_rebuild_count,pre_decision_rebuild_count,proposal_attempt_count,sign_recomputes,source_result_path,source_task_id,trial_slices
0,guard_on_numerical_diagnostic,4,5,6,8,0.1,1,0,0,0,970040,500,5000,1,True,0.1,False,true,250,10,20,-0.7244021473393981,0.018146853002231254,16.994019585884462,3.4369249415355783,24.45937218477404,15.225307604317626,0.0028,0.6625102083333333,530.081030466,0.0340375,6.009587552036066e-07,48,0.9999991138107565,213606.79136708938,/home/sunxr/PfQMC-main/reproduction/projector_kitaev/results/guard_on_diagnostics/raw/task_000_L4_V5_th6_bt8_dt0.1_s970040/result.json,97436,0.018961990755867526,source_identifier:PfQMC-main_20260821,0.0428478851707933,0.00858265086500748,20,0.995067308353354,15,97436,static_note_projector,0,2493,physical_density_SQ_equals_minus_legacy_contact_already_included,results/guard_on_diagnostics/raw/task_000_L4_V5_th6_bt8_dt0.1_s970040,120,7577,89859,2640000,250,"/home/sunxr/PfQMC-main-old/reproduction/projector_kitaev/results/static_note_validation/raw/task_039_L4_V5_th6_bt8_s970040
/result.json","task_039_L4_V5_th6_bt8_s970040
",80
1,guard_on_numerical_diagnostic,4,5,6,8,0.1,1,0,0,0,970039,500,5000,1,True,0.1,False,true,250,10,20,0.03527690659019835,0.015756101898856827,-0.20435663297444118,0.07968493800038308,6.792929503382857,2.8211455276033695,0.0376,0.6696972916666667,497.929034503,0.03376325757575758,7.593297183250414e-07,34,0.9988744912698375,863.1840203497114,/home/sunxr/PfQMC-main/reproduction/projector_kitaev/results/guard_on_diagnostics/raw/task_001_L4_V5_th6_bt8_dt0.1_s970039/result.json,96722,0.01652329841713565,source_identifier:PfQMC-main_20260821,0.3032654666529798,0.057028320166387286,20,3.365748830900608,10,96722,static_note_projector,0,2406,physical_density_SQ_equals_minus_legacy_contact_already_included,results/guard_on_diagnostics/raw/task_001_L4_V5_th6_bt8_dt0.1_s970039,120,7587,89135,2640000,250,"/home/sunxr/PfQMC-main-old/reproduction/projector_kitaev/results/static_note_validation/raw/task_038_L4_V5_th6_bt8_s970039
/result.json","task_038_L4_V5_th6_bt8_s970039
",80
2,guard_on_numerical_diagnostic,4,5,6,8,0.1,1,0,0,0,970037,500,5000,1,True,0.1,False,true,250,10,20,0.1428284097300363,0.17022023357458868,0.05134256780089342,0.09236047735260097,0.6405297244579188,0.19382600320377802,0.0076,0.66174625,499.963826545,0.0339875,1.950608036094259e-06,48,0.9999447650022925,180.72075414316132,/home/sunxr/PfQMC-main/reproduction/projector_kitaev/results/guard_on_diagnostics/raw/task_002_L4_V5_th6_bt8_dt0.1_s970037/result.json,97102,0.010060448875619186,source_identifier:PfQMC-main_20260821,0.016797316165301335,0.00511858594183362,20,1.5483938603183844,11,97102,static_note_projector,0,2481,physical_density_SQ_equals_minus_legacy_contact_already_included,results/guard_on_diagnostics/raw/task_002_L4_V5_th6_bt8_dt0.1_s970037,120,7375,89727,2640000,250,"/home/sunxr/PfQMC-main-old/reproduction/projector_kitaev/results/static_note_validation/raw/task_036_L4_V5_th6_bt8_s970037
/result.json","task_036_L4_V5_th6_bt8_s970037
",80
3,guard_on_numerical_diagnostic,4,4.4,6,8,0.1,1,0,0,0,970029,500,5000,1,True,0.1,False,true,250,10,20,0.17541159387785377,0.054757529100990125,0.0022267215974393234,0.02923020020638908,0.9873057330578167,0.08588578645426821,0.0516,0.6840797916666667,425.067326371,0.02846780303030303,1.9348614244130147e-07,13,0.837644857283831,14.33802558342415,/home/sunxr/PfQMC-main/reproduction/projector_kitaev/results/guard_on_diagnostics/raw/task_003_L4_V4.4_th6_bt8_dt0.1_s970029/result.json,79820,0.01549590638860971,source_identifier:PfQMC-main_20260821,2.4137647185451527e-06,1.1447247619256196e-07,20,5.169009696027101,6,79820,static_note_projector,0,2371,physical_density_SQ_equals_minus_legacy_contact_already_included,results/guard_on_diagnostics/raw/task_003_L4_V4.4_th6_bt8_dt0.1_s970029,120,4665,75155,2640000,250,"/home/sunxr/PfQMC-main-old/reproduction/projector_kitaev/results/static_note_validation/raw/task_028_L4_V4.4_th6_bt8_s970029
/result.json","task_028_L4_V4.4_th6_bt8_s970029
",80
4,guard_on_numerical_diagnostic,4,4.4,6,8,0.1,1,0,0,0,970026,500,5000,1,True,0.1,False,true,250,10,20,0.06685915352797911,0.001993562150152913,0.060828436469638196,0.0007646967147829153,0.09020032022716518,0.026946690723184206,0.0732,0.6869654166666667,419.924071207,0.028524242424242424,1.4560293932763815e-06,6,0.9401462552056613,0.11095145626902174,/home/sunxr/PfQMC-main/reproduction/projector_kitaev/results/guard_on_diagnostics/raw/task_004_L4_V4.4_th6_bt8_dt0.1_s970026/result.json,80049,0.019312608371353235,source_identifier:PfQMC-main_20260821,5.294745071271478e-07,2.8460142555142287e-08,20,2.0976092752543307,7,80049,static_note_projector,0,2317,physical_density_SQ_equals_minus_legacy_contact_already_included,results/guard_on_diagnostics/raw/task_004_L4_V4.4_th6_bt8_dt0.1_s970026,120,4745,75304,2640000,250,"/home/sunxr/PfQMC-main-old/reproduction/projector_kitaev/results/static_note_validation/raw/task_025_L4_V4.4_th6_bt8_s970026
/result.json","task_025_L4_V4.4_th6_bt8_s970026
",80
5,guard_on_numerical_diagnostic,4,5,6,8,0.1,1,0,0,0,970033,500,5000,1,True,0.1,False,true,250,10,20,0.1429940399210668,0.03423967491007482,0.03457818252589124,0.012868264427791234,0.7581844491911794,0.7723140631836405,-0.0188,0.656263125,705.218398319,0.034127651515151514,2.3322711042439437e-06,57,0.99999999481722,0.020510599293939582,/home/sunxr/PfQMC-main/reproduction/projector_kitaev/results/guard_on_diagnostics/raw/task_005_L4_V5_th6_bt8_dt0.1_s970033/result.json,97925,0.012785188799215244,source_identifier:PfQMC-main_20260821,0.3464136685349425,0.06910469171871225,20,2.302285172654444,12,97925,static_note_projector,0,2547,physical_density_SQ_equals_minus_legacy_contact_already_included,results/guard_on_diagnostics/raw/task_005_L4_V5_th6_bt8_dt0.1_s970033,120,7828,90097,2640000,250,"/home/sunxr/PfQMC-main-old/reproduction/projector_kitaev/results/static_note_validation/raw/task_032_L4_V5_th6_bt8_s970033
/result.json","task_032_L4_V5_th6_bt8_s970033
",80
6,guard_on_numerical_diagnostic,4,5,6,8,0.1,1,0,0,0,970034,500,5000,1,True,0.1,False,true,250,10,20,0.10430761809284432,0.012650249704010533,0.052215528232085286,0.00379222263731947,0.49940829647161356,9.495730633561891,0.0336,0.6636166666666666,717.387624053,0.03338484848484848,1.97758007813854e-06,40,0.9997732210378727,0.005262587764838883,/home/sunxr/PfQMC-main/reproduction/projector_kitaev/results/guard_on_diagnostics/raw/task_006_L4_V5_th6_bt8_dt0.1_s970034/result.json,94921,0.017329986181547623,source_identifier:PfQMC-main_20260821,0.31790266584726523,0.08671429066988157,20,1.5132499736578342,11,94921,static_note_projector,0,2416,physical_density_SQ_equals_minus_legacy_contact_already_included,results/guard_on_diagnostics/raw/task_006_L4_V5_th6_bt8_dt0.1_s970034,120,6785,88136,2640000,250,"/home/sunxr/PfQMC-main-old/reproduction/projector_kitaev/results/static_note_validation/raw/task_033_L4_V5_th6_bt8_s970034
/result.json","task_033_L4_V5_th6_bt8_s970034
",80
7,guard_on_numerical_diagnostic,4,5,6,8,0.1,1,0,0,0,970038,500,5000,1,True,0.1,False,true,250,10,20,0.012826406118011304,0.022079269884911882,0.10291984445058963,0.010959852960520525,-7.024059389953813,0.758207597822134,0.0224,0.6581372916666667,739.775359543,0.033749242424242425,2.0027270686284737e-07,47,0.9999431498927119,0.0027596280833108713,/home/sunxr/PfQMC-main/reproduction/projector_kitaev/results/guard_on_diagnostics/raw/task_007_L4_V5_th6_bt8_dt0.1_s970038/result.json,96005,0.01630669431462448,source_identifier:PfQMC-main_20260821,0.6018783363850356,0.441747089831148,20,3.1342547972688477,11,96005,static_note_projector,0,2444,physical_density_SQ_equals_minus_legacy_contact_already_included,results/guard_on_diagnostics/raw/task_007_L4_V5_th6_bt8_dt0.1_s970038,120,6907,89098,2640000,250,"/home/sunxr/PfQMC-main-old/reproduction/projector_kitaev/results/static_note_validation/raw/task_037_L4_V5_th6_bt8_s970038
/result.json","task_037_L4_V5_th6_bt8_s970038
",80
8,guard_on_numerical_diagnostic,4,5,6,8,0.1,1,0,0,0,970036,500,5000,1,True,0.1,False,true,250,10,20,0.06818308057940115,0.03221551978882643,0.0641934073743937,0.009608893478403203,0.05851412360814867,0.07279457982320905,0.0304,0.665951875,707.167596384,0.03310189393939394,1.5616756443570523e-07,31,0.9858783985717812,0.0010941410942074347,/home/sunxr/PfQMC-main/reproduction/projector_kitaev/results/guard_on_diagnostics/raw/task_008_L4_V5_th6_bt8_dt0.1_s970036/result.json,93233,0.012066094781446638,source_identifier:PfQMC-main_20260821,0.004074896585332555,0.0018987974316597156,20,1.315860721797758,8,93233,static_note_projector,0,2424,physical_density_SQ_equals_minus_legacy_contact_already_included,results/guard_on_diagnostics/raw/task_008_L4_V5_th6_bt8_dt0.1_s970036,120,5844,87389,2640000,250,"/home/sunxr/PfQMC-main-old/reproduction/projector_kitaev/results/static_note_validation/raw/task_035_L4_V5_th6_bt8_s970036
/result.json","task_035_L4_V5_th6_bt8_s970036
",80
9,guard_on_numerical_diagnostic,4,5,6,8,0.1,1,0,0,0,970035,500,5000,1,True,0.1,False,true,250,10,20,-0.04105745854060373,0.0030727769311635882,0.052424296421580655,0.0021777891174079747,2.2768519602774657,0.17408811709873132,0.002,0.6660447916666666,715.811741543,0.03310568181818182,2.355732245273856e-06,32,0.9998915741320796,0.00019326874821980967,/home/sunxr/PfQMC-main/reproduction/projector_kitaev/results/guard_on_diagnostics/raw/task_009_L4_V5_th6_bt8_dt0.1_s970035/result.json,93447,0.01578673660487116,source_identifier:PfQMC-main_20260821,0.004871478819966635,0.0017658690860266335,20,3.5288093045004825,8,93447,static_note_projector,0,2495,physical_density_SQ_equals_minus_legacy_contact_already_included,results/guard_on_diagnostics/raw/task_009_L4_V5_th6_bt8_dt0.1_s970035,120,6048,87399,2640000,250,"/home/sunxr/PfQMC-main-old/reproduction/projector_kitaev/results/static_note_validation/raw/task_034_L4_V5_th6_bt8_s970035
/result.json","task_034_L4_V5_th6_bt8_s970035
",80
