task_id,campaign,L,V,theta,beta_trial,dt,delta,mu,boundary,hs_scheme,seed,burn,measurements,threads,adaptive_guard,diagnostic_stride,stabilization_interval,sign_recompute_stride,output_dir,reuse_result
0,projector_sign_scan_L18,18,2.0,10,8,0.1,1,0,0,0,992801,500,5000,1,false,0,10,20,raw/L18/task_000_V2_s992801,
1,projector_sign_scan_L18,18,2.0,10,8,0.1,1,0,0,0,992802,500,5000,1,false,0,10,20,raw/L18/task_001_V2_s992802,
2,projector_sign_scan_L18,18,2.0,10,8,0.1,1,0,0,0,992803,500,5000,1,false,0,10,20,raw/L18/task_002_V2_s992803,
3,projector_sign_scan_L18,18,2.0,10,8,0.1,1,0,0,0,992804,500,5000,1,false,0,10,20,raw/L18/task_003_V2_s992804,
4,projector_sign_scan_L18,18,2.0,10,8,0.1,1,0,0,0,992805,500,5000,1,false,0,10,20,raw/L18/task_004_V2_s992805,
5,projector_sign_scan_L18,18,2.0,10,8,0.1,1,0,0,0,992806,500,5000,1,false,0,10,20,raw/L18/task_005_V2_s992806,
6,projector_sign_scan_L18,18,3.0,10,8,0.1,1,0,0,0,992801,500,5000,1,false,0,10,20,raw/L18/task_006_V3_s992801,
7,projector_sign_scan_L18,18,3.0,10,8,0.1,1,0,0,0,992802,500,5000,1,false,0,10,20,raw/L18/task_007_V3_s992802,
8,projector_sign_scan_L18,18,3.0,10,8,0.1,1,0,0,0,992803,500,5000,1,false,0,10,20,raw/L18/task_008_V3_s992803,
9,projector_sign_scan_L18,18,3.0,10,8,0.1,1,0,0,0,992804,500,5000,1,false,0,10,20,raw/L18/task_009_V3_s992804,
10,projector_sign_scan_L18,18,3.0,10,8,0.1,1,0,0,0,992805,500,5000,1,false,0,10,20,raw/L18/task_010_V3_s992805,
11,projector_sign_scan_L18,18,3.0,10,8,0.1,1,0,0,0,992806,500,5000,1,false,0,10,20,raw/L18/task_011_V3_s992806,
12,projector_sign_scan_L18,18,3.5,10,8,0.1,1,0,0,0,992801,500,5000,1,false,0,10,20,raw/L18/task_012_V3.5_s992801,
13,projector_sign_scan_L18,18,3.5,10,8,0.1,1,0,0,0,992802,500,5000,1,false,0,10,20,raw/L18/task_013_V3.5_s992802,
14,projector_sign_scan_L18,18,3.5,10,8,0.1,1,0,0,0,992803,500,5000,1,false,0,10,20,raw/L18/task_014_V3.5_s992803,
15,projector_sign_scan_L18,18,3.5,10,8,0.1,1,0,0,0,992804,500,5000,1,false,0,10,20,raw/L18/task_015_V3.5_s992804,
16,projector_sign_scan_L18,18,3.5,10,8,0.1,1,0,0,0,992805,500,5000,1,false,0,10,20,raw/L18/task_016_V3.5_s992805,
17,projector_sign_scan_L18,18,3.5,10,8,0.1,1,0,0,0,992806,500,5000,1,false,0,10,20,raw/L18/task_017_V3.5_s992806,
18,projector_sign_scan_L18,18,4.0,10,8,0.1,1,0,0,0,992801,500,5000,1,false,0,10,20,raw/L18/task_018_V4_s992801,
19,projector_sign_scan_L18,18,4.0,10,8,0.1,1,0,0,0,992802,500,5000,1,false,0,10,20,raw/L18/task_019_V4_s992802,
20,projector_sign_scan_L18,18,4.0,10,8,0.1,1,0,0,0,992803,500,5000,1,false,0,10,20,raw/L18/task_020_V4_s992803,
21,projector_sign_scan_L18,18,4.0,10,8,0.1,1,0,0,0,992804,500,5000,1,false,0,10,20,raw/L18/task_021_V4_s992804,
22,projector_sign_scan_L18,18,4.0,10,8,0.1,1,0,0,0,992805,500,5000,1,false,0,10,20,raw/L18/task_022_V4_s992805,
23,projector_sign_scan_L18,18,4.0,10,8,0.1,1,0,0,0,992806,500,5000,1,false,0,10,20,raw/L18/task_023_V4_s992806,
24,projector_sign_scan_L18,18,4.5,10,8,0.1,1,0,0,0,992801,500,5000,1,false,0,10,20,raw/L18/task_024_V4.5_s992801,
