task_id,campaign,L,V,theta,beta_trial,dt,delta,mu,boundary,hs_scheme,seed,burn,measurements,threads,adaptive_guard,guard_threshold,multiprecision_fallback,full_rebuild_diagnostic,diagnostic_stride,stabilization_interval,sign_recompute_stride,S_pi,S_pi_err,S_pi_dq,S_pi_dq_err,R_cdw,R_cdw_err,average_sign,acceptance,runtime_seconds,sign_corrections,max_sign_imag,max_observable_imag,result_path,R_cdw_mean,S_pi_dq_mean,S_pi_dq_offsite,S_pi_dq_offsite_err,S_pi_dq_offsite_mean,S_pi_mean,S_pi_offsite,S_pi_offsite_err,S_pi_offsite_mean,average_sign_err,average_sign_mean,center_operator_boundary,code_version,error_method,mode,n_bins,negative_signs,observable_convention,onsite_contact,onsite_contact_is_diagnostic_only,output_dir,physical_slices,sign_recomputes,source_result_path,source_task_id,trial_slices
0,guard_off_theta_convergence,10,2,2,8,0.1,1,0,0,0,990001,500,5000,1,false,,false,false,0,10,20,0.045129666734327306,0.0003399187972222951,0.035438928308304155,0.00018860828000552232,0.21473099908030158,0.007084370770980096,0.9796,0.7471315,53.445197846,0,7.527842332549194e-10,3.073038118890679e-14,/home/sunxr/PfQMC-main/reproduction/projector_kitaev/results/projector_theta_convergence/raw/task_000_L10_V2.0_th2_bt8_dt0.1_s990001/result.json,0.21473099908030158,0.035438928308304155,0.010438928308304153,0.00018860828000552234,0.010438928308304153,0.045129666734327306,0.020129666734327305,0.00033991879722229516,0.020129666734327305,0.0023240813577264483,0.9796,160,source_identifier:PfQMC-main_20260821,contiguous_sign_reweighted_bins,projector,15,51,physical_density_SQ_equals_minus_legacy_contact_already_included,0.025,True,results/projector_theta_convergence/raw/task_000_L10_V2.0_th2_bt8_dt0.1_s990001,40,250,,,80
1,guard_off_theta_convergence,10,2,2,8,0.1,1,0,0,0,990002,500,5000,1,false,,false,false,0,10,20,0.04476805258035294,0.0004397193243593602,0.03520040765264691,0.00013048015368561915,0.21371590623767533,0.007709424122279821,0.9772,0.747252,54.010376347,0,7.89006360522516e-11,1.8071155826348474e-14,/home/sunxr/PfQMC-main/reproduction/projector_kitaev/results/projector_theta_convergence/raw/task_001_L10_V2.0_th2_bt8_dt0.1_s990002/result.json,0.21371590623767533,0.03520040765264691,0.01020040765264691,0.00013048015368561915,0.01020040765264691,0.04476805258035294,0.01976805258035294,0.00043971932435936015,0.01976805258035294,0.0030590868545706624,0.9772,160,source_identifier:PfQMC-main_20260821,contiguous_sign_reweighted_bins,projector,15,57,physical_density_SQ_equals_minus_legacy_contact_already_included,0.025,True,results/projector_theta_convergence/raw/task_001_L10_V2.0_th2_bt8_dt0.1_s990002,40,250,,,80
2,guard_off_theta_convergence,10,2,2,8,0.1,1,0,0,0,990003,500,5000,1,false,,false,false,0,10,20,0.04501331183247274,0.00023515455780663078,0.035480097886150024,0.00010971722952153778,0.21178654842822353,0.0031541643169077805,0.976,0.74724025,53.950037262,0,3.5521514621651665e-11,6.672682475267586e-15,/home/sunxr/PfQMC-main/reproduction/projector_kitaev/results/projector_theta_convergence/raw/task_002_L10_V2.0_th2_bt8_dt0.1_s990003/result.json,0.21178654842822353,0.035480097886150024,0.010480097886150022,0.00010971722952153778,0.010480097886150022,0.04501331183247274,0.020013311832472735,0.00023515455780663078,0.020013311832472735,0.0030430845375241304,0.976,160,source_identifier:PfQMC-main_20260821,contiguous_sign_reweighted_bins,projector,15,60,physical_density_SQ_equals_minus_legacy_contact_already_included,0.025,True,results/projector_theta_convergence/raw/task_002_L10_V2.0_th2_bt8_dt0.1_s990003,40,250,,,80
3,guard_off_theta_convergence,10,2,2,8,0.1,1,0,0,0,990004,500,5000,1,false,,false,false,0,10,20,0.04516672077913258,0.0002837398502540171,0.0350747282838555,0.0001370240812378223,0.2234386805415297,0.004582738058066161,0.9832,0.74770475,54.03927254,0,3.553271249142182e-10,8.969764259301033e-14,/home/sunxr/PfQMC-main/reproduction/projector_kitaev/results/projector_theta_convergence/raw/task_003_L10_V2.0_th2_bt8_dt0.1_s990004/result.json,0.2234386805415297,0.0350747282838555,0.0100747282838555,0.0001370240812378223,0.0100747282838555,0.04516672077913258,0.020166720779132577,0.0002837398502540171,0.020166720779132577,0.00293894966067863,0.9832,160,source_identifier:PfQMC-main_20260821,contiguous_sign_reweighted_bins,projector,15,42,physical_density_SQ_equals_minus_legacy_contact_already_included,0.025,True,results/projector_theta_convergence/raw/task_003_L10_V2.0_th2_bt8_dt0.1_s990004,40,250,,,80
4,guard_off_theta_convergence,10,2,2,8,0.1,1,0,0,0,990005,500,5000,1,false,,false,false,0,10,20,0.04614836777039513,0.0006482144437406816,0.0355075177986099,0.0002079704764900601,0.23057911873995884,0.008417048912712829,0.9724,0.746628,54.114595594,0,8.515880410821412e-11,1.7426553000141538e-14,/home/sunxr/PfQMC-main/reproduction/projector_kitaev/results/projector_theta_convergence/raw/task_004_L10_V2.0_th2_bt8_dt0.1_s990005/result.json,0.23057911873995884,0.0355075177986099,0.010507517798609901,0.00020797047649006014,0.010507517798609901,0.04614836777039513,0.02114836777039513,0.0006482144437406816,0.02114836777039513,0.00391489268920687,0.9724,160,source_identifier:PfQMC-main_20260821,contiguous_sign_reweighted_bins,projector,15,69,physical_density_SQ_equals_minus_legacy_contact_already_included,0.025,True,results/projector_theta_convergence/raw/task_004_L10_V2.0_th2_bt8_dt0.1_s990005,40,250,,,80
5,guard_off_theta_convergence,10,2,2,8,0.1,1,0,0,0,990006,500,5000,1,false,,false,false,0,10,20,0.045291362546124064,0.000504077323725514,0.035111299128028226,0.0001449986369899202,0.224768318853923,0.006913961185385126,0.9768,0.746931,51.092847362,0,1.8178582561328406e-11,6.632878443634338e-14,/home/sunxr/PfQMC-main/reproduction/projector_kitaev/results/projector_theta_convergence/raw/task_005_L10_V2.0_th2_bt8_dt0.1_s990006/result.json,0.224768318853923,0.035111299128028226,0.010111299128028224,0.0001449986369899202,0.010111299128028224,0.045291362546124064,0.020291362546124063,0.000504077323725514,0.020291362546124063,0.0036454951630021386,0.9768,160,source_identifier:PfQMC-main_20260821,contiguous_sign_reweighted_bins,projector,15,58,physical_density_SQ_equals_minus_legacy_contact_already_included,0.025,True,results/projector_theta_convergence/raw/task_005_L10_V2.0_th2_bt8_dt0.1_s990006,40,250,,,80
6,guard_off_theta_convergence,10,2,2,8,0.1,1,0,0,0,990007,500,5000,1,false,,false,false,0,10,20,0.04530513920223498,0.00038490412076562806,0.035262167140805385,0.0001313292896829143,0.22167401399208497,0.007345263592161138,0.9784,0.747049,51.13886207,0,6.552816636583164e-11,7.391011326291071e-15,/home/sunxr/PfQMC-main/reproduction/projector_kitaev/results/projector_theta_convergence/raw/task_006_L10_V2.0_th2_bt8_dt0.1_s990007/result.json,0.22167401399208497,0.035262167140805385,0.010262167140805384,0.0001313292896829143,0.010262167140805384,0.04530513920223498,0.02030513920223498,0.00038490412076562806,0.02030513920223498,0.003652063581522216,0.9784,160,source_identifier:PfQMC-main_20260821,contiguous_sign_reweighted_bins,projector,15,54,physical_density_SQ_equals_minus_legacy_contact_already_included,0.025,True,results/projector_theta_convergence/raw/task_006_L10_V2.0_th2_bt8_dt0.1_s990007,40,250,,,80
7,guard_off_theta_convergence,10,2,2,8,0.1,1,0,0,0,990008,500,5000,1,false,,false,false,0,10,20,0.04551399603862266,0.00047126586191732913,0.03524158355575012,0.0001430496925898261,0.2256978814638796,0.008432765569014275,0.9764,0.74719625,50.847529284,0,1.965209091456277e-11,1.4985674671138404e-14,/home/sunxr/PfQMC-main/reproduction/projector_kitaev/results/projector_theta_convergence/raw/task_007_L10_V2.0_th2_bt8_dt0.1_s990008/result.json,0.2256978814638796,0.03524158355575012,0.010241583555750118,0.0001430496925898261,0.010241583555750118,0.04551399603862266,0.02051399603862266,0.00047126586191732913,0.02051399603862266,0.003719808738647659,0.9764,160,source_identifier:PfQMC-main_20260821,contiguous_sign_reweighted_bins,projector,15,59,physical_density_SQ_equals_minus_legacy_contact_already_included,0.025,True,results/projector_theta_convergence/raw/task_007_L10_V2.0_th2_bt8_dt0.1_s990008,40,250,,,80
8,guard_off_theta_convergence,10,2,2,8,0.1,1,0,0,0,990009,500,5000,1,false,,false,false,0,10,20,0.04559573102268346,0.0004980708916891179,0.03564974221854224,0.0002060784520417157,0.21813421083638695,0.011112324812047977,0.9768,0.747738,79.703988831,0,7.073675173388032e-11,8.60538458109587e-15,/home/sunxr/PfQMC-main/reproduction/projector_kitaev/results/projector_theta_convergence/raw/task_008_L10_V2.0_th2_bt8_dt0.1_s990009/result.json,0.21813421083638695,0.03564974221854224,0.010649742218542237,0.0002060784520417157,0.010649742218542237,0.04559573102268346,0.02059573102268346,0.0004980708916891179,0.02059573102268346,0.0028040489416427603,0.9768,160,source_identifier:PfQMC-main_20260821,contiguous_sign_reweighted_bins,projector,15,58,physical_density_SQ_equals_minus_legacy_contact_already_included,0.025,True,results/projector_theta_convergence/raw/task_008_L10_V2.0_th2_bt8_dt0.1_s990009,40,250,,,80
9,guard_off_theta_convergence,10,2,2,8,0.1,1,0,0,0,990010,500,5000,1,false,,false,false,0,10,20,0.04472222553167199,0.0002193851384811173,0.03561497795106067,0.00014825778404363178,0.20364030350326878,0.005160941895138284,0.9768,0.7472145,81.765353163,0,3.744239175578156e-11,4.144690013419903e-15,/home/sunxr/PfQMC-main/reproduction/projector_kitaev/results/projector_theta_convergence/raw/task_009_L10_V2.0_th2_bt8_dt0.1_s990010/result.json,0.20364030350326878,0.03561497795106067,0.010614977951060665,0.00014825778404363178,0.010614977951060665,0.04472222553167199,0.019722225531671987,0.0002193851384811173,0.019722225531671987,0.002972280803552859,0.9768,160,source_identifier:PfQMC-main_20260821,contiguous_sign_reweighted_bins,projector,15,58,physical_density_SQ_equals_minus_legacy_contact_already_included,0.025,True,results/projector_theta_convergence/raw/task_009_L10_V2.0_th2_bt8_dt0.1_s990010,40,250,,,80
