task_id,campaign,L,V,theta,beta_trial,dt,delta,mu,boundary,hs_scheme,seed,burn,measurements,threads,adaptive_guard,guard_threshold,multiprecision_fallback,full_rebuild_diagnostic,diagnostic_stride,stabilization_interval,sign_recompute_stride,output_dir,source_result_path,source_task_id,code_version
0,guard_off_theta_convergence,10,2.0,2,8,0.1,1,0,0,0,990001,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_000_L10_V2.0_th2_bt8_dt0.1_s990001,,,source_identifier:PfQMC-main_20260821
1,guard_off_theta_convergence,10,2.0,2,8,0.1,1,0,0,0,990002,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_001_L10_V2.0_th2_bt8_dt0.1_s990002,,,source_identifier:PfQMC-main_20260821
2,guard_off_theta_convergence,10,2.0,2,8,0.1,1,0,0,0,990003,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_002_L10_V2.0_th2_bt8_dt0.1_s990003,,,source_identifier:PfQMC-main_20260821
3,guard_off_theta_convergence,10,2.0,2,8,0.1,1,0,0,0,990004,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_003_L10_V2.0_th2_bt8_dt0.1_s990004,,,source_identifier:PfQMC-main_20260821
4,guard_off_theta_convergence,10,2.0,2,8,0.1,1,0,0,0,990005,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_004_L10_V2.0_th2_bt8_dt0.1_s990005,,,source_identifier:PfQMC-main_20260821
5,guard_off_theta_convergence,10,2.0,2,8,0.1,1,0,0,0,990006,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_005_L10_V2.0_th2_bt8_dt0.1_s990006,,,source_identifier:PfQMC-main_20260821
6,guard_off_theta_convergence,10,2.0,2,8,0.1,1,0,0,0,990007,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_006_L10_V2.0_th2_bt8_dt0.1_s990007,,,source_identifier:PfQMC-main_20260821
7,guard_off_theta_convergence,10,2.0,2,8,0.1,1,0,0,0,990008,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_007_L10_V2.0_th2_bt8_dt0.1_s990008,,,source_identifier:PfQMC-main_20260821
8,guard_off_theta_convergence,10,2.0,2,8,0.1,1,0,0,0,990009,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_008_L10_V2.0_th2_bt8_dt0.1_s990009,,,source_identifier:PfQMC-main_20260821
9,guard_off_theta_convergence,10,2.0,2,8,0.1,1,0,0,0,990010,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_009_L10_V2.0_th2_bt8_dt0.1_s990010,,,source_identifier:PfQMC-main_20260821
10,guard_off_theta_convergence,10,2.0,2,8,0.1,1,0,0,0,990011,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_010_L10_V2.0_th2_bt8_dt0.1_s990011,,,source_identifier:PfQMC-main_20260821
11,guard_off_theta_convergence,10,2.0,2,8,0.1,1,0,0,0,990012,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_011_L10_V2.0_th2_bt8_dt0.1_s990012,,,source_identifier:PfQMC-main_20260821
12,guard_off_theta_convergence,10,2.0,4,8,0.1,1,0,0,0,990001,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_012_L10_V2.0_th4_bt8_dt0.1_s990001,,,source_identifier:PfQMC-main_20260821
13,guard_off_theta_convergence,10,2.0,4,8,0.1,1,0,0,0,990002,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_013_L10_V2.0_th4_bt8_dt0.1_s990002,,,source_identifier:PfQMC-main_20260821
14,guard_off_theta_convergence,10,2.0,4,8,0.1,1,0,0,0,990003,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_014_L10_V2.0_th4_bt8_dt0.1_s990003,,,source_identifier:PfQMC-main_20260821
15,guard_off_theta_convergence,10,2.0,4,8,0.1,1,0,0,0,990004,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_015_L10_V2.0_th4_bt8_dt0.1_s990004,,,source_identifier:PfQMC-main_20260821
16,guard_off_theta_convergence,10,2.0,4,8,0.1,1,0,0,0,990005,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_016_L10_V2.0_th4_bt8_dt0.1_s990005,,,source_identifier:PfQMC-main_20260821
17,guard_off_theta_convergence,10,2.0,4,8,0.1,1,0,0,0,990006,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_017_L10_V2.0_th4_bt8_dt0.1_s990006,,,source_identifier:PfQMC-main_20260821
18,guard_off_theta_convergence,10,2.0,4,8,0.1,1,0,0,0,990007,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_018_L10_V2.0_th4_bt8_dt0.1_s990007,,,source_identifier:PfQMC-main_20260821
19,guard_off_theta_convergence,10,2.0,4,8,0.1,1,0,0,0,990008,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_019_L10_V2.0_th4_bt8_dt0.1_s990008,,,source_identifier:PfQMC-main_20260821
20,guard_off_theta_convergence,10,2.0,4,8,0.1,1,0,0,0,990009,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_020_L10_V2.0_th4_bt8_dt0.1_s990009,,,source_identifier:PfQMC-main_20260821
21,guard_off_theta_convergence,10,2.0,4,8,0.1,1,0,0,0,990010,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_021_L10_V2.0_th4_bt8_dt0.1_s990010,,,source_identifier:PfQMC-main_20260821
22,guard_off_theta_convergence,10,2.0,4,8,0.1,1,0,0,0,990011,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_022_L10_V2.0_th4_bt8_dt0.1_s990011,,,source_identifier:PfQMC-main_20260821
23,guard_off_theta_convergence,10,2.0,4,8,0.1,1,0,0,0,990012,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_023_L10_V2.0_th4_bt8_dt0.1_s990012,,,source_identifier:PfQMC-main_20260821
24,guard_off_theta_convergence,10,2.0,6,8,0.1,1,0,0,0,990001,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_024_L10_V2.0_th6_bt8_dt0.1_s990001,,,source_identifier:PfQMC-main_20260821
25,guard_off_theta_convergence,10,2.0,6,8,0.1,1,0,0,0,990002,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_025_L10_V2.0_th6_bt8_dt0.1_s990002,,,source_identifier:PfQMC-main_20260821
26,guard_off_theta_convergence,10,2.0,6,8,0.1,1,0,0,0,990003,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_026_L10_V2.0_th6_bt8_dt0.1_s990003,,,source_identifier:PfQMC-main_20260821
27,guard_off_theta_convergence,10,2.0,6,8,0.1,1,0,0,0,990004,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_027_L10_V2.0_th6_bt8_dt0.1_s990004,,,source_identifier:PfQMC-main_20260821
28,guard_off_theta_convergence,10,2.0,6,8,0.1,1,0,0,0,990005,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_028_L10_V2.0_th6_bt8_dt0.1_s990005,,,source_identifier:PfQMC-main_20260821
29,guard_off_theta_convergence,10,2.0,6,8,0.1,1,0,0,0,990006,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_029_L10_V2.0_th6_bt8_dt0.1_s990006,,,source_identifier:PfQMC-main_20260821
30,guard_off_theta_convergence,10,2.0,6,8,0.1,1,0,0,0,990007,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_030_L10_V2.0_th6_bt8_dt0.1_s990007,,,source_identifier:PfQMC-main_20260821
31,guard_off_theta_convergence,10,2.0,6,8,0.1,1,0,0,0,990008,500,5000,1,false,,false,false,0,10,20,results/projector_theta_convergence/raw/task_031_L10_V2.0_th6_bt8_dt0.1_s990008,,,source_identifier:PfQMC-main_20260821
