task_id,campaign,L,V,theta,beta_trial,dt,delta,mu,boundary,hs_scheme,seed,burn,measurements,threads,adaptive_guard,guard_threshold,multiprecision_fallback,full_rebuild_diagnostic,diagnostic_stride,stabilization_interval,sign_recompute_stride,output_dir,source_result_path,source_task_id,code_version
0,guard_on_theta_completion,18,4.0,10,8,0.1,1,0,0,0,980011,500,5000,1,true,0.1,false,false,0,10,20,results/supp_guard_on_completion/raw/task_000_L18_V4.0_th10_bt8_dt0.1_s980011,,,source_identifier:PfQMC-main_20260821
1,guard_on_theta_completion,18,4.0,10,8,0.1,1,0,0,0,980012,500,5000,1,true,0.1,false,false,0,10,20,results/supp_guard_on_completion/raw/task_001_L18_V4.0_th10_bt8_dt0.1_s980012,,,source_identifier:PfQMC-main_20260821
2,guard_on_theta_completion,18,4.0,10,8,0.1,1,0,0,0,980013,500,5000,1,true,0.1,false,false,0,10,20,results/supp_guard_on_completion/raw/task_002_L18_V4.0_th10_bt8_dt0.1_s980013,,,source_identifier:PfQMC-main_20260821
3,guard_on_theta_completion,18,4.0,10,8,0.1,1,0,0,0,980014,500,5000,1,true,0.1,false,false,0,10,20,results/supp_guard_on_completion/raw/task_003_L18_V4.0_th10_bt8_dt0.1_s980014,,,source_identifier:PfQMC-main_20260821
4,guard_on_theta_completion,18,4.0,12,8,0.1,1,0,0,0,980025,500,5000,1,true,0.1,false,false,0,10,20,results/supp_guard_on_completion/raw/task_004_L18_V4.0_th12_bt8_dt0.1_s980025,,,source_identifier:PfQMC-main_20260821
5,guard_on_theta_completion,18,4.0,12,8,0.1,1,0,0,0,980026,500,5000,1,true,0.1,false,false,0,10,20,results/supp_guard_on_completion/raw/task_005_L18_V4.0_th12_bt8_dt0.1_s980026,,,source_identifier:PfQMC-main_20260821
6,guard_on_theta_completion,18,4.0,12,8,0.1,1,0,0,0,980027,500,5000,1,true,0.1,false,false,0,10,20,results/supp_guard_on_completion/raw/task_006_L18_V4.0_th12_bt8_dt0.1_s980027,,,source_identifier:PfQMC-main_20260821
7,guard_on_theta_completion,18,4.0,12,8,0.1,1,0,0,0,980028,500,5000,1,true,0.1,false,false,0,10,20,results/supp_guard_on_completion/raw/task_007_L18_V4.0_th12_bt8_dt0.1_s980028,,,source_identifier:PfQMC-main_20260821
8,guard_on_interaction_completion,18,3.8,8,8,0.1,1,0,0,0,980047,500,5000,1,true,0.1,false,false,0,10,20,results/supp_guard_on_completion/raw/task_008_L18_V3.8_th8_bt8_dt0.1_s980047,,,source_identifier:PfQMC-main_20260821
9,guard_on_interaction_completion,18,4.2,8,8,0.1,1,0,0,0,980048,500,5000,1,true,0.1,false,false,0,10,20,results/supp_guard_on_completion/raw/task_009_L18_V4.2_th8_bt8_dt0.1_s980048,,,source_identifier:PfQMC-main_20260821
10,guard_on_interaction_completion,18,4.2,8,8,0.1,1,0,0,0,980049,500,5000,1,true,0.1,false,false,0,10,20,results/supp_guard_on_completion/raw/task_010_L18_V4.2_th8_bt8_dt0.1_s980049,,,source_identifier:PfQMC-main_20260821
11,guard_on_interaction_completion,18,4.2,8,8,0.1,1,0,0,0,980050,500,5000,1,true,0.1,false,false,0,10,20,results/supp_guard_on_completion/raw/task_011_L18_V4.2_th8_bt8_dt0.1_s980050,,,source_identifier:PfQMC-main_20260821
12,guard_on_interaction_completion,18,4.4,8,8,0.1,1,0,0,0,980051,500,5000,1,true,0.1,false,false,0,10,20,results/supp_guard_on_completion/raw/task_012_L18_V4.4_th8_bt8_dt0.1_s980051,,,source_identifier:PfQMC-main_20260821
13,guard_on_interaction_completion,18,4.4,8,8,0.1,1,0,0,0,980052,500,5000,1,true,0.1,false,false,0,10,20,results/supp_guard_on_completion/raw/task_013_L18_V4.4_th8_bt8_dt0.1_s980052,,,source_identifier:PfQMC-main_20260821
14,guard_on_interaction_completion,18,4.4,8,8,0.1,1,0,0,0,980053,500,5000,1,true,0.1,false,false,0,10,20,results/supp_guard_on_completion/raw/task_014_L18_V4.4_th8_bt8_dt0.1_s980053,,,source_identifier:PfQMC-main_20260821
15,guard_on_interaction_completion,18,4.6,8,8,0.1,1,0,0,0,980054,500,5000,1,true,0.1,false,false,0,10,20,results/supp_guard_on_completion/raw/task_015_L18_V4.6_th8_bt8_dt0.1_s980054,,,source_identifier:PfQMC-main_20260821
16,guard_on_interaction_completion,18,4.6,8,8,0.1,1,0,0,0,980055,500,5000,1,true,0.1,false,false,0,10,20,results/supp_guard_on_completion/raw/task_016_L18_V4.6_th8_bt8_dt0.1_s980055,,,source_identifier:PfQMC-main_20260821
17,guard_on_interaction_completion,18,4.6,8,8,0.1,1,0,0,0,980056,500,5000,1,true,0.1,false,false,0,10,20,results/supp_guard_on_completion/raw/task_017_L18_V4.6_th8_bt8_dt0.1_s980056,,,source_identifier:PfQMC-main_20260821
18,guard_on_interaction_completion,18,4.6,8,8,0.1,1,0,0,0,980057,500,5000,1,true,0.1,false,false,0,10,20,results/supp_guard_on_completion/raw/task_018_L18_V4.6_th8_bt8_dt0.1_s980057,,,source_identifier:PfQMC-main_20260821
