task_id,seed,L,V,theta,beta_trial,dt,mean_sign_raw,mean_sign_result,mean_sign_err,sign_snr,sign_denominator_sum,sign_denominator_mean,sign_S_pi_numerator_sum,sign_S_pi_numerator_mean,sign_S_pi_dq_numerator_sum,sign_S_pi_dq_numerator_mean,S_pi_ratio_of_sums_raw,S_pi_result,S_pi_dq_ratio_of_sums_raw,S_pi_dq_result,R_cdw_result,max_sign_imag,sign_corrections,guard_rebuild_count,pre_decision_rebuild_count,post_accept_rebuild_count,guard_trigger_fraction,min_update_denominator,flags,block_ratio_ranges
0,980011,18,4,10,8,0.1,-0.0048,-0.0048,0.013735122670411134,0.34946903025048276,-24.0,-0.0048,34.986384386969725,0.006997276877393945,-9.954599396859715,-0.001990919879371943,-1.4577660161237385,-1.457766016123739,0.41477497486915477,0.4147749748691536,1.2845278119269494,9.497295478877535e-06,1,462936,444038,18898,0.022426161616161615,2.723245479119285e-07,SIGN_UNRESOLVED|PHYSICAL_BOUND_FAIL|SIGN_IMAG_WARN|SIGN_CORRECTION_WARN,"10:n377,Spi[-4.67,2.76],Sdq[-1.68,3.06]; 25:n200,Spi[-9.23,4.76],Sdq[-2.41,6.06]; 50:n90,Spi[-2.23,1.32],Sdq[-0.609,1.6]; 100:n44,Spi[-0.877,1.39],Sdq[-1.03,0.668]; 250:n18,Spi[-6.41,0.859],Sdq[-0.962,2.26]; 500:n10,Spi[-2.92,1.1],Sdq[-0.359,1.48]"
1,980012,18,4,10,8,0.1,0.0168,0.0168,0.013254669913272225,1.2674778104566564,84.0,0.0168,0.020340158562019286,4.068031712403857e-06,6.177248154473117,0.0012354496308946232,0.00024214474478594387,0.00024214474478602272,0.07353866850563234,0.07353866850563236,-302.6971484581119,2.6725244883503076e-06,0,464778,445886,18892,0.02251949494949495,4.7509928058353523e-07,SIGN_UNRESOLVED|SIGN_IMAG_WARN,"10:n380,Spi[-2.24,1.8],Sdq[-0.976,0.563]; 25:n200,Spi[-2.52,4.11],Sdq[-2.05,0.933]; 50:n88,Spi[-0.761,1.12],Sdq[-0.334,0.471]; 100:n45,Spi[-4.22,1.25],Sdq[-0.416,1.6]; 250:n18,Spi[-3.43,0.702],Sdq[-0.259,1.65]; 500:n9,Spi[-1.26,0.767],Sdq[-0.348,0.47]"
2,980013,18,4,10,8,0.1,-0.0108,-0.0108,0.01408832010254552,0.7665924625071958,-54.0,-0.0108,22.070515794287996,0.004414103158857599,-5.3702098881534175,-0.0010740419776306834,-0.4087132554497777,-0.4087132554497771,0.09944833126210033,0.09944833126210026,1.2433205430361203,4.70420645738003e-05,0,462198,442900,19298,0.022368686868686868,5.1068331563572836e-08,SIGN_UNRESOLVED|PHYSICAL_BOUND_FAIL|SIGN_IMAG_WARN,"10:n380,Spi[-4.66,1.86],Sdq[-0.78,0.618]; 25:n200,Spi[-2.05,1.88],Sdq[-0.62,0.747]; 50:n89,Spi[-1.45,0.603],Sdq[-0.151,0.507]; 100:n47,Spi[-0.688,1.43],Sdq[-0.735,0.681]; 250:n19,Spi[-0.659,0.537],Sdq[-0.171,0.345]; 500:n10,Spi[-2.74,0.183],Sdq[-0.262,1.13]"
3,980014,18,4,10,8,0.1,0.0028,0.0028,0.017547859651785198,0.15956361947054593,14.0,0.0028,-0.6969621358239758,-0.00013939242716479516,4.955427951245907,0.0009910855902491814,-0.04978300970171256,-0.04978300970171142,0.35395913937470763,0.3539591393747066,8.11003897706366,4.3765925936748145e-06,0,465569,446861,18708,0.022568737373737373,5.974900563199669e-08,SIGN_UNRESOLVED|PHYSICAL_BOUND_FAIL|SIGN_IMAG_WARN,"10:n368,Spi[-0.795,2.81],Sdq[-1.23,0.485]; 25:n200,Spi[-1.26,2.88],Sdq[-1.6,0.675]; 50:n91,Spi[-0.825,1.75],Sdq[-0.727,0.756]; 100:n45,Spi[-0.481,0.91],Sdq[-0.248,0.764]; 250:n18,Spi[-0.792,1.26],Sdq[-0.601,0.16]; 500:n10,Spi[-0.161,0.634],Sdq[-0.0845,0.245]"
4,980025,18,4,12,8,0.1,-0.0012,-0.0012,0.009383587172180647,0.12788286376851898,-6.0,-0.0012,18.773941438058998,0.0037547882876117996,-12.387341429494317,-0.002477468285898863,-3.1289902396764995,-3.1289902396764973,2.0645569049157193,2.064556904915719,1.6598157062737182,4.7651968356784985e-05,0,561459,538523,22936,0.022665109427609426,5.681138248725426e-08,SIGN_UNRESOLVED|PHYSICAL_BOUND_FAIL|SIGN_IMAG_WARN,"10:n391,Spi[-1.61,1.38],Sdq[-1.07,1.22]; 25:n200,Spi[-6.53,2.09],Sdq[-1.09,1.26]; 50:n89,Spi[-2.88,1.52],Sdq[-0.847,1.29]; 100:n42,Spi[-4.01,1.23],Sdq[-0.599,0.637]; 250:n19,Spi[-3.28,1.46],Sdq[-0.559,1.18]; 500:n10,Spi[-1.14,4.74],Sdq[-1.69,0.515]"
5,980026,18,4,12,8,0.1,-0.0028,-0.0028,0.013774423285281502,0.20327529813839154,-14.0,-0.0028,-3.294876075322318,-0.0006589752150644636,-4.875527427181094,-0.0009751054854362188,0.2353482910944513,0.2353482910944513,0.34825195908436385,0.3482519590843622,-0.47973013725686986,0.0015177133833521644,0,563535,540323,23212,0.022740867003367003,1.607895686595029e-07,SIGN_UNRESOLVED|PHYSICAL_BOUND_FAIL|SIGN_IMAG_WARN,"10:n377,Spi[-1.31,1.74],Sdq[-0.466,0.762]; 25:n200,Spi[-2.24,5.48],Sdq[-1.4,1.1]; 50:n91,Spi[-7.71,1.86],Sdq[-0.394,1.95]; 100:n46,Spi[-1.59,2.11],Sdq[-0.395,0.446]; 250:n20,Spi[-0.608,4.46],Sdq[-1.13,0.716]; 500:n9,Spi[-2.48,0.234],Sdq[-0.152,1.08]"
6,980027,18,4,12,8,0.1,-0.0092,-0.0092,0.012370082755116113,0.7437298668187966,-46.0,-0.0092,32.78471742734015,0.0065569434854680295,-4.440650257426589,-0.0008881300514853178,-0.712711248420438,-0.7127112484204371,0.09653587516144758,0.09653587516144775,1.1354487885176467,1.939442583486616e-05,0,560160,537230,22930,0.022610690235690237,1.3712960411638164e-07,SIGN_UNRESOLVED|PHYSICAL_BOUND_FAIL|SIGN_IMAG_WARN,"10:n373,Spi[-13.6,3.85],Sdq[-2.69,7.95]; 25:n200,Spi[-10.5,27.4],Sdq[-15.8,5.76]; 50:n86,Spi[-7.95,13.9],Sdq[-7.82,0.783]; 100:n46,Spi[-2.27,2.59],Sdq[-1.59,0.939]; 250:n20,Spi[-2.95,6.49],Sdq[-4.01,2.96]; 500:n9,Spi[-2.29,12.2],Sdq[-7.85,0.725]"
7,980028,18,4,12,8,0.1,0.006,0.006,0.01498011403691378,0.40053099630716343,30.0,0.006,-9.763513558990287,-0.0019527027117980573,1.73112406164581,0.00034622481232916196,-0.32545045196634287,-0.3254504519663418,0.05770413538819366,0.05770413538819392,1.1773054393980737,2.958012631053349e-05,0,560310,537308,23002,0.022613973063973065,6.357171034033211e-08,SIGN_UNRESOLVED|PHYSICAL_BOUND_FAIL|SIGN_IMAG_WARN,"10:n374,Spi[-1.74,1.97],Sdq[-1.19,0.348]; 25:n200,Spi[-6.72,3.93],Sdq[-1.96,0.918]; 50:n88,Spi[-2.07,0.56],Sdq[-0.483,1.2]; 100:n43,Spi[-0.476,2.2],Sdq[-1.34,0.392]; 250:n19,Spi[-0.551,1.86],Sdq[-1.17,0.843]; 500:n9,Spi[-0.916,0.857],Sdq[-0.326,0.333]"
8,980047,18,3.8,8,8,0.1,0.0272,0.0272,0.014416569926927384,1.8867178627001713,136.0,0.0272,15.750470113589886,0.0031500940227179772,5.742708721979064,0.0011485417443958127,0.11581228024698445,0.11581228024698427,0.04222579942631664,0.042225799426316726,0.6353944561296532,4.591219264078124e-06,0,304975,292285,12690,0.01845233585858586,3.887296660121109e-07,SIGN_UNRESOLVED|SIGN_IMAG_WARN,"10:n384,Spi[-2.52,2.54],Sdq[-0.56,1.38]; 25:n200,Spi[-5.05,1.86],Sdq[-1.27,0.788]; 50:n91,Spi[-1.27,1.39],Sdq[-1.02,0.375]; 100:n47,Spi[-1.2,0.458],Sdq[-0.232,0.305]; 250:n19,Spi[-0.222,0.869],Sdq[-0.0717,0.293]; 500:n10,Spi[-0.266,0.259],Sdq[-0.0626,0.289]"
9,980048,18,4.2,8,8,0.1,0.0032,0.0032,0.014442507624013324,0.22156817107573562,16.0,0.0032,-2.2472230585279678,-0.00044944461170559353,0.9036966449226997,0.00018073932898453996,-0.14045144115799799,-0.14045144115799785,0.056481040307668734,0.05648104030766903,1.4021392720643706,1.394201650068244e-05,0,438379,420686,17693,0.026558459595959597,3.1762574348448425e-07,SIGN_UNRESOLVED|PHYSICAL_BOUND_FAIL|SIGN_IMAG_WARN,"10:n390,Spi[-4.79,2.01],Sdq[-1.38,3.91]; 25:n200,Spi[-9.55,2.3],Sdq[-0.988,7.79]; 50:n89,Spi[-1.86,0.874],Sdq[-0.433,1.33]; 100:n47,Spi[-1.18,0.744],Sdq[-0.525,0.988]; 250:n19,Spi[-1.11,1.05],Sdq[-0.487,0.631]; 500:n10,Spi[-0.686,2.08],Sdq[-1.09,0.277]"
10,980049,18,4.2,8,8,0.1,0.0204,0.0204,0.012615445837710633,1.6170653231310657,102.0,0.0204,15.434756180367252,0.0030869512360734504,0.5770553808167114,0.00011541107616334227,0.15132113902320835,0.1513211390232082,0.005657405694281484,0.005657405694281324,0.962613249339779,6.50769681732341e-06,0,438008,420577,17431,0.026551578282828284,5.23725972811917e-07,SIGN_UNRESOLVED|SIGN_IMAG_WARN,"10:n357,Spi[-3.68,1.56],Sdq[-0.704,0.416]; 25:n200,Spi[-2.08,2.52],Sdq[-0.507,1.07]; 50:n83,Spi[-2.11,1.18],Sdq[-0.699,0.598]; 100:n46,Spi[-2.21,3.3],Sdq[-0.393,0.806]; 250:n20,Spi[-1.47,3.28],Sdq[-0.513,1.29]; 500:n9,Spi[-0.204,0.611],Sdq[-0.138,0.114]"
11,980050,18,4.2,8,8,0.1,0.0192,0.0192,0.01493995368354541,1.2851445464082345,96.0,0.0192,34.80694693292121,0.006961389386584241,-8.071624825664557,-0.0016143249651329114,0.3625723638845959,0.362572363884595,-0.08407942526733914,-0.08407942526733943,1.2318969498020027,3.0591513223024887e-06,0,436943,419669,17274,0.02649425505050505,5.4510861380310636e-08,SIGN_UNRESOLVED|PHYSICAL_BOUND_FAIL|SIGN_IMAG_WARN,"10:n379,Spi[-7.63,2.89],Sdq[-1.01,4.28]; 25:n200,Spi[-14.4,5.23],Sdq[-1.92,9.05]; 50:n91,Spi[-1.44,1.96],Sdq[-0.545,0.971]; 100:n45,Spi[-2.05,1.37],Sdq[-0.767,0.857]; 250:n19,Spi[-0.508,0.805],Sdq[-0.379,0.153]; 500:n10,Spi[-0.419,3.01],Sdq[-1.72,0.148]"
12,980051,18,4.4,8,8,0.1,0.0384,0.0384,0.013114555995052535,2.9280442292126696,192.0,0.0384,6.5191201024693415,0.0013038240204938682,14.880801591188602,0.0029761603182377203,0.03395375053369449,0.033953750533694364,0.0775041749541073,0.07750417495410748,-1.2826395828406465,8.943920863902524e-06,0,509458,489619,19839,0.030910290404040405,1.258325268427285e-07,SIGN_UNRESOLVED|SIGN_IMAG_WARN,"10:n393,Spi[-4.52,2.04],Sdq[-1.23,1.66]; 25:n200,Spi[-4.21,9.47],Sdq[-5.05,3.59]; 50:n88,Spi[-1.12,2.25],Sdq[-0.909,0.654]; 100:n45,Spi[-2.8,2.44],Sdq[-0.864,0.869]; 250:n20,Spi[-2.45,4.96],Sdq[-2.25,1.82]; 500:n10,Spi[-6.63,0.589],Sdq[-0.112,2.15]"
13,980052,18,4.4,8,8,0.1,0.0212,0.0212,0.013552548798929611,1.5642813993537799,106.0,0.0212,49.69215657413249,0.009938431314826498,-18.427403995400294,-0.0036854807990800587,0.46879392994464614,0.4687939299446443,-0.1738434339188707,-0.1738434339188713,1.370831239089207,0.00014656530835126716,0,508857,488832,20025,0.03086060606060606,1.343270734644098e-07,SIGN_UNRESOLVED|PHYSICAL_BOUND_FAIL|SIGN_IMAG_WARN,"10:n373,Spi[-1.65,1.52],Sdq[-0.994,0.679]; 25:n200,Spi[-4.3,6.89],Sdq[-3.87,1.51]; 50:n88,Spi[-1.24,1.93],Sdq[-1.58,0.64]; 100:n46,Spi[-9.93,1.88],Sdq[-0.815,5.82]; 250:n20,Spi[-0.128,4.92],Sdq[-4.95,0.467]; 500:n9,Spi[-4.66,0.964],Sdq[-0.66,4.29]"
14,980053,18,4.4,8,8,0.1,0.0208,0.0208,0.013284441951643812,1.5657413443269415,104.0,0.0208,11.494239195230557,0.0022988478390461114,7.626769033764147,0.0015253538067528294,0.11052153072337075,0.1105215307233712,0.07333431763234757,0.07333431763234777,0.33647030445226833,9.0840751585841e-06,0,508226,488390,19836,0.03083270202020202,7.559931103351407e-08,SIGN_UNRESOLVED|SIGN_IMAG_WARN,"10:n379,Spi[-2,1.63],Sdq[-0.65,1.86]; 25:n200,Spi[-2.43,2.68],Sdq[-1.8,1.27]; 50:n83,Spi[-1.35,0.926],Sdq[-0.469,0.946]; 100:n47,Spi[-1.38,2.31],Sdq[-0.38,0.902]; 250:n18,Spi[-2.07,0.962],Sdq[-0.187,0.167]; 500:n10,Spi[-0.335,4.08],Sdq[-0.283,0.14]"
15,980054,18,4.6,8,8,0.1,-0.0004,-0.0004,0.015385554816595533,0.02599841245689382,-2.0,-0.0004,-36.13688407141603,-0.007227376814283206,-11.696310328117086,-0.0023392620656234172,18.068442035708014,18.06844203570805,5.848155164058543,5.848155164058543,0.6763331806637765,5.556538844741236e-06,0,583403,560990,22413,0.03541603535353535,6.148096698410658e-09,SIGN_UNRESOLVED|PHYSICAL_BOUND_FAIL|SIGN_IMAG_WARN,"10:n374,Spi[-2.39,12.2],Sdq[-0.387,5.73]; 25:n200,Spi[-9.86,25.4],Sdq[-1.92,11.2]; 50:n86,Spi[-3.65,5.13],Sdq[-0.696,1.37]; 100:n42,Spi[-3.77,7.59],Sdq[-0.658,1.75]; 250:n19,Spi[-1.73,2.38],Sdq[-0.791,0.718]; 500:n9,Spi[-0.375,2.89],Sdq[-0.0231,0.79]"
16,980055,18,4.6,8,8,0.1,0.0152,0.0152,0.012069005744218505,1.2594243736507753,76.0,0.0152,3.2431747794181796,0.000648634955883636,19.80393912716686,0.003960787825433372,0.04267335236076552,0.04267335236076608,0.26057814641009025,0.2605781464100922,-5.1063434671626124,2.1138375360230213e-06,0,582408,560106,22302,0.03536022727272727,1.2562150231154711e-07,SIGN_UNRESOLVED|PHYSICAL_BOUND_FAIL|SIGN_IMAG_WARN,"10:n387,Spi[-3.59,2.01],Sdq[-1.13,1.06]; 25:n200,Spi[-12.1,3.26],Sdq[-1.21,10.9]; 50:n84,Spi[-1.22,7.66],Sdq[-2.15,0.535]; 100:n44,Spi[-6.28,0.896],Sdq[-0.285,1.41]; 250:n17,Spi[-3.83,2.26],Sdq[-1.25,2.66]; 500:n10,Spi[-0.627,1.66],Sdq[-0.905,0.294]"
17,980056,18,4.6,8,8,0.1,0.01,0.01,0.0114744567581536,0.8715009530097475,50.0,0.01,18.102222948594857,0.0036204445897189716,17.47508101667872,0.0034950162033357437,0.36204445897189713,0.362044458971895,0.34950162033357435,0.34950162033357496,0.03464447066511722,4.428357632380743e-06,0,584736,562312,22424,0.03549949494949495,8.923580940845268e-08,SIGN_UNRESOLVED|PHYSICAL_BOUND_FAIL|SIGN_IMAG_WARN,"10:n386,Spi[-5.32,2.15],Sdq[-1.28,3.25]; 25:n200,Spi[-47.8,4.3],Sdq[-2.75,6.08]; 50:n86,Spi[-5.79,24],Sdq[-2.91,3.1]; 100:n48,Spi[-2.64,8.19],Sdq[-1.01,1.59]; 250:n20,Spi[-1.81,2.61],Sdq[-0.21,1.6]; 500:n9,Spi[-0.592,1.79],Sdq[-1.05,0.637]"
18,980057,18,4.6,8,8,0.1,0.0232,0.0232,0.013184767879337499,1.7596062526332272,116.0,0.0232,12.005472243708969,0.0024010944487417936,-21.01281190052488,-0.004202562380104976,0.10349545037680145,0.1034954503768018,-0.1811449301769386,-0.18114493017693867,2.7502694999387316,3.009509681466329e-06,0,582000,559424,22576,0.03531717171717172,5.598506680470907e-08,SIGN_UNRESOLVED|PHYSICAL_BOUND_FAIL|SIGN_IMAG_WARN,"10:n380,Spi[-4.99,7.55],Sdq[-7.19,2.69]; 25:n200,Spi[-4.8,9.87],Sdq[-3.71,4.9]; 50:n89,Spi[-4.24,1.78],Sdq[-1.14,2.47]; 100:n45,Spi[-2.72,2.27],Sdq[-1.4,2.53]; 250:n19,Spi[-0.568,1.59],Sdq[-1.45,0.534]; 500:n10,Spi[-4.27,0.615],Sdq[-0.377,8.79]"
