from_beta_trial,to_beta_trial,observable,sigma_difference
2,4,S_pi,1.016082343497396
2,4,S_pi_dq,-0.3020588834509194
2,4,R_cdw,0.977461312360252
4,6,S_pi,-5.348956078292734e-12
4,6,S_pi_dq,-3.26123998804895e-11
4,6,R_cdw,7.615488000866307e-12
6,8,S_pi,-7.752110258397546e-14
6,8,S_pi_dq,-5.703281378139001e-13
6,8,R_cdw,1.4696555791142716e-13
8,10,S_pi,-5.814082693798194e-14
8,10,S_pi_dq,1.0369602505706787e-13
8,10,R_cdw,-8.01630315880492e-14
10,12,S_pi,3.8760551291987826e-14
10,12,S_pi_dq,1.5554403758559325e-13
10,12,R_cdw,-2.6721010529349153e-14
