beta_trial,seed,S_pi,S_pi_err,S_pi_dq,S_pi_dq_err,R_cdw,R_cdw_err,average_sign,acceptance,runtime_seconds,max_sign_imag,max_observable_imag,sign_corrections,raw_path,trial_slices,min_update_denominator,guard_trigger_fraction
2,990201,0.044453702131614724,0.0004942355226769419,0.03493307351621339,0.0001624226057488175,0.2141695327694748,0.008756197994433975,0.8784,0.74597665,195.803938867,6.825554112122616e-10,3.9376393122028115e-14,0,task_000_L10_V2_th10_bt2_dt0.1_s990201,20,inf,0
2,990202,0.04554779982081007,0.00025274231059464356,0.035205254752426134,0.0001695874410570678,0.22707013530999565,0.00618138005201896,0.8724,0.74584105,207.130602084,8.461226831888477e-10,7.550265190952825e-15,0,task_001_L10_V2_th10_bt2_dt0.1_s990202,20,inf,0
2,990203,0.04501104590857868,0.0003655731023916372,0.03529599321210231,0.00017432963611360483,0.2158370795517277,0.0059755679186661095,0.8732,0.74565325,197.540359531,2.475814324235892e-10,4.111105684841271e-15,0,task_002_L10_V2_th10_bt2_dt0.1_s990203,20,inf,0
2,990204,0.04615158540820034,0.0006664502432633584,0.035480566828831855,0.0001724055917772958,0.2312167282009,0.010863221848258352,0.88,0.74575435,197.321026959,6.497985660647845e-10,5.217231365840437e-14,0,task_003_L10_V2_th10_bt2_dt0.1_s990204,20,inf,0
2,990205,0.0459448690344529,0.0005069711358688492,0.035396423938034834,0.00020334381534979062,0.22958918630300262,0.007168085646264503,0.8704,0.74557125,200.514626952,4.925932784081276e-10,7.782291526917977e-15,0,task_004_L10_V2_th10_bt2_dt0.1_s990205,20,inf,0
2,990206,0.04546686782821025,0.000267079099309962,0.03558622943469847,0.00013310508662002396,0.21731513221549137,0.004267332998184663,0.8796,0.74572765,205.489008607,2.498007786581676e-09,2.41980425344648e-15,0,task_005_L10_V2_th10_bt2_dt0.1_s990206,20,inf,0
2,990207,0.04663853268895417,0.0007957195738018844,0.03580203301177302,0.0002921492427228835,0.2323507849068257,0.007660329731270873,0.8836,0.74587305,196.25920514,1.0516400739956836e-10,2.0900295586848002e-14,0,task_006_L10_V2_th10_bt2_dt0.1_s990207,20,inf,0
2,990208,0.045332593812753445,0.00025048510485712195,0.03537197805078296,0.00018779050341054122,0.21972304966957923,0.006442903400261062,0.886,0.7455965,196.528149697,3.222335228051074e-09,1.552028017351941e-14,0,task_007_L10_V2_th10_bt2_dt0.1_s990208,20,inf,0
2,990209,0.04424495915386656,0.0005469720046582207,0.03535087336807076,0.000160228406044367,0.20101918853322176,0.010436542905037306,0.8844,0.7457185,321.89700501,1.2465145657924393e-09,2.1666067809532598e-13,0,task_008_L10_V2_th10_bt2_dt0.1_s990209,20,inf,0
2,990210,0.044131405778299576,0.0004891139055260271,0.03524670345473261,0.0001620888141894637,0.201323800293164,0.00838819332932812,0.8772,0.74592285,301.219068004,3.861743517798537e-06,2.3057120866348512e-14,0,task_009_L10_V2_th10_bt2_dt0.1_s990210,20,inf,0
