task_id,campaign,L,V,theta,beta_trial,dt,delta,mu,boundary,hs_scheme,seed,burn,measurements,threads,adaptive_guard,guard_threshold,multiprecision_fallback,full_rebuild_diagnostic,diagnostic_stride,stabilization_interval,sign_recompute_stride,S_pi,S_pi_err,S_pi_dq,S_pi_dq_err,R_cdw,R_cdw_err,average_sign,acceptance,runtime_seconds,sign_corrections,max_sign_imag,max_observable_imag,result_path,R_cdw_mean,S_pi_dq_mean,S_pi_dq_offsite,S_pi_dq_offsite_err,S_pi_dq_offsite_mean,S_pi_mean,S_pi_offsite,S_pi_offsite_err,S_pi_offsite_mean,average_sign_err,average_sign_mean,center_operator_boundary,code_version,error_method,mode,n_bins,negative_signs,observable_convention,onsite_contact,onsite_contact_is_diagnostic_only,output_dir,physical_slices,sign_recomputes,source_result_path,source_task_id,trial_slices
0,guard_off_trotter_convergence,10,2,8,8,0.2,1,0,0,0,990101,500,5000,1,false,,false,false,0,10,20,0.0449346948948166,0.0004215365690921097,0.03497797869042776,0.00017537799504230593,0.2215819252293929,0.007335292987503122,0.9604,0.6556215,126.085976969,0,1.2593294568579525e-09,7.870129085292993e-15,/home/sunxr/PfQMC-main/reproduction/projector_kitaev/results/trotter_convergence/raw/task_000_L10_V2.0_th8_bt8_dt0.2_s990101/result.json,0.2215819252293929,0.03497797869042776,0.009977978690427762,0.00017537799504230593,0.009977978690427762,0.0449346948948166,0.0199346948948166,0.00042153656909210967,0.0199346948948166,0.0033525071998735554,0.9604,200,source_identifier:PfQMC-main_20260821,contiguous_sign_reweighted_bins,projector,15,99,physical_density_SQ_equals_minus_legacy_contact_already_included,0.025,True,results/trotter_convergence/raw/task_000_L10_V2.0_th8_bt8_dt0.2_s990101,80,250,,,40
1,guard_off_trotter_convergence,10,2,8,8,0.2,1,0,0,0,990102,500,5000,1,false,,false,false,0,10,20,0.04488161882275959,0.00033324301651005596,0.03514269605871996,0.00015994183383992084,0.21699134343837423,0.0046333774138549826,0.9544,0.655837,120.063004967,0,1.199248970812113e-09,3.767081510143654e-15,/home/sunxr/PfQMC-main/reproduction/projector_kitaev/results/trotter_convergence/raw/task_001_L10_V2.0_th8_bt8_dt0.2_s990102/result.json,0.21699134343837423,0.03514269605871996,0.010142696058719959,0.00015994183383992084,0.010142696058719959,0.04488161882275959,0.019881618822759586,0.00033324301651005596,0.019881618822759586,0.004812877790600676,0.9544,200,source_identifier:PfQMC-main_20260821,contiguous_sign_reweighted_bins,projector,15,114,physical_density_SQ_equals_minus_legacy_contact_already_included,0.025,True,results/trotter_convergence/raw/task_001_L10_V2.0_th8_bt8_dt0.2_s990102,80,250,,,40
2,guard_off_trotter_convergence,10,2,8,8,0.2,1,0,0,0,990103,500,5000,1,false,,false,false,0,10,20,0.04583694354586198,0.0008860107463501621,0.03511955311125307,0.00015485903392956004,0.23381555587112102,0.011272455805345432,0.9636,0.655449375,114.785125547,0,5.687398284891069e-09,4.3207338365298746e-14,/home/sunxr/PfQMC-main/reproduction/projector_kitaev/results/trotter_convergence/raw/task_002_L10_V2.0_th8_bt8_dt0.2_s990103/result.json,0.23381555587112102,0.03511955311125307,0.010119553111253066,0.00015485903392956,0.010119553111253066,0.04583694354586198,0.020836943545861977,0.0008860107463501621,0.020836943545861977,0.0025774170932007564,0.9636,200,source_identifier:PfQMC-main_20260821,contiguous_sign_reweighted_bins,projector,15,91,physical_density_SQ_equals_minus_legacy_contact_already_included,0.025,True,results/trotter_convergence/raw/task_002_L10_V2.0_th8_bt8_dt0.2_s990103,80,250,,,40
3,guard_off_trotter_convergence,10,2,8,8,0.2,1,0,0,0,990104,500,5000,1,false,,false,false,0,10,20,0.04491980699283038,0.00033919567518034396,0.03504216309519207,0.00015204995636209853,0.21989506542659176,0.007673119587522649,0.9596,0.655560625,115.079620224,0,2.5124359701635355e-07,4.9935697085055405e-15,/home/sunxr/PfQMC-main/reproduction/projector_kitaev/results/trotter_convergence/raw/task_003_L10_V2.0_th8_bt8_dt0.2_s990104/result.json,0.21989506542659176,0.03504216309519207,0.01004216309519207,0.00015204995636209853,0.01004216309519207,0.04491980699283038,0.01991980699283038,0.00033919567518034396,0.01991980699283038,0.002773585315241295,0.9596,200,source_identifier:PfQMC-main_20260821,contiguous_sign_reweighted_bins,projector,15,101,physical_density_SQ_equals_minus_legacy_contact_already_included,0.025,True,results/trotter_convergence/raw/task_003_L10_V2.0_th8_bt8_dt0.2_s990104,80,250,,,40
4,guard_off_trotter_convergence,10,2,8,8,0.2,1,0,0,0,990105,500,5000,1,false,,false,false,0,10,20,0.04623256113637329,0.0008951697952952795,0.035330951423133555,0.0003719358804059573,0.23579938998151106,0.00719795223386044,0.9576,0.655566625,129.476537351,0,1.5651873684990147e-09,2.1978455560961484e-13,/home/sunxr/PfQMC-main/reproduction/projector_kitaev/results/trotter_convergence/raw/task_004_L10_V2.0_th8_bt8_dt0.2_s990105/result.json,0.23579938998151106,0.035330951423133555,0.010330951423133554,0.0003719358804059573,0.010330951423133554,0.04623256113637329,0.02123256113637329,0.0008951697952952794,0.02123256113637329,0.004198373518457245,0.9576,200,source_identifier:PfQMC-main_20260821,contiguous_sign_reweighted_bins,projector,15,106,physical_density_SQ_equals_minus_legacy_contact_already_included,0.025,True,results/trotter_convergence/raw/task_004_L10_V2.0_th8_bt8_dt0.2_s990105,80,250,,,40
5,guard_off_trotter_convergence,10,2,8,8,0.2,1,0,0,0,990106,500,5000,1,false,,false,false,0,10,20,0.04453667791221801,0.00025785095217816656,0.0350210149103144,0.00011160959120828222,0.21365902101317535,0.005364786403250018,0.9576,0.654957625,114.855293427,0,7.690098200021108e-10,9.22608325204466e-14,/home/sunxr/PfQMC-main/reproduction/projector_kitaev/results/trotter_convergence/raw/task_005_L10_V2.0_th8_bt8_dt0.2_s990106/result.json,0.21365902101317535,0.0350210149103144,0.010021014910314402,0.00011160959120828222,0.010021014910314402,0.04453667791221801,0.019536677912218012,0.00025785095217816656,0.019536677912218012,0.004119206899445471,0.9576,200,source_identifier:PfQMC-main_20260821,contiguous_sign_reweighted_bins,projector,15,106,physical_density_SQ_equals_minus_legacy_contact_already_included,0.025,True,results/trotter_convergence/raw/task_005_L10_V2.0_th8_bt8_dt0.2_s990106,80,250,,,40
6,guard_off_trotter_convergence,10,2,8,8,0.2,1,0,0,0,990107,500,5000,1,false,,false,false,0,10,20,0.045119569328626014,0.00039614117749198734,0.03514245006438585,0.00019866288684361244,0.2211262078228704,0.0056487204192304085,0.9604,0.655204375,80.925567574,0,3.5773349643998343e-09,2.337188411477003e-14,/home/sunxr/PfQMC-main/reproduction/projector_kitaev/results/trotter_convergence/raw/task_006_L10_V2.0_th8_bt8_dt0.2_s990107/result.json,0.2211262078228704,0.03514245006438585,0.010142450064385848,0.0001986628868436125,0.010142450064385848,0.045119569328626014,0.020119569328626012,0.00039614117749198734,0.020119569328626012,0.0037021752692049333,0.9604,200,source_identifier:PfQMC-main_20260821,contiguous_sign_reweighted_bins,projector,15,99,physical_density_SQ_equals_minus_legacy_contact_already_included,0.025,True,results/trotter_convergence/raw/task_006_L10_V2.0_th8_bt8_dt0.2_s990107,80,250,,,40
7,guard_off_trotter_convergence,10,2,8,8,0.2,1,0,0,0,990108,500,5000,1,false,,false,false,0,10,20,0.04414415149053935,0.00028590046369846034,0.034874822054468756,0.00011923063517003629,0.2099786522809739,0.005763642688686627,0.956,0.655356875,80.224148067,0,4.2874309302509395e-09,4.896552479892357e-14,/home/sunxr/PfQMC-main/reproduction/projector_kitaev/results/trotter_convergence/raw/task_007_L10_V2.0_th8_bt8_dt0.2_s990108/result.json,0.2099786522809739,0.034874822054468756,0.009874822054468754,0.00011923063517003627,0.009874822054468754,0.04414415149053935,0.01914415149053935,0.00028590046369846034,0.01914415149053935,0.003503261309850346,0.956,200,source_identifier:PfQMC-main_20260821,contiguous_sign_reweighted_bins,projector,15,110,physical_density_SQ_equals_minus_legacy_contact_already_included,0.025,True,results/trotter_convergence/raw/task_007_L10_V2.0_th8_bt8_dt0.2_s990108,80,250,,,40
8,guard_off_trotter_convergence,10,2,8,8,0.2,1,0,0,0,990109,500,5000,1,false,,false,false,0,10,20,0.0449820008069758,0.0006699627677143433,0.0352396026489224,0.00018944107341475647,0.21658436670835135,0.007648632063451709,0.9616,0.655649,80.476159964,0,1.5497844799678825e-09,8.087949289661199e-15,/home/sunxr/PfQMC-main/reproduction/projector_kitaev/results/trotter_convergence/raw/task_008_L10_V2.0_th8_bt8_dt0.2_s990109/result.json,0.21658436670835135,0.0352396026489224,0.010239602648922395,0.00018944107341475647,0.010239602648922395,0.0449820008069758,0.0199820008069758,0.0006699627677143436,0.0199820008069758,0.00475047114764116,0.9616,200,source_identifier:PfQMC-main_20260821,contiguous_sign_reweighted_bins,projector,15,96,physical_density_SQ_equals_minus_legacy_contact_already_included,0.025,True,results/trotter_convergence/raw/task_008_L10_V2.0_th8_bt8_dt0.2_s990109,80,250,,,40
9,guard_off_trotter_convergence,10,2,8,8,0.2,1,0,0,0,990110,500,5000,1,false,,false,false,0,10,20,0.04484620349751634,0.00038722363917325227,0.035133747490156124,0.00012025501246133233,0.2165725356862841,0.005779476542186642,0.9544,0.65524825,80.942608631,0,8.634335656712799e-10,8.594001282851677e-15,/home/sunxr/PfQMC-main/reproduction/projector_kitaev/results/trotter_convergence/raw/task_009_L10_V2.0_th8_bt8_dt0.2_s990110/result.json,0.2165725356862841,0.035133747490156124,0.010133747490156123,0.00012025501246133233,0.010133747490156123,0.04484620349751634,0.01984620349751634,0.00038722363917325227,0.01984620349751634,0.003697026181254858,0.9544,200,source_identifier:PfQMC-main_20260821,contiguous_sign_reweighted_bins,projector,15,114,physical_density_SQ_equals_minus_legacy_contact_already_included,0.025,True,results/trotter_convergence/raw/task_009_L10_V2.0_th8_bt8_dt0.2_s990110,80,250,,,40
10,guard_off_trotter_convergence,10,2,8,8,0.2,1,0,0,0,990111,500,5000,1,false,,false,false,0,10,20,0.044656806749539375,0.0003808614701760378,0.0351266723093853,0.00012501217947173687,0.21340832750546757,0.005486595031268207,0.962,0.655364,83.44011842,0,1.1272941336202949e-09,1.665315718167003e-14,/home/sunxr/PfQMC-main/reproduction/projector_kitaev/results/trotter_convergence/raw/task_010_L10_V2.0_th8_bt8_dt0.2_s990111/result.json,0.21340832750546757,0.0351266723093853,0.010126672309385298,0.00012501217947173687,0.010126672309385298,0.044656806749539375,0.019656806749539374,0.00038086147017603783,0.019656806749539374,0.003865586038732824,0.962,200,source_identifier:PfQMC-main_20260821,contiguous_sign_reweighted_bins,projector,15,95,physical_density_SQ_equals_minus_legacy_contact_already_included,0.025,True,results/trotter_convergence/raw/task_010_L10_V2.0_th8_bt8_dt0.2_s990111,80,250,,,40
11,guard_off_trotter_convergence,10,2,8,8,0.2,1,0,0,0,990112,500,5000,1,false,,false,false,0,10,20,0.04582796662291909,0.00041400090528224856,0.03518523984045798,0.00016395746390565714,0.2322321404750819,0.007018138833069448,0.96,0.655343125,81.533568262,0,4.583208220411341e-09,8.780485502007627e-15,/home/sunxr/PfQMC-main/reproduction/projector_kitaev/results/trotter_convergence/raw/task_011_L10_V2.0_th8_bt8_dt0.2_s990112/result.json,0.2322321404750819,0.03518523984045798,0.01018523984045798,0.00016395746390565714,0.01018523984045798,0.04582796662291909,0.020827966622919088,0.0004140009052822486,0.020827966622919088,0.004212952341136093,0.96,200,source_identifier:PfQMC-main_20260821,contiguous_sign_reweighted_bins,projector,15,100,physical_density_SQ_equals_minus_legacy_contact_already_included,0.025,True,results/trotter_convergence/raw/task_011_L10_V2.0_th8_bt8_dt0.2_s990112,80,250,,,40
