task_id,campaign,L,V,theta,beta_trial,dt,delta,mu,boundary,hs_scheme,seed,burn,measurements,threads,adaptive_guard,guard_threshold,multiprecision_fallback,full_rebuild_diagnostic,diagnostic_stride,stabilization_interval,sign_recompute_stride,output_dir,source_result_path,source_task_id,code_version
0,guard_off_trotter_convergence,10,2.0,8,8,0.2,1,0,0,0,990101,500,5000,1,false,,false,false,0,10,20,results/trotter_convergence/raw/task_000_L10_V2.0_th8_bt8_dt0.2_s990101,,,source_identifier:PfQMC-main_20260821
1,guard_off_trotter_convergence,10,2.0,8,8,0.2,1,0,0,0,990102,500,5000,1,false,,false,false,0,10,20,results/trotter_convergence/raw/task_001_L10_V2.0_th8_bt8_dt0.2_s990102,,,source_identifier:PfQMC-main_20260821
2,guard_off_trotter_convergence,10,2.0,8,8,0.2,1,0,0,0,990103,500,5000,1,false,,false,false,0,10,20,results/trotter_convergence/raw/task_002_L10_V2.0_th8_bt8_dt0.2_s990103,,,source_identifier:PfQMC-main_20260821
3,guard_off_trotter_convergence,10,2.0,8,8,0.2,1,0,0,0,990104,500,5000,1,false,,false,false,0,10,20,results/trotter_convergence/raw/task_003_L10_V2.0_th8_bt8_dt0.2_s990104,,,source_identifier:PfQMC-main_20260821
4,guard_off_trotter_convergence,10,2.0,8,8,0.2,1,0,0,0,990105,500,5000,1,false,,false,false,0,10,20,results/trotter_convergence/raw/task_004_L10_V2.0_th8_bt8_dt0.2_s990105,,,source_identifier:PfQMC-main_20260821
5,guard_off_trotter_convergence,10,2.0,8,8,0.2,1,0,0,0,990106,500,5000,1,false,,false,false,0,10,20,results/trotter_convergence/raw/task_005_L10_V2.0_th8_bt8_dt0.2_s990106,,,source_identifier:PfQMC-main_20260821
6,guard_off_trotter_convergence,10,2.0,8,8,0.2,1,0,0,0,990107,500,5000,1,false,,false,false,0,10,20,results/trotter_convergence/raw/task_006_L10_V2.0_th8_bt8_dt0.2_s990107,,,source_identifier:PfQMC-main_20260821
7,guard_off_trotter_convergence,10,2.0,8,8,0.2,1,0,0,0,990108,500,5000,1,false,,false,false,0,10,20,results/trotter_convergence/raw/task_007_L10_V2.0_th8_bt8_dt0.2_s990108,,,source_identifier:PfQMC-main_20260821
8,guard_off_trotter_convergence,10,2.0,8,8,0.2,1,0,0,0,990109,500,5000,1,false,,false,false,0,10,20,results/trotter_convergence/raw/task_008_L10_V2.0_th8_bt8_dt0.2_s990109,,,source_identifier:PfQMC-main_20260821
9,guard_off_trotter_convergence,10,2.0,8,8,0.2,1,0,0,0,990110,500,5000,1,false,,false,false,0,10,20,results/trotter_convergence/raw/task_009_L10_V2.0_th8_bt8_dt0.2_s990110,,,source_identifier:PfQMC-main_20260821
10,guard_off_trotter_convergence,10,2.0,8,8,0.2,1,0,0,0,990111,500,5000,1,false,,false,false,0,10,20,results/trotter_convergence/raw/task_010_L10_V2.0_th8_bt8_dt0.2_s990111,,,source_identifier:PfQMC-main_20260821
11,guard_off_trotter_convergence,10,2.0,8,8,0.2,1,0,0,0,990112,500,5000,1,false,,false,false,0,10,20,results/trotter_convergence/raw/task_011_L10_V2.0_th8_bt8_dt0.2_s990112,,,source_identifier:PfQMC-main_20260821
12,guard_off_trotter_convergence,10,2.0,8,8,0.1,1,0,0,0,990101,500,5000,1,false,,false,false,0,10,20,results/trotter_convergence/raw/task_012_L10_V2.0_th8_bt8_dt0.1_s990101,,,source_identifier:PfQMC-main_20260821
13,guard_off_trotter_convergence,10,2.0,8,8,0.1,1,0,0,0,990102,500,5000,1,false,,false,false,0,10,20,results/trotter_convergence/raw/task_013_L10_V2.0_th8_bt8_dt0.1_s990102,,,source_identifier:PfQMC-main_20260821
14,guard_off_trotter_convergence,10,2.0,8,8,0.1,1,0,0,0,990103,500,5000,1,false,,false,false,0,10,20,results/trotter_convergence/raw/task_014_L10_V2.0_th8_bt8_dt0.1_s990103,,,source_identifier:PfQMC-main_20260821
15,guard_off_trotter_convergence,10,2.0,8,8,0.1,1,0,0,0,990104,500,5000,1,false,,false,false,0,10,20,results/trotter_convergence/raw/task_015_L10_V2.0_th8_bt8_dt0.1_s990104,,,source_identifier:PfQMC-main_20260821
16,guard_off_trotter_convergence,10,2.0,8,8,0.1,1,0,0,0,990105,500,5000,1,false,,false,false,0,10,20,results/trotter_convergence/raw/task_016_L10_V2.0_th8_bt8_dt0.1_s990105,,,source_identifier:PfQMC-main_20260821
17,guard_off_trotter_convergence,10,2.0,8,8,0.1,1,0,0,0,990106,500,5000,1,false,,false,false,0,10,20,results/trotter_convergence/raw/task_017_L10_V2.0_th8_bt8_dt0.1_s990106,,,source_identifier:PfQMC-main_20260821
18,guard_off_trotter_convergence,10,2.0,8,8,0.1,1,0,0,0,990107,500,5000,1,false,,false,false,0,10,20,results/trotter_convergence/raw/task_018_L10_V2.0_th8_bt8_dt0.1_s990107,,,source_identifier:PfQMC-main_20260821
19,guard_off_trotter_convergence,10,2.0,8,8,0.1,1,0,0,0,990108,500,5000,1,false,,false,false,0,10,20,results/trotter_convergence/raw/task_019_L10_V2.0_th8_bt8_dt0.1_s990108,,,source_identifier:PfQMC-main_20260821
