case,version,decision,ratio_real,final_hs_or_state_hash,final_rng_or_measurement_hash,z2_mismatch,trajectory_mismatch,status
frozen_task4,phase3e,accept,0.70741914065425615,949208207496548183,not_recorded,0,0,PASS
frozen_task4,phase3f,accept,0.70741914065425615,949208207496548183,not_recorded,0,0,PASS
frozen_task8,phase3e,reject,0.0026573889530685144,14005514076608941581,not_recorded,0,0,PASS
frozen_task8,phase3f,reject,0.0026573889530685144,14005514076608941581,not_recorded,0,0,PASS
L6_V4_true_sweep,phase3e,not_applicable,not_applicable,1373917324815753219,17096381715767491328,0,0,PASS
L6_V4_true_sweep,phase3f,not_applicable,not_applicable,1373917324815753219,17096381715767491328,0,0,PASS
L6_V6_true_sweep,phase3e,not_applicable,not_applicable,13076883065274856967,804378037841557747,0,0,PASS
L6_V6_true_sweep,phase3f,not_applicable,not_applicable,13076883065274856967,804378037841557747,0,0,PASS
restart_task4_continuous,phase3f,accept,0.70741914065425615,proposal_hs_rng_z2_green_exact,55f1f2d421bf91e109a97c2d44cbfdf0bc5f5236c3458926cf5612dcd5bb8e12,0,0,PASS
restart_task4_restarted,phase3f,accept,0.70741914065425615,proposal_hs_rng_z2_green_exact,55f1f2d421bf91e109a97c2d44cbfdf0bc5f5236c3458926cf5612dcd5bb8e12,0,0,PASS
restart_task8_continuous,phase3f,reject,0.0026573889530685144,proposal_hs_rng_z2_green_exact,c934271b96f77485d5ae4925c47bac9d0cfc7c3a1ac993ecd48494a59d88cc8d,0,0,PASS
restart_task8_restarted,phase3f,reject,0.0026573889530685144,proposal_hs_rng_z2_green_exact,c934271b96f77485d5ae4925c47bac9d0cfc7c3a1ac993ecd48494a59d88cc8d,0,0,PASS
